subject_id,trial_number,trial_id,plain,sws,instruction_number,sound1_item,sound2_item,sound3_item,left_image,right_image,sound_gender,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,pic_position,distance,chosen_pic,test_lang,testing_loc,tester,date_of_birth,ethnicity,native_lang,other_langs,parental_occ,dev_info,birth_order,num_siblings,gender
0uljf,1,0,fem_plain,mal_sws,1,fireman,glasses,fireman,fireman,glasses,fem_plain_mal_sws,training,3/20/2017,10:34,right,false,558,3,1_2_1_1,word_1_word_2,far,glasses,Clear_Before,preschool,hanna,2015-02-06,,Czech ,English,,,,,female
0uljf,1,0,fem_plain,mal_sws,2,fireman,glasses,fireman,fireman,glasses,fem_plain_mal_sws,training,3/20/2017,10:34,right,true,452,5,1_2_1_1,word_1_word_2,far,glasses,Clear_Before,preschool,hanna,2015-02-06,,Czech ,English,,,,,female
0uljf,1,0,fem_plain,mal_sws,3,fireman,glasses,fireman,fireman,glasses,fem_plain_mal_sws,training,3/20/2017,10:34,left,true,6719,6,1_2_1_1,word_1_word_2,far,fireman,Clear_Before,preschool,hanna,2015-02-06,,Czech ,English,,,,,female
0uljf,2,10,fem_plain,mal_sws,1,tshirt,pig,pig,pig,tshirt,fem_plain_mal_sws,critical,3/20/2017,10:34,left,false,548,1,1_2_2_1,word_1_word_2,near,pig,Clear_Before,preschool,hanna,2015-02-06,,Czech ,English,,,,,female
0uljf,2,10,fem_plain,mal_sws,2,tshirt,pig,pig,pig,tshirt,fem_plain_mal_sws,critical,3/20/2017,10:34,right,false,2210,2,1_2_2_1,word_1_word_2,near,tshirt,Clear_Before,preschool,hanna,2015-02-06,,Czech ,English,,,,,female
0uljf,2,10,fem_plain,mal_sws,3,tshirt,pig,pig,pig,tshirt,fem_plain_mal_sws,critical,3/20/2017,10:34,left,true,5276,3,1_2_2_1,word_1_word_2,near,pig,Clear_Before,preschool,hanna,2015-02-06,,Czech ,English,,,,,female
0uljf,3,5,fem_plain,mal_sws,1,car,orange,orange,car,orange,fem_plain_mal_sws,critical,3/20/2017,10:34,left,true,5242,5,1_2_2_1,word_2_word_1,near,car,Clear_Before,preschool,hanna,2015-02-06,,Czech ,English,,,,,female
0uljf,3,5,fem_plain,mal_sws,2,car,orange,orange,car,orange,fem_plain_mal_sws,critical,3/20/2017,10:34,right,true,2992,2,1_2_2_1,word_2_word_1,near,orange,Clear_Before,preschool,hanna,2015-02-06,,Czech ,English,,,,,female
0uljf,3,5,fem_plain,mal_sws,3,car,orange,orange,car,orange,fem_plain_mal_sws,critical,3/20/2017,10:34,left,false,6150,3,1_2_2_1,word_2_word_1,near,car,Clear_Before,preschool,hanna,2015-02-06,,Czech ,English,,,,,female
0uljf,4,3,fem_plain,mal_sws,1,nose,trousers,trousers,trousers,nose,fem_plain_mal_sws,critical,3/20/2017,10:34,right,true,2698,1,1_2_2_1,word_1_word_2,near,nose,Clear_Before,preschool,hanna,2015-02-06,,Czech ,English,,,,,female
0uljf,4,3,fem_plain,mal_sws,2,nose,trousers,trousers,trousers,nose,fem_plain_mal_sws,critical,3/20/2017,10:34,left,true,987,2,1_2_2_1,word_1_word_2,near,trousers,Clear_Before,preschool,hanna,2015-02-06,,Czech ,English,,,,,female
0uljf,4,3,fem_plain,mal_sws,3,nose,trousers,trousers,trousers,nose,fem_plain_mal_sws,critical,3/20/2017,10:34,right,false,2480,2,1_2_2_1,word_1_word_2,near,nose,Clear_Before,preschool,hanna,2015-02-06,,Czech ,English,,,,,female
0uljf,5,1,fem_plain,mal_sws,1,baby,spoon,spoon,baby,spoon,fem_plain_mal_sws,critical,3/20/2017,10:34,left,true,4625,1,2_1_1_1,word_2_word_1,near,baby,Clear_Before,preschool,hanna,2015-02-06,,Czech ,English,,,,,female
0uljf,5,1,fem_plain,mal_sws,2,baby,spoon,spoon,baby,spoon,fem_plain_mal_sws,critical,3/20/2017,10:34,right,true,1011,2,2_1_1_1,word_2_word_1,near,spoon,Clear_Before,preschool,hanna,2015-02-06,,Czech ,English,,,,,female
0uljf,5,1,fem_plain,mal_sws,3,baby,spoon,spoon,baby,spoon,fem_plain_mal_sws,critical,3/20/2017,10:34,left,false,2322,2,2_1_1_1,word_2_word_1,near,baby,Clear_Before,preschool,hanna,2015-02-06,,Czech ,English,,,,,female
0uljf,6,9,fem_plain,mal_sws,1,pizza,window,window,pizza,window,fem_plain_mal_sws,critical,3/20/2017,10:34,right,false,241,2,1_2_2_1,word_1_word_2,near,window,Clear_Before,preschool,hanna,2015-02-06,,Czech ,English,,,,,female
0uljf,6,9,fem_plain,mal_sws,2,pizza,window,window,pizza,window,fem_plain_mal_sws,critical,3/20/2017,10:34,left,false,1727,1,1_2_2_1,word_1_word_2,near,pizza,Clear_Before,preschool,hanna,2015-02-06,,Czech ,English,,,,,female
0uljf,6,9,fem_plain,mal_sws,3,pizza,window,window,pizza,window,fem_plain_mal_sws,critical,3/20/2017,10:34,right,true,1478,2,1_2_2_1,word_1_word_2,near,window,Clear_Before,preschool,hanna,2015-02-06,,Czech ,English,,,,,female
0uljf,7,14,fem_plain,mal_sws,1,cheese,shoes,cheese,shoes,cheese,fem_plain_mal_sws,critical,3/20/2017,10:34,left,false,2210,1,1_2_1_1,word_2_word_1,far,shoes,Clear_Before,preschool,hanna,2015-02-06,,Czech ,English,,,,,female
0uljf,7,14,fem_plain,mal_sws,2,cheese,shoes,cheese,shoes,cheese,fem_plain_mal_sws,critical,3/20/2017,10:34,right,false,1738,2,1_2_1_1,word_2_word_1,far,cheese,Clear_Before,preschool,hanna,2015-02-06,,Czech ,English,,,,,female
0uljf,7,14,fem_plain,mal_sws,3,cheese,shoes,cheese,shoes,cheese,fem_plain_mal_sws,critical,3/20/2017,10:34,left,false,3313,2,1_2_1_1,word_2_word_1,far,shoes,Clear_Before,preschool,hanna,2015-02-06,,Czech ,English,,,,,female
0uljf,8,13,fem_plain,mal_sws,1,toothbrush,airplane,toothbrush,toothbrush,airplane,fem_plain_mal_sws,critical,3/20/2017,10:34,right,false,1372,2,2_1_2_1,word_1_word_2,far,airplane,Clear_Before,preschool,hanna,2015-02-06,,Czech ,English,,,,,female
0uljf,8,13,fem_plain,mal_sws,2,toothbrush,airplane,toothbrush,toothbrush,airplane,fem_plain_mal_sws,critical,3/20/2017,10:34,left,false,2223,4,2_1_2_1,word_1_word_2,far,toothbrush,Clear_Before,preschool,hanna,2015-02-06,,Czech ,English,,,,,female
0uljf,8,13,fem_plain,mal_sws,3,toothbrush,airplane,toothbrush,toothbrush,airplane,fem_plain_mal_sws,critical,3/20/2017,10:34,left,true,9803,2,2_1_2_1,word_1_word_2,far,toothbrush,Clear_Before,preschool,hanna,2015-02-06,,Czech ,English,,,,,female
0uljf,9,20,fem_plain,mal_sws,1,rabbit,jumper,jumper,rabbit,jumper,fem_plain_mal_sws,critical,3/20/2017,10:34,left,true,2638,2,1_2_2_1,word_2_word_1,near,rabbit,Clear_Before,preschool,hanna,2015-02-06,,Czech ,English,,,,,female
0uljf,9,20,fem_plain,mal_sws,2,rabbit,jumper,jumper,rabbit,jumper,fem_plain_mal_sws,critical,3/20/2017,10:34,right,true,1780,2,1_2_2_1,word_2_word_1,near,jumper,Clear_Before,preschool,hanna,2015-02-06,,Czech ,English,,,,,female
0uljf,9,20,fem_plain,mal_sws,3,rabbit,jumper,jumper,rabbit,jumper,fem_plain_mal_sws,critical,3/20/2017,10:34,right,true,7033,2,1_2_2_1,word_2_word_1,near,jumper,Clear_Before,preschool,hanna,2015-02-06,,Czech ,English,,,,,female
0uljf,10,6,fem_plain,mal_sws,1,peas,bird,peas,bird,peas,fem_plain_mal_sws,critical,3/20/2017,10:34,left,false,2464,2,1_2_1_1,word_1_word_2,far,bird,Clear_Before,preschool,hanna,2015-02-06,,Czech ,English,,,,,female
0uljf,10,6,fem_plain,mal_sws,2,peas,bird,peas,bird,peas,fem_plain_mal_sws,critical,3/20/2017,10:34,right,false,197,2,1_2_1_1,word_1_word_2,far,peas,Clear_Before,preschool,hanna,2015-02-06,,Czech ,English,,,,,female
0uljf,10,6,fem_plain,mal_sws,3,peas,bird,peas,bird,peas,fem_plain_mal_sws,critical,3/20/2017,10:34,left,false,9292,2,1_2_1_1,word_1_word_2,far,bird,Clear_Before,preschool,hanna,2015-02-06,,Czech ,English,,,,,female
0uljf,11,22,fem_plain,mal_sws,1,bike,dog,dog,bike,dog,fem_plain_mal_sws,critical,3/20/2017,10:34,left,true,4770,2,2_1_1_1,word_1_word_2,near,bike,Clear_Before,preschool,hanna,2015-02-06,,Czech ,English,,,,,female
0uljf,11,22,fem_plain,mal_sws,2,bike,dog,dog,bike,dog,fem_plain_mal_sws,critical,3/20/2017,10:34,right,true,1294,2,2_1_1_1,word_1_word_2,near,dog,Clear_Before,preschool,hanna,2015-02-06,,Czech ,English,,,,,female
0uljf,11,22,fem_plain,mal_sws,3,bike,dog,dog,bike,dog,fem_plain_mal_sws,critical,3/20/2017,10:34,left,false,5906,2,2_1_1_1,word_1_word_2,near,bike,Clear_Before,preschool,hanna,2015-02-06,,Czech ,English,,,,,female
0uljf,12,11,fem_plain,mal_sws,1,lorry,book,lorry,book,lorry,fem_plain_mal_sws,critical,3/20/2017,10:34,left,false,3632,1,2_1_2_1,word_1_word_2,far,book,Clear_Before,preschool,hanna,2015-02-06,,Czech ,English,,,,,female
0uljf,12,11,fem_plain,mal_sws,2,lorry,book,lorry,book,lorry,fem_plain_mal_sws,critical,3/20/2017,10:34,right,false,93,2,2_1_2_1,word_1_word_2,far,lorry,Clear_Before,preschool,hanna,2015-02-06,,Czech ,English,,,,,female
0uljf,12,11,fem_plain,mal_sws,3,lorry,book,lorry,book,lorry,fem_plain_mal_sws,critical,3/20/2017,10:34,left,false,10357,2,2_1_2_1,word_1_word_2,far,book,Clear_Before,preschool,hanna,2015-02-06,,Czech ,English,,,,,female
0uljf,13,12,fem_plain,mal_sws,1,foot,yoghurt,yoghurt,foot,yoghurt,fem_plain_mal_sws,critical,3/20/2017,10:34,left,true,2260,2,2_1_1_1,word_1_word_2,near,foot,Clear_Before,preschool,hanna,2015-02-06,,Czech ,English,,,,,female
0uljf,13,12,fem_plain,mal_sws,2,foot,yoghurt,yoghurt,foot,yoghurt,fem_plain_mal_sws,critical,3/20/2017,10:34,right,true,1350,5,2_1_1_1,word_1_word_2,near,yoghurt,Clear_Before,preschool,hanna,2015-02-06,,Czech ,English,,,,,female
