subject_id,trial_number,trial_id,plain,sws,instruction_number,sound1_item,sound2_item,sound3_item,left_image,right_image,sound_gender,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,pic_position,distance,chosen_pic,test_lang,testing_loc,tester,date_of_birth,ethnicity,native_lang,other_langs,parental_occ,dev_info,birth_order,num_siblings,gender
2pzkR,1,0,mal_plain,mal_sws,1,fireman,glasses,glasses,fireman,glasses,mal_plain_mal_sws,training,3/22/2017,15:25,right,false,5819,4,2_1_1_1,word_1_word_2,near,glasses,Clear_After,preschool,hanna,2012-06-09,,English,,,,2,1,male
2pzkR,1,0,mal_plain,mal_sws,2,fireman,glasses,glasses,fireman,glasses,mal_plain_mal_sws,training,3/22/2017,15:25,left,false,2300,3,2_1_1_1,word_1_word_2,near,fireman,Clear_After,preschool,hanna,2012-06-09,,English,,,,2,1,male
2pzkR,1,0,mal_plain,mal_sws,3,fireman,glasses,glasses,fireman,glasses,mal_plain_mal_sws,training,3/22/2017,15:25,right,true,1855,2,2_1_1_1,word_1_word_2,near,glasses,Clear_After,preschool,hanna,2012-06-09,,English,,,,2,1,male
2pzkR,2,9,mal_plain,mal_sws,1,pizza,window,pizza,pizza,window,mal_plain_mal_sws,critical,3/22/2017,15:25,right,false,10786,5,2_1_2_1,word_1_word_2,far,window,Clear_After,preschool,hanna,2012-06-09,,English,,,,2,1,male
2pzkR,2,9,mal_plain,mal_sws,2,pizza,window,pizza,pizza,window,mal_plain_mal_sws,critical,3/22/2017,15:25,left,false,2251,2,2_1_2_1,word_1_word_2,far,pizza,Clear_After,preschool,hanna,2012-06-09,,English,,,,2,1,male
2pzkR,2,9,mal_plain,mal_sws,3,pizza,window,pizza,pizza,window,mal_plain_mal_sws,critical,3/22/2017,15:25,right,false,1866,2,2_1_2_1,word_1_word_2,far,window,Clear_After,preschool,hanna,2012-06-09,,English,,,,2,1,male
2pzkR,3,6,mal_plain,mal_sws,1,bird,peas,bird,peas,bird,mal_plain_mal_sws,critical,3/22/2017,15:25,right,true,9358,6,2_1_2_1,word_2_word_1,far,bird,Clear_After,preschool,hanna,2012-06-09,,English,,,,2,1,male
2pzkR,3,6,mal_plain,mal_sws,2,bird,peas,bird,peas,bird,mal_plain_mal_sws,critical,3/22/2017,15:25,right,false,2535,1,2_1_2_1,word_2_word_1,far,bird,Clear_After,preschool,hanna,2012-06-09,,English,,,,2,1,male
2pzkR,3,6,mal_plain,mal_sws,3,bird,peas,bird,peas,bird,mal_plain_mal_sws,critical,3/22/2017,15:25,left,false,1842,1,2_1_2_1,word_2_word_1,far,peas,Clear_After,preschool,hanna,2012-06-09,,English,,,,2,1,male
2pzkR,4,17,mal_plain,mal_sws,1,ambulance,cake,cake,cake,ambulance,mal_plain_mal_sws,critical,3/22/2017,15:25,left,false,7257,3,1_2_2_1,word_1_word_2,near,cake,Clear_After,preschool,hanna,2012-06-09,,English,,,,2,1,male
2pzkR,4,17,mal_plain,mal_sws,2,ambulance,cake,cake,cake,ambulance,mal_plain_mal_sws,critical,3/22/2017,15:25,right,false,2451,3,1_2_2_1,word_1_word_2,near,ambulance,Clear_After,preschool,hanna,2012-06-09,,English,,,,2,1,male
2pzkR,4,17,mal_plain,mal_sws,3,ambulance,cake,cake,cake,ambulance,mal_plain_mal_sws,critical,3/22/2017,15:25,left,true,1890,1,1_2_2_1,word_1_word_2,near,cake,Clear_After,preschool,hanna,2012-06-09,,English,,,,2,1,male
2pzkR,5,8,mal_plain,mal_sws,1,fire_engine,wellyboots,wellyboots,wellyboots,fire_engine,mal_plain_mal_sws,critical,3/22/2017,15:25,right,true,8338,4,1_2_2_1,word_1_word_2,near,fire_engine,Clear_After,preschool,hanna,2012-06-09,,English,,,,2,1,male
2pzkR,5,8,mal_plain,mal_sws,2,fire_engine,wellyboots,wellyboots,wellyboots,fire_engine,mal_plain_mal_sws,critical,3/22/2017,15:25,right,false,3348,4,1_2_2_1,word_1_word_2,near,fire_engine,Clear_After,preschool,hanna,2012-06-09,,English,,,,2,1,male
2pzkR,5,8,mal_plain,mal_sws,3,fire_engine,wellyboots,wellyboots,wellyboots,fire_engine,mal_plain_mal_sws,critical,3/22/2017,15:25,left,true,2330,1,1_2_2_1,word_1_word_2,near,wellyboots,Clear_After,preschool,hanna,2012-06-09,,English,,,,2,1,male
2pzkR,6,16,mal_plain,mal_sws,1,paintbrush,banana,paintbrush,paintbrush,banana,mal_plain_mal_sws,critical,3/22/2017,15:25,left,true,9626,2,2_1_2_1,word_1_word_2,far,paintbrush,Clear_After,preschool,hanna,2012-06-09,,English,,,,2,1,male
2pzkR,6,16,mal_plain,mal_sws,2,paintbrush,banana,paintbrush,paintbrush,banana,mal_plain_mal_sws,critical,3/22/2017,15:25,left,false,4017,1,2_1_2_1,word_1_word_2,far,paintbrush,Clear_After,preschool,hanna,2012-06-09,,English,,,,2,1,male
2pzkR,6,16,mal_plain,mal_sws,3,paintbrush,banana,paintbrush,paintbrush,banana,mal_plain_mal_sws,critical,3/22/2017,15:25,right,false,2004,2,2_1_2_1,word_1_word_2,far,banana,Clear_After,preschool,hanna,2012-06-09,,English,,,,2,1,male
2pzkR,7,3,mal_plain,mal_sws,1,trousers,nose,nose,nose,trousers,mal_plain_mal_sws,critical,3/22/2017,15:25,left,false,4227,2,2_1_1_1,word_2_word_1,near,nose,Clear_After,preschool,hanna,2012-06-09,,English,,,,2,1,male
2pzkR,7,3,mal_plain,mal_sws,2,trousers,nose,nose,nose,trousers,mal_plain_mal_sws,critical,3/22/2017,15:25,right,false,2426,1,2_1_1_1,word_2_word_1,near,trousers,Clear_After,preschool,hanna,2012-06-09,,English,,,,2,1,male
