subject_id,trial_number,trial_id,plain,sws,instruction_number,sound1_item,sound2_item,sound3_item,left_image,right_image,sound_gender,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,pic_position,distance,chosen_pic,test_lang,testing_loc,tester,date_of_birth,ethnicity,native_lang,other_langs,parental_occ,dev_info,birth_order,num_siblings,gender
3Itmx,1,0,fem_plain,fem_sws,1,glasses,fireman,fireman,fireman,glasses,fem_plain_fem_sws,training,3/9/2017,10:04,left,false,8451,7,2_1_1_1,word_1_word_2,near,fireman,Clear_After,preschool,hanna,2013-06-05,,English,,,,2,1,female
3Itmx,1,0,fem_plain,fem_sws,2,glasses,fireman,fireman,fireman,glasses,fem_plain_fem_sws,training,3/9/2017,10:04,right,false,2873,2,2_1_1_1,word_1_word_2,near,glasses,Clear_After,preschool,hanna,2013-06-05,,English,,,,2,1,female
3Itmx,1,0,fem_plain,fem_sws,3,glasses,fireman,fireman,fireman,glasses,fem_plain_fem_sws,training,3/9/2017,10:04,left,true,2000,1,2_1_1_1,word_1_word_2,near,fireman,Clear_After,preschool,hanna,2013-06-05,,English,,,,2,1,female
3Itmx,2,2,fem_plain,fem_sws,1,chicken,bed,chicken,chicken,bed,fem_plain_fem_sws,critical,3/9/2017,10:04,right,false,11808,6,2_1_2_1,word_2_word_1,far,bed,Clear_After,preschool,hanna,2013-06-05,,English,,,,2,1,female
3Itmx,2,2,fem_plain,fem_sws,2,chicken,bed,chicken,chicken,bed,fem_plain_fem_sws,critical,3/9/2017,10:04,left,false,3317,2,2_1_2_1,word_2_word_1,far,chicken,Clear_After,preschool,hanna,2013-06-05,,English,,,,2,1,female
3Itmx,2,2,fem_plain,fem_sws,3,chicken,bed,chicken,chicken,bed,fem_plain_fem_sws,critical,3/9/2017,10:04,right,false,3157,3,2_1_2_1,word_2_word_1,far,bed,Clear_After,preschool,hanna,2013-06-05,,English,,,,2,1,female
3Itmx,3,24,fem_plain,fem_sws,1,sink,fish,fish,fish,sink,fem_plain_fem_sws,critical,3/9/2017,10:04,right,true,8348,2,1_2_2_1,word_2_word_1,near,sink,Clear_After,preschool,hanna,2013-06-05,,English,,,,2,1,female
3Itmx,3,24,fem_plain,fem_sws,2,sink,fish,fish,fish,sink,fem_plain_fem_sws,critical,3/9/2017,10:04,right,false,3118,2,1_2_2_1,word_2_word_1,near,sink,Clear_After,preschool,hanna,2013-06-05,,English,,,,2,1,female
3Itmx,3,24,fem_plain,fem_sws,3,sink,fish,fish,fish,sink,fem_plain_fem_sws,critical,3/9/2017,10:04,left,true,2283,2,1_2_2_1,word_2_word_1,near,fish,Clear_After,preschool,hanna,2013-06-05,,English,,,,2,1,female
3Itmx,4,12,fem_plain,fem_sws,1,yoghurt,foot,foot,foot,yoghurt,fem_plain_fem_sws,critical,3/9/2017,10:04,left,false,6180,2,1_2_2_1,word_1_word_2,near,foot,Clear_After,preschool,hanna,2013-06-05,,English,,,,2,1,female
3Itmx,4,12,fem_plain,fem_sws,2,yoghurt,foot,foot,foot,yoghurt,fem_plain_fem_sws,critical,3/9/2017,10:04,right,false,940,4,1_2_2_1,word_1_word_2,near,yoghurt,Clear_After,preschool,hanna,2013-06-05,,English,,,,2,1,female
3Itmx,4,12,fem_plain,fem_sws,3,yoghurt,foot,foot,foot,yoghurt,fem_plain_fem_sws,critical,3/9/2017,10:04,left,true,1888,2,1_2_2_1,word_1_word_2,near,foot,Clear_After,preschool,hanna,2013-06-05,,English,,,,2,1,female
3Itmx,5,6,fem_plain,fem_sws,1,bird,peas,bird,peas,bird,fem_plain_fem_sws,critical,3/9/2017,10:04,left,false,7847,4,1_2_1_1,word_2_word_1,far,peas,Clear_After,preschool,hanna,2013-06-05,,English,,,,2,1,female
3Itmx,5,6,fem_plain,fem_sws,2,bird,peas,bird,peas,bird,fem_plain_fem_sws,critical,3/9/2017,10:04,right,false,2364,1,1_2_1_1,word_2_word_1,far,bird,Clear_After,preschool,hanna,2013-06-05,,English,,,,2,1,female
3Itmx,5,6,fem_plain,fem_sws,3,bird,peas,bird,peas,bird,fem_plain_fem_sws,critical,3/9/2017,10:04,left,false,2780,1,1_2_1_1,word_2_word_1,far,peas,Clear_After,preschool,hanna,2013-06-05,,English,,,,2,1,female
3Itmx,6,14,fem_plain,fem_sws,1,shoes,cheese,cheese,shoes,cheese,fem_plain_fem_sws,critical,3/9/2017,10:04,left,true,5659,2,2_1_1_1,word_2_word_1,near,shoes,Clear_After,preschool,hanna,2013-06-05,,English,,,,2,1,female
3Itmx,6,14,fem_plain,fem_sws,2,shoes,cheese,cheese,shoes,cheese,fem_plain_fem_sws,critical,3/9/2017,10:04,left,false,2397,2,2_1_1_1,word_2_word_1,near,shoes,Clear_After,preschool,hanna,2013-06-05,,English,,,,2,1,female
3Itmx,6,14,fem_plain,fem_sws,3,shoes,cheese,cheese,shoes,cheese,fem_plain_fem_sws,critical,3/9/2017,10:04,right,true,2555,1,2_1_1_1,word_2_word_1,near,cheese,Clear_After,preschool,hanna,2013-06-05,,English,,,,2,1,female
3Itmx,7,17,fem_plain,fem_sws,1,ambulance,cake,cake,cake,ambulance,fem_plain_fem_sws,critical,3/9/2017,10:04,right,true,5106,2,1_2_2_1,word_1_word_2,near,ambulance,Clear_After,preschool,hanna,2013-06-05,,English,,,,2,1,female
3Itmx,7,17,fem_plain,fem_sws,2,ambulance,cake,cake,cake,ambulance,fem_plain_fem_sws,critical,3/9/2017,10:04,right,false,2290,1,1_2_2_1,word_1_word_2,near,ambulance,Clear_After,preschool,hanna,2013-06-05,,English,,,,2,1,female
3Itmx,7,17,fem_plain,fem_sws,3,ambulance,cake,cake,cake,ambulance,fem_plain_fem_sws,critical,3/9/2017,10:04,left,true,2284,1,1_2_2_1,word_1_word_2,near,cake,Clear_After,preschool,hanna,2013-06-05,,English,,,,2,1,female
3Itmx,8,22,fem_plain,fem_sws,1,dog,bike,dog,bike,dog,fem_plain_fem_sws,critical,3/9/2017,10:04,right,true,3559,4,1_2_1_1,word_1_word_2,far,dog,Clear_After,preschool,hanna,2013-06-05,,English,,,,2,1,female
3Itmx,8,22,fem_plain,fem_sws,2,dog,bike,dog,bike,dog,fem_plain_fem_sws,critical,3/9/2017,10:04,right,false,2285,2,1_2_1_1,word_1_word_2,far,dog,Clear_After,preschool,hanna,2013-06-05,,English,,,,2,1,female
3Itmx,8,22,fem_plain,fem_sws,3,dog,bike,dog,bike,dog,fem_plain_fem_sws,critical,3/9/2017,10:04,left,false,2362,2,1_2_1_1,word_1_word_2,far,bike,Clear_After,preschool,hanna,2013-06-05,,English,,,,2,1,female
3Itmx,9,4,fem_plain,fem_sws,1,coat,strawberry,coat,strawberry,coat,fem_plain_fem_sws,critical,3/9/2017,10:04,left,false,4491,4,1_2_1_1,word_2_word_1,far,strawberry,Clear_After,preschool,hanna,2013-06-05,,English,,,,2,1,female
3Itmx,9,4,fem_plain,fem_sws,2,coat,strawberry,coat,strawberry,coat,fem_plain_fem_sws,critical,3/9/2017,10:04,right,false,2686,1,1_2_1_1,word_2_word_1,far,coat,Clear_After,preschool,hanna,2013-06-05,,English,,,,2,1,female
3Itmx,9,4,fem_plain,fem_sws,3,coat,strawberry,coat,strawberry,coat,fem_plain_fem_sws,critical,3/9/2017,10:04,left,false,2066,1,1_2_1_1,word_2_word_1,far,strawberry,Clear_After,preschool,hanna,2013-06-05,,English,,,,2,1,female
3Itmx,10,23,fem_plain,fem_sws,1,teddy_bear,bath,teddy_bear,teddy_bear,bath,fem_plain_fem_sws,critical,3/9/2017,10:04,left,true,3542,2,2_1_2_1,word_2_word_1,far,teddy_bear,Clear_After,preschool,hanna,2013-06-05,,English,,,,2,1,female
3Itmx,10,23,fem_plain,fem_sws,2,teddy_bear,bath,teddy_bear,teddy_bear,bath,fem_plain_fem_sws,critical,3/9/2017,10:04,left,false,2892,2,2_1_2_1,word_2_word_1,far,teddy_bear,Clear_After,preschool,hanna,2013-06-05,,English,,,,2,1,female
3Itmx,10,23,fem_plain,fem_sws,3,teddy_bear,bath,teddy_bear,teddy_bear,bath,fem_plain_fem_sws,critical,3/9/2017,10:04,right,false,747,4,2_1_2_1,word_2_word_1,far,bath,Clear_After,preschool,hanna,2013-06-05,,English,,,,2,1,female
3Itmx,11,15,fem_plain,fem_sws,1,slide,pencil,slide,pencil,slide,fem_plain_fem_sws,critical,3/9/2017,10:04,right,true,5258,2,1_2_1_1,word_2_word_1,far,slide,Clear_After,preschool,hanna,2013-06-05,,English,,,,2,1,female
3Itmx,11,15,fem_plain,fem_sws,2,slide,pencil,slide,pencil,slide,fem_plain_fem_sws,critical,3/9/2017,10:04,right,false,2334,2,1_2_1_1,word_2_word_1,far,slide,Clear_After,preschool,hanna,2013-06-05,,English,,,,2,1,female
3Itmx,11,15,fem_plain,fem_sws,3,slide,pencil,slide,pencil,slide,fem_plain_fem_sws,critical,3/9/2017,10:04,left,false,2309,2,1_2_1_1,word_2_word_1,far,pencil,Clear_After,preschool,hanna,2013-06-05,,English,,,,2,1,female
3Itmx,12,10,fem_plain,fem_sws,1,tshirt,pig,tshirt,tshirt,pig,fem_plain_fem_sws,critical,3/9/2017,10:04,right,false,3671,4,1_2_1_1,word_2_word_1,far,pig,Clear_After,preschool,hanna,2013-06-05,,English,,,,2,1,female
3Itmx,12,10,fem_plain,fem_sws,2,tshirt,pig,tshirt,tshirt,pig,fem_plain_fem_sws,critical,3/9/2017,10:04,left,false,3360,1,1_2_1_1,word_2_word_1,far,tshirt,Clear_After,preschool,hanna,2013-06-05,,English,,,,2,1,female
3Itmx,12,10,fem_plain,fem_sws,3,tshirt,pig,tshirt,tshirt,pig,fem_plain_fem_sws,critical,3/9/2017,10:04,right,false,1811,1,1_2_1_1,word_2_word_1,far,pig,Clear_After,preschool,hanna,2013-06-05,,English,,,,2,1,female
3Itmx,13,1,fem_plain,fem_sws,1,spoon,baby,spoon,baby,spoon,fem_plain_fem_sws,critical,3/9/2017,10:04,right,true,3781,2,2_1_2_1,word_2_word_1,far,spoon,Clear_After,preschool,hanna,2013-06-05,,English,,,,2,1,female
3Itmx,13,1,fem_plain,fem_sws,2,spoon,baby,spoon,baby,spoon,fem_plain_fem_sws,critical,3/9/2017,10:04,right,false,2381,1,2_1_2_1,word_2_word_1,far,spoon,Clear_After,preschool,hanna,2013-06-05,,English,,,,2,1,female
3Itmx,13,1,fem_plain,fem_sws,3,spoon,baby,spoon,baby,spoon,fem_plain_fem_sws,critical,3/9/2017,10:04,left,false,2081,4,2_1_2_1,word_2_word_1,far,baby,Clear_After,preschool,hanna,2013-06-05,,English,,,,2,1,female
