subject_id,trial_number,trial_id,plain,sws,instruction_number,sound1_item,sound2_item,sound3_item,left_image,right_image,sound_gender,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,pic_position,distance,chosen_pic,test_lang,testing_loc,tester,date_of_birth,ethnicity,native_lang,other_langs,parental_occ,dev_info,birth_order,num_siblings,gender
3lPVg,1,0,mal_plain,fem_sws,1,fireman,glasses,fireman,glasses,fireman,mal_plain_fem_sws,training,2/16/2017,9:26,right,true,2565,5,2_1_2_1,word_2_word_1,far,fireman,Clear_Before,preschool,hanna,2013-12-03,,English,,,,2,1,female
3lPVg,1,0,mal_plain,fem_sws,2,fireman,glasses,fireman,glasses,fireman,mal_plain_fem_sws,training,2/16/2017,9:26,left,true,2193,2,2_1_2_1,word_2_word_1,far,glasses,Clear_Before,preschool,hanna,2013-12-03,,English,,,,2,1,female
3lPVg,1,0,mal_plain,fem_sws,3,fireman,glasses,fireman,glasses,fireman,mal_plain_fem_sws,training,2/16/2017,9:26,right,true,8552,18,2_1_2_1,word_2_word_1,far,fireman,Clear_Before,preschool,hanna,2013-12-03,,English,,,,2,1,female
3lPVg,2,13,mal_plain,fem_sws,1,airplane,toothbrush,toothbrush,toothbrush,airplane,mal_plain_fem_sws,critical,2/16/2017,9:26,right,true,2070,2,2_1_1_1,word_1_word_2,near,airplane,Clear_Before,preschool,hanna,2013-12-03,,English,,,,2,1,female
3lPVg,2,13,mal_plain,fem_sws,2,airplane,toothbrush,toothbrush,toothbrush,airplane,mal_plain_fem_sws,critical,2/16/2017,9:26,left,true,1993,2,2_1_1_1,word_1_word_2,near,toothbrush,Clear_Before,preschool,hanna,2013-12-03,,English,,,,2,1,female
3lPVg,2,13,mal_plain,fem_sws,3,airplane,toothbrush,toothbrush,toothbrush,airplane,mal_plain_fem_sws,critical,2/16/2017,9:26,left,true,7098,3,2_1_1_1,word_1_word_2,near,toothbrush,Clear_Before,preschool,hanna,2013-12-03,,English,,,,2,1,female
3lPVg,3,21,mal_plain,fem_sws,1,sheep,frog,frog,sheep,frog,mal_plain_fem_sws,critical,2/16/2017,9:26,right,false,489,2,1_2_2_1,word_2_word_1,near,frog,Clear_Before,preschool,hanna,2013-12-03,,English,,,,2,1,female
3lPVg,3,21,mal_plain,fem_sws,2,sheep,frog,frog,sheep,frog,mal_plain_fem_sws,critical,2/16/2017,9:26,left,false,180,1,1_2_2_1,word_2_word_1,near,sheep,Clear_Before,preschool,hanna,2013-12-03,,English,,,,2,1,female
3lPVg,3,21,mal_plain,fem_sws,3,sheep,frog,frog,sheep,frog,mal_plain_fem_sws,critical,2/16/2017,9:26,right,true,8512,5,1_2_2_1,word_2_word_1,near,frog,Clear_Before,preschool,hanna,2013-12-03,,English,,,,2,1,female
3lPVg,4,16,mal_plain,fem_sws,1,banana,paintbrush,banana,banana,paintbrush,mal_plain_fem_sws,critical,2/16/2017,9:26,left,true,2148,2,1_2_1_1,word_2_word_1,far,banana,Clear_Before,preschool,hanna,2013-12-03,,English,,,,2,1,female
