subject_id,trial_number,trial_id,plain,sws,instruction_number,sound1_item,sound2_item,sound3_item,left_image,right_image,sound_gender,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,pic_position,distance,chosen_pic,test_lang,testing_loc,tester,date_of_birth,ethnicity,native_lang,other_langs,parental_occ,dev_info,birth_order,num_siblings,gender
9nbXC,1,0,mal_plain,fem_sws,1,glasses,fireman,glasses,fireman,glasses,mal_plain_fem_sws,training,3/9/2017,14:01,right,true,8183,2,2_1_2_1,word_1_word_2,far,glasses,Clear_Before,preschool,hanna,2012-04-22,,English,,,,,,female
9nbXC,1,0,mal_plain,fem_sws,2,glasses,fireman,glasses,fireman,glasses,mal_plain_fem_sws,training,3/9/2017,14:01,left,true,3019,1,2_1_2_1,word_1_word_2,far,fireman,Clear_Before,preschool,hanna,2012-04-22,,English,,,,,,female
9nbXC,1,0,mal_plain,fem_sws,3,glasses,fireman,glasses,fireman,glasses,mal_plain_fem_sws,training,3/9/2017,14:01,right,true,8535,6,2_1_2_1,word_1_word_2,far,glasses,Clear_Before,preschool,hanna,2012-04-22,,English,,,,,,female
9nbXC,2,19,mal_plain,fem_sws,1,santa,building_blocks,santa,building_blocks,santa,mal_plain_fem_sws,critical,3/9/2017,14:01,right,true,3190,2,1_2_1_1,word_2_word_1,far,santa,Clear_Before,preschool,hanna,2012-04-22,,English,,,,,,female
9nbXC,2,19,mal_plain,fem_sws,2,santa,building_blocks,santa,building_blocks,santa,mal_plain_fem_sws,critical,3/9/2017,14:01,left,true,1927,1,1_2_1_1,word_2_word_1,far,building_blocks,Clear_Before,preschool,hanna,2012-04-22,,English,,,,,,female
9nbXC,2,19,mal_plain,fem_sws,3,santa,building_blocks,santa,building_blocks,santa,mal_plain_fem_sws,critical,3/9/2017,14:01,left,false,8014,2,1_2_1_1,word_2_word_1,far,building_blocks,Clear_Before,preschool,hanna,2012-04-22,,English,,,,,,female
9nbXC,3,1,mal_plain,fem_sws,1,baby,spoon,spoon,spoon,baby,mal_plain_fem_sws,critical,3/9/2017,14:01,right,true,2238,2,1_2_2_1,word_1_word_2,near,baby,Clear_Before,preschool,hanna,2012-04-22,,English,,,,,,female
9nbXC,3,1,mal_plain,fem_sws,2,baby,spoon,spoon,spoon,baby,mal_plain_fem_sws,critical,3/9/2017,14:01,left,true,1531,2,1_2_2_1,word_1_word_2,near,spoon,Clear_Before,preschool,hanna,2012-04-22,,English,,,,,,female
9nbXC,3,1,mal_plain,fem_sws,3,baby,spoon,spoon,spoon,baby,mal_plain_fem_sws,critical,3/9/2017,14:01,left,true,2826,2,1_2_2_1,word_1_word_2,near,spoon,Clear_Before,preschool,hanna,2012-04-22,,English,,,,,,female
9nbXC,4,12,mal_plain,fem_sws,1,yoghurt,foot,foot,yoghurt,foot,mal_plain_fem_sws,critical,3/9/2017,14:01,left,true,2447,2,1_2_2_1,word_2_word_1,near,yoghurt,Clear_Before,preschool,hanna,2012-04-22,,English,,,,,,female
9nbXC,4,12,mal_plain,fem_sws,2,yoghurt,foot,foot,yoghurt,foot,mal_plain_fem_sws,critical,3/9/2017,14:01,right,true,1731,1,1_2_2_1,word_2_word_1,near,foot,Clear_Before,preschool,hanna,2012-04-22,,English,,,,,,female
9nbXC,4,12,mal_plain,fem_sws,3,yoghurt,foot,foot,yoghurt,foot,mal_plain_fem_sws,critical,3/9/2017,14:01,right,true,5159,4,1_2_2_1,word_2_word_1,near,foot,Clear_Before,preschool,hanna,2012-04-22,,English,,,,,,female
9nbXC,5,3,mal_plain,fem_sws,1,nose,trousers,nose,nose,trousers,mal_plain_fem_sws,critical,3/9/2017,14:01,left,true,2635,2,2_1_2_1,word_2_word_1,far,nose,Clear_Before,preschool,hanna,2012-04-22,,English,,,,,,female
9nbXC,5,3,mal_plain,fem_sws,2,nose,trousers,nose,nose,trousers,mal_plain_fem_sws,critical,3/9/2017,14:01,right,true,2023,2,2_1_2_1,word_2_word_1,far,trousers,Clear_Before,preschool,hanna,2012-04-22,,English,,,,,,female
9nbXC,5,3,mal_plain,fem_sws,3,nose,trousers,nose,nose,trousers,mal_plain_fem_sws,critical,3/9/2017,14:01,left,true,4922,1,2_1_2_1,word_2_word_1,far,nose,Clear_Before,preschool,hanna,2012-04-22,,English,,,,,,female
9nbXC,6,2,mal_plain,fem_sws,1,bed,chicken,bed,chicken,bed,mal_plain_fem_sws,critical,3/9/2017,14:01,right,true,2674,2,1_2_1_1,word_2_word_1,far,bed,Clear_Before,preschool,hanna,2012-04-22,,English,,,,,,female
9nbXC,6,2,mal_plain,fem_sws,2,bed,chicken,bed,chicken,bed,mal_plain_fem_sws,critical,3/9/2017,14:01,left,true,2499,1,1_2_1_1,word_2_word_1,far,chicken,Clear_Before,preschool,hanna,2012-04-22,,English,,,,,,female
9nbXC,6,2,mal_plain,fem_sws,3,bed,chicken,bed,chicken,bed,mal_plain_fem_sws,critical,3/9/2017,14:01,right,true,5508,1,1_2_1_1,word_2_word_1,far,bed,Clear_Before,preschool,hanna,2012-04-22,,English,,,,,,female
9nbXC,7,14,mal_plain,fem_sws,1,shoes,cheese,cheese,shoes,cheese,mal_plain_fem_sws,critical,3/9/2017,14:01,left,true,2354,2,2_1_1_1,word_2_word_1,near,shoes,Clear_Before,preschool,hanna,2012-04-22,,English,,,,,,female
9nbXC,7,14,mal_plain,fem_sws,2,shoes,cheese,cheese,shoes,cheese,mal_plain_fem_sws,critical,3/9/2017,14:01,right,true,2431,1,2_1_1_1,word_2_word_1,near,cheese,Clear_Before,preschool,hanna,2012-04-22,,English,,,,,,female
9nbXC,7,14,mal_plain,fem_sws,3,shoes,cheese,cheese,shoes,cheese,mal_plain_fem_sws,critical,3/9/2017,14:01,right,true,2776,2,2_1_1_1,word_2_word_1,near,cheese,Clear_Before,preschool,hanna,2012-04-22,,English,,,,,,female
9nbXC,8,17,mal_plain,fem_sws,1,cake,ambulance,cake,ambulance,cake,mal_plain_fem_sws,critical,3/9/2017,14:01,right,true,1944,2,1_2_1_1,word_2_word_1,far,cake,Clear_Before,preschool,hanna,2012-04-22,,English,,,,,,female
9nbXC,8,17,mal_plain,fem_sws,2,cake,ambulance,cake,ambulance,cake,mal_plain_fem_sws,critical,3/9/2017,14:01,left,true,1947,2,1_2_1_1,word_2_word_1,far,ambulance,Clear_Before,preschool,hanna,2012-04-22,,English,,,,,,female
9nbXC,8,17,mal_plain,fem_sws,3,cake,ambulance,cake,ambulance,cake,mal_plain_fem_sws,critical,3/9/2017,14:01,right,true,2748,2,1_2_1_1,word_2_word_1,far,cake,Clear_Before,preschool,hanna,2012-04-22,,English,,,,,,female
9nbXC,9,4,mal_plain,fem_sws,1,strawberry,coat,coat,strawberry,coat,mal_plain_fem_sws,critical,3/9/2017,14:01,left,true,2433,2,1_2_2_1,word_2_word_1,near,strawberry,Clear_Before,preschool,hanna,2012-04-22,,English,,,,,,female
9nbXC,9,4,mal_plain,fem_sws,2,strawberry,coat,coat,strawberry,coat,mal_plain_fem_sws,critical,3/9/2017,14:01,right,true,2960,2,1_2_2_1,word_2_word_1,near,coat,Clear_Before,preschool,hanna,2012-04-22,,English,,,,,,female
9nbXC,9,4,mal_plain,fem_sws,3,strawberry,coat,coat,strawberry,coat,mal_plain_fem_sws,critical,3/9/2017,14:01,right,true,2517,1,1_2_2_1,word_2_word_1,near,coat,Clear_Before,preschool,hanna,2012-04-22,,English,,,,,,female
9nbXC,10,21,mal_plain,fem_sws,1,frog,sheep,frog,sheep,frog,mal_plain_fem_sws,critical,3/9/2017,14:01,right,true,2864,2,1_2_1_1,word_2_word_1,far,frog,Clear_Before,preschool,hanna,2012-04-22,,English,,,,,,female
9nbXC,10,21,mal_plain,fem_sws,2,frog,sheep,frog,sheep,frog,mal_plain_fem_sws,critical,3/9/2017,14:01,left,true,2149,1,1_2_1_1,word_2_word_1,far,sheep,Clear_Before,preschool,hanna,2012-04-22,,English,,,,,,female
9nbXC,10,21,mal_plain,fem_sws,3,frog,sheep,frog,sheep,frog,mal_plain_fem_sws,critical,3/9/2017,14:01,right,true,3112,1,1_2_1_1,word_2_word_1,far,frog,Clear_Before,preschool,hanna,2012-04-22,,English,,,,,,female
9nbXC,11,11,mal_plain,fem_sws,1,book,lorry,book,book,lorry,mal_plain_fem_sws,critical,3/9/2017,14:01,left,true,2194,2,2_1_2_1,word_1_word_2,far,book,Clear_Before,preschool,hanna,2012-04-22,,English,,,,,,female
9nbXC,11,11,mal_plain,fem_sws,2,book,lorry,book,book,lorry,mal_plain_fem_sws,critical,3/9/2017,14:01,right,true,1826,1,2_1_2_1,word_1_word_2,far,lorry,Clear_Before,preschool,hanna,2012-04-22,,English,,,,,,female
9nbXC,11,11,mal_plain,fem_sws,3,book,lorry,book,book,lorry,mal_plain_fem_sws,critical,3/9/2017,14:01,left,true,2794,4,2_1_2_1,word_1_word_2,far,book,Clear_Before,preschool,hanna,2012-04-22,,English,,,,,,female
9nbXC,12,23,mal_plain,fem_sws,1,bath,teddy_bear,teddy_bear,bath,teddy_bear,mal_plain_fem_sws,critical,3/9/2017,14:01,left,true,2940,2,1_2_2_1,word_1_word_2,near,bath,Clear_Before,preschool,hanna,2012-04-22,,English,,,,,,female
