subject_id,trial_number,trial_id,plain,sws,instruction_number,sound1_item,sound2_item,sound3_item,left_image,right_image,sound_gender,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,pic_position,distance,chosen_pic,test_lang,testing_loc,tester,date_of_birth,ethnicity,native_lang,other_langs,parental_occ,dev_info,birth_order,num_siblings,gender
9sb31,1,0,mal_plain,mal_sws,1,fireman,glasses,fireman,fireman,glasses,mal_plain_mal_sws,training,3/20/2017,10:16,left,true,6543,6,2_1_2_1,word_1_word_2,far,fireman,Clear_After,preschool,hanna,2015-01-14,,English,,,,2,1,male
9sb31,1,0,mal_plain,mal_sws,2,fireman,glasses,fireman,fireman,glasses,mal_plain_mal_sws,training,3/20/2017,10:16,left,false,7694,5,2_1_2_1,word_1_word_2,far,fireman,Clear_After,preschool,hanna,2015-01-14,,English,,,,2,1,male
9sb31,1,0,mal_plain,mal_sws,3,fireman,glasses,fireman,fireman,glasses,mal_plain_mal_sws,training,3/20/2017,10:16,right,false,924,2,2_1_2_1,word_1_word_2,far,glasses,Clear_After,preschool,hanna,2015-01-14,,English,,,,2,1,male
9sb31,2,8,mal_plain,mal_sws,1,fire_engine,wellyboots,wellyboots,fire_engine,wellyboots,mal_plain_mal_sws,critical,3/20/2017,10:16,right,false,1811,2,1_2_2_1,word_2_word_1,near,wellyboots,Clear_After,preschool,hanna,2015-01-14,,English,,,,2,1,male
9sb31,2,8,mal_plain,mal_sws,2,fire_engine,wellyboots,wellyboots,fire_engine,wellyboots,mal_plain_mal_sws,critical,3/20/2017,10:16,left,false,10083,11,1_2_2_1,word_2_word_1,near,fire_engine,Clear_After,preschool,hanna,2015-01-14,,English,,,,2,1,male
9sb31,2,8,mal_plain,mal_sws,3,fire_engine,wellyboots,wellyboots,fire_engine,wellyboots,mal_plain_mal_sws,critical,3/20/2017,10:16,right,true,7615,1,1_2_2_1,word_2_word_1,near,wellyboots,Clear_After,preschool,hanna,2015-01-14,,English,,,,2,1,male
9sb31,3,19,mal_plain,mal_sws,1,santa,building_blocks,building_blocks,building_blocks,santa,mal_plain_mal_sws,critical,3/20/2017,10:16,right,true,274,2,2_1_1_1,word_2_word_1,near,santa,Clear_After,preschool,hanna,2015-01-14,,English,,,,2,1,male
9sb31,3,19,mal_plain,mal_sws,2,santa,building_blocks,building_blocks,building_blocks,santa,mal_plain_mal_sws,critical,3/20/2017,10:16,left,true,761,2,2_1_1_1,word_2_word_1,near,building_blocks,Clear_After,preschool,hanna,2015-01-14,,English,,,,2,1,male
9sb31,3,19,mal_plain,mal_sws,3,santa,building_blocks,building_blocks,building_blocks,santa,mal_plain_mal_sws,critical,3/20/2017,10:16,right,false,12750,12,2_1_1_1,word_2_word_1,near,santa,Clear_After,preschool,hanna,2015-01-14,,English,,,,2,1,male
9sb31,4,5,mal_plain,mal_sws,1,orange,car,orange,orange,car,mal_plain_mal_sws,critical,3/20/2017,10:16,right,false,9112,4,1_2_1_1,word_1_word_2,far,car,Clear_After,preschool,hanna,2015-01-14,,English,,,,2,1,male
9sb31,4,5,mal_plain,mal_sws,2,orange,car,orange,orange,car,mal_plain_mal_sws,critical,3/20/2017,10:16,right,true,11075,8,1_2_1_1,word_1_word_2,far,car,Clear_After,preschool,hanna,2015-01-14,,English,,,,2,1,male
9sb31,4,5,mal_plain,mal_sws,3,orange,car,orange,orange,car,mal_plain_mal_sws,critical,3/20/2017,10:16,right,false,5148,9,1_2_1_1,word_1_word_2,far,car,Clear_After,preschool,hanna,2015-01-14,,English,,,,2,1,male
9sb31,5,1,mal_plain,mal_sws,1,spoon,baby,baby,baby,spoon,mal_plain_mal_sws,critical,3/20/2017,10:16,left,false,603,2,2_1_1_1,word_2_word_1,near,baby,Clear_After,preschool,hanna,2015-01-14,,English,,,,2,1,male
9sb31,5,1,mal_plain,mal_sws,2,spoon,baby,baby,baby,spoon,mal_plain_mal_sws,critical,3/20/2017,10:16,right,false,4957,3,2_1_1_1,word_2_word_1,near,spoon,Clear_After,preschool,hanna,2015-01-14,,English,,,,2,1,male
9sb31,5,1,mal_plain,mal_sws,3,spoon,baby,baby,baby,spoon,mal_plain_mal_sws,critical,3/20/2017,10:16,left,true,3866,2,2_1_1_1,word_2_word_1,near,baby,Clear_After,preschool,hanna,2015-01-14,,English,,,,2,1,male
9sb31,6,23,mal_plain,mal_sws,1,bath,teddy_bear,teddy_bear,bath,teddy_bear,mal_plain_mal_sws,critical,3/20/2017,10:16,right,false,2112,1,2_1_1_1,word_1_word_2,near,teddy_bear,Clear_After,preschool,hanna,2015-01-14,,English,,,,2,1,male
9sb31,6,23,mal_plain,mal_sws,2,bath,teddy_bear,teddy_bear,bath,teddy_bear,mal_plain_mal_sws,critical,3/20/2017,10:16,left,false,4138,4,2_1_1_1,word_1_word_2,near,bath,Clear_After,preschool,hanna,2015-01-14,,English,,,,2,1,male
