subject_id,trial_number,trial_id,plain,sws,instruction_number,sound1_item,sound2_item,sound3_item,left_image,right_image,sound_gender,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,pic_position,distance,chosen_pic,test_lang,testing_loc,tester,date_of_birth,ethnicity,native_lang,other_langs,parental_occ,dev_info,birth_order,num_siblings,gender
ByKQX,1,0,mal_plain,mal_sws,1,glasses,fireman,glasses,glasses,fireman,mal_plain_mal_sws,training,3/31/2017,9:49,left,true,15272,4,2_1_2_1,word_2_word_1,far,glasses,Clear_After,lab,hanna,2014-11-13,,English,,,,3,2,female
ByKQX,1,0,mal_plain,mal_sws,2,glasses,fireman,glasses,glasses,fireman,mal_plain_mal_sws,training,3/31/2017,9:49,left,false,13150,3,2_1_2_1,word_2_word_1,far,glasses,Clear_After,lab,hanna,2014-11-13,,English,,,,3,2,female
ByKQX,1,0,mal_plain,mal_sws,3,glasses,fireman,glasses,glasses,fireman,mal_plain_mal_sws,training,3/31/2017,9:49,left,true,7030,4,2_1_2_1,word_2_word_1,far,glasses,Clear_After,lab,hanna,2014-11-13,,English,,,,3,2,female
ByKQX,2,4,mal_plain,mal_sws,1,coat,strawberry,strawberry,coat,strawberry,mal_plain_mal_sws,critical,3/31/2017,9:49,left,true,8349,2,1_2_2_1,word_1_word_2,near,coat,Clear_After,lab,hanna,2014-11-13,,English,,,,3,2,female
ByKQX,2,4,mal_plain,mal_sws,2,coat,strawberry,strawberry,coat,strawberry,mal_plain_mal_sws,critical,3/31/2017,9:49,left,false,8156,4,1_2_2_1,word_1_word_2,near,coat,Clear_After,lab,hanna,2014-11-13,,English,,,,3,2,female
ByKQX,2,4,mal_plain,mal_sws,3,coat,strawberry,strawberry,coat,strawberry,mal_plain_mal_sws,critical,3/31/2017,9:49,right,true,4864,2,1_2_2_1,word_1_word_2,near,strawberry,Clear_After,lab,hanna,2014-11-13,,English,,,,3,2,female
ByKQX,3,5,mal_plain,mal_sws,1,orange,car,orange,car,orange,mal_plain_mal_sws,critical,3/31/2017,9:49,right,true,9774,2,2_1_2_1,word_2_word_1,far,orange,Clear_After,lab,hanna,2014-11-13,,English,,,,3,2,female
ByKQX,3,5,mal_plain,mal_sws,2,orange,car,orange,car,orange,mal_plain_mal_sws,critical,3/31/2017,9:49,right,false,10232,4,2_1_2_1,word_2_word_1,far,orange,Clear_After,lab,hanna,2014-11-13,,English,,,,3,2,female
ByKQX,3,5,mal_plain,mal_sws,3,orange,car,orange,car,orange,mal_plain_mal_sws,critical,3/31/2017,9:49,left,false,5973,4,2_1_2_1,word_2_word_1,far,car,Clear_After,lab,hanna,2014-11-13,,English,,,,3,2,female
ByKQX,4,14,mal_plain,mal_sws,1,shoes,cheese,shoes,cheese,shoes,mal_plain_mal_sws,critical,3/31/2017,9:49,right,true,15211,2,2_1_2_1,word_1_word_2,far,shoes,Clear_After,lab,hanna,2014-11-13,,English,,,,3,2,female
ByKQX,4,14,mal_plain,mal_sws,2,shoes,cheese,shoes,cheese,shoes,mal_plain_mal_sws,critical,3/31/2017,9:49,right,false,4799,2,2_1_2_1,word_1_word_2,far,shoes,Clear_After,lab,hanna,2014-11-13,,English,,,,3,2,female
ByKQX,4,14,mal_plain,mal_sws,3,shoes,cheese,shoes,cheese,shoes,mal_plain_mal_sws,critical,3/31/2017,9:49,left,false,3903,2,2_1_2_1,word_1_word_2,far,cheese,Clear_After,lab,hanna,2014-11-13,,English,,,,3,2,female
ByKQX,5,11,mal_plain,mal_sws,1,book,lorry,book,lorry,book,mal_plain_mal_sws,critical,3/31/2017,9:49,left,false,10859,3,2_1_2_1,word_2_word_1,far,lorry,Clear_After,lab,hanna,2014-11-13,,English,,,,3,2,female
ByKQX,5,11,mal_plain,mal_sws,2,book,lorry,book,lorry,book,mal_plain_mal_sws,critical,3/31/2017,9:49,right,false,6341,1,2_1_2_1,word_2_word_1,far,book,Clear_After,lab,hanna,2014-11-13,,English,,,,3,2,female
ByKQX,5,11,mal_plain,mal_sws,3,book,lorry,book,lorry,book,mal_plain_mal_sws,critical,3/31/2017,9:49,left,false,2662,1,2_1_2_1,word_2_word_1,far,lorry,Clear_After,lab,hanna,2014-11-13,,English,,,,3,2,female
ByKQX,6,20,mal_plain,mal_sws,1,jumper,rabbit,jumper,rabbit,jumper,mal_plain_mal_sws,critical,3/31/2017,9:49,left,false,10223,2,1_2_1_1,word_2_word_1,far,rabbit,Clear_After,lab,hanna,2014-11-13,,English,,,,3,2,female
ByKQX,6,20,mal_plain,mal_sws,2,jumper,rabbit,jumper,rabbit,jumper,mal_plain_mal_sws,critical,3/31/2017,9:49,right,false,4724,1,1_2_1_1,word_2_word_1,far,jumper,Clear_After,lab,hanna,2014-11-13,,English,,,,3,2,female
ByKQX,6,20,mal_plain,mal_sws,3,jumper,rabbit,jumper,rabbit,jumper,mal_plain_mal_sws,critical,3/31/2017,9:49,left,false,2229,1,1_2_1_1,word_2_word_1,far,rabbit,Clear_After,lab,hanna,2014-11-13,,English,,,,3,2,female
ByKQX,7,21,mal_plain,mal_sws,1,sheep,frog,sheep,frog,sheep,mal_plain_mal_sws,critical,3/31/2017,9:49,left,false,9581,2,1_2_1_1,word_1_word_2,far,frog,Clear_After,lab,hanna,2014-11-13,,English,,,,3,2,female
ByKQX,7,21,mal_plain,mal_sws,2,sheep,frog,sheep,frog,sheep,mal_plain_mal_sws,critical,3/31/2017,9:49,right,false,3622,1,1_2_1_1,word_1_word_2,far,sheep,Clear_After,lab,hanna,2014-11-13,,English,,,,3,2,female
ByKQX,7,21,mal_plain,mal_sws,3,sheep,frog,sheep,frog,sheep,mal_plain_mal_sws,critical,3/31/2017,9:49,left,false,3475,1,1_2_1_1,word_1_word_2,far,frog,Clear_After,lab,hanna,2014-11-13,,English,,,,3,2,female
ByKQX,8,7,mal_plain,mal_sws,1,lolly,horse,lolly,lolly,horse,mal_plain_mal_sws,critical,3/31/2017,9:49,left,true,10286,2,1_2_1_1,word_1_word_2,far,lolly,Clear_After,lab,hanna,2014-11-13,,English,,,,3,2,female
ByKQX,8,7,mal_plain,mal_sws,2,lolly,horse,lolly,lolly,horse,mal_plain_mal_sws,critical,3/31/2017,9:49,left,false,10530,2,1_2_1_1,word_1_word_2,far,lolly,Clear_After,lab,hanna,2014-11-13,,English,,,,3,2,female
ByKQX,8,7,mal_plain,mal_sws,3,lolly,horse,lolly,lolly,horse,mal_plain_mal_sws,critical,3/31/2017,9:49,right,false,3285,2,1_2_1_1,word_1_word_2,far,horse,Clear_After,lab,hanna,2014-11-13,,English,,,,3,2,female
ByKQX,9,18,mal_plain,mal_sws,1,ball,raspberry,raspberry,raspberry,ball,mal_plain_mal_sws,critical,3/31/2017,9:49,left,false,12067,2,1_2_2_1,word_2_word_1,near,raspberry,Clear_After,lab,hanna,2014-11-13,,English,,,,3,2,female
ByKQX,9,18,mal_plain,mal_sws,2,ball,raspberry,raspberry,raspberry,ball,mal_plain_mal_sws,critical,3/31/2017,9:49,right,false,6155,4,1_2_2_1,word_2_word_1,near,ball,Clear_After,lab,hanna,2014-11-13,,English,,,,3,2,female
ByKQX,9,18,mal_plain,mal_sws,3,ball,raspberry,raspberry,raspberry,ball,mal_plain_mal_sws,critical,3/31/2017,9:49,left,true,4600,1,1_2_2_1,word_2_word_1,near,raspberry,Clear_After,lab,hanna,2014-11-13,,English,,,,3,2,female
ByKQX,10,13,mal_plain,mal_sws,1,toothbrush,airplane,airplane,airplane,toothbrush,mal_plain_mal_sws,critical,3/31/2017,9:49,left,false,7324,1,2_1_1_1,word_2_word_1,near,airplane,Clear_After,lab,hanna,2014-11-13,,English,,,,3,2,female
ByKQX,10,13,mal_plain,mal_sws,2,toothbrush,airplane,airplane,airplane,toothbrush,mal_plain_mal_sws,critical,3/31/2017,9:49,right,false,2840,2,2_1_1_1,word_2_word_1,near,toothbrush,Clear_After,lab,hanna,2014-11-13,,English,,,,3,2,female
ByKQX,10,13,mal_plain,mal_sws,3,toothbrush,airplane,airplane,airplane,toothbrush,mal_plain_mal_sws,critical,3/31/2017,9:49,left,true,2593,2,2_1_1_1,word_2_word_1,near,airplane,Clear_After,lab,hanna,2014-11-13,,English,,,,3,2,female
ByKQX,11,22,mal_plain,mal_sws,1,bike,dog,dog,dog,bike,mal_plain_mal_sws,critical,3/31/2017,9:49,left,false,3085,2,2_1_1_1,word_2_word_1,near,dog,Clear_After,lab,hanna,2014-11-13,,English,,,,3,2,female
ByKQX,11,22,mal_plain,mal_sws,2,bike,dog,dog,dog,bike,mal_plain_mal_sws,critical,3/31/2017,9:49,right,false,2402,2,2_1_1_1,word_2_word_1,near,bike,Clear_After,lab,hanna,2014-11-13,,English,,,,3,2,female
ByKQX,11,22,mal_plain,mal_sws,3,bike,dog,dog,dog,bike,mal_plain_mal_sws,critical,3/31/2017,9:49,left,true,2734,2,2_1_1_1,word_2_word_1,near,dog,Clear_After,lab,hanna,2014-11-13,,English,,,,3,2,female
ByKQX,12,9,mal_plain,mal_sws,1,pizza,window,window,window,pizza,mal_plain_mal_sws,critical,3/31/2017,9:49,left,false,7900,2,1_2_2_1,word_2_word_1,near,window,Clear_After,lab,hanna,2014-11-13,,English,,,,3,2,female
ByKQX,12,9,mal_plain,mal_sws,2,pizza,window,window,window,pizza,mal_plain_mal_sws,critical,3/31/2017,9:49,right,false,3285,1,1_2_2_1,word_2_word_1,near,pizza,Clear_After,lab,hanna,2014-11-13,,English,,,,3,2,female
ByKQX,12,9,mal_plain,mal_sws,3,pizza,window,window,window,pizza,mal_plain_mal_sws,critical,3/31/2017,9:49,left,true,3965,1,1_2_2_1,word_2_word_1,near,window,Clear_After,lab,hanna,2014-11-13,,English,,,,3,2,female
ByKQX,13,23,mal_plain,mal_sws,1,bath,teddy_bear,teddy_bear,bath,teddy_bear,mal_plain_mal_sws,critical,3/31/2017,9:49,left,true,6465,2,2_1_1_1,word_1_word_2,near,bath,Clear_After,lab,hanna,2014-11-13,,English,,,,3,2,female
ByKQX,13,23,mal_plain,mal_sws,2,bath,teddy_bear,teddy_bear,bath,teddy_bear,mal_plain_mal_sws,critical,3/31/2017,9:49,left,false,2589,1,2_1_1_1,word_1_word_2,near,bath,Clear_After,lab,hanna,2014-11-13,,English,,,,3,2,female
ByKQX,13,23,mal_plain,mal_sws,3,bath,teddy_bear,teddy_bear,bath,teddy_bear,mal_plain_mal_sws,critical,3/31/2017,9:49,right,true,2149,2,2_1_1_1,word_1_word_2,near,teddy_bear,Clear_After,lab,hanna,2014-11-13,,English,,,,3,2,female
ByKQX,14,8,mal_plain,mal_sws,1,fire_engine,wellyboots,wellyboots,fire_engine,wellyboots,mal_plain_mal_sws,critical,3/31/2017,9:49,left,true,8381,1,1_2_2_1,word_2_word_1,near,fire_engine,Clear_After,lab,hanna,2014-11-13,,English,,,,3,2,female
ByKQX,14,8,mal_plain,mal_sws,2,fire_engine,wellyboots,wellyboots,fire_engine,wellyboots,mal_plain_mal_sws,critical,3/31/2017,9:49,left,false,2901,2,1_2_2_1,word_2_word_1,near,fire_engine,Clear_After,lab,hanna,2014-11-13,,English,,,,3,2,female
ByKQX,14,8,mal_plain,mal_sws,3,fire_engine,wellyboots,wellyboots,fire_engine,wellyboots,mal_plain_mal_sws,critical,3/31/2017,9:49,right,true,2842,1,1_2_2_1,word_2_word_1,near,wellyboots,Clear_After,lab,hanna,2014-11-13,,English,,,,3,2,female
ByKQX,15,2,mal_plain,mal_sws,1,chicken,bed,bed,bed,chicken,mal_plain_mal_sws,critical,3/31/2017,9:49,left,false,7637,2,2_1_1_1,word_1_word_2,near,bed,Clear_After,lab,hanna,2014-11-13,,English,,,,3,2,female
ByKQX,15,2,mal_plain,mal_sws,2,chicken,bed,bed,bed,chicken,mal_plain_mal_sws,critical,3/31/2017,9:49,right,false,3246,1,2_1_1_1,word_1_word_2,near,chicken,Clear_After,lab,hanna,2014-11-13,,English,,,,3,2,female
ByKQX,15,2,mal_plain,mal_sws,3,chicken,bed,bed,bed,chicken,mal_plain_mal_sws,critical,3/31/2017,9:49,left,true,2528,1,2_1_1_1,word_1_word_2,near,bed,Clear_After,lab,hanna,2014-11-13,,English,,,,3,2,female
ByKQX,16,12,mal_plain,mal_sws,1,yoghurt,foot,foot,yoghurt,foot,mal_plain_mal_sws,critical,3/31/2017,9:49,left,true,7525,1,2_1_1_1,word_2_word_1,near,yoghurt,Clear_After,lab,hanna,2014-11-13,,English,,,,3,2,female
ByKQX,16,12,mal_plain,mal_sws,2,yoghurt,foot,foot,yoghurt,foot,mal_plain_mal_sws,critical,3/31/2017,9:49,left,false,3266,1,2_1_1_1,word_2_word_1,near,yoghurt,Clear_After,lab,hanna,2014-11-13,,English,,,,3,2,female
ByKQX,16,12,mal_plain,mal_sws,3,yoghurt,foot,foot,yoghurt,foot,mal_plain_mal_sws,critical,3/31/2017,9:49,right,true,2435,1,2_1_1_1,word_2_word_1,near,foot,Clear_After,lab,hanna,2014-11-13,,English,,,,3,2,female
ByKQX,17,24,mal_plain,mal_sws,1,fish,sink,fish,sink,fish,mal_plain_mal_sws,critical,3/31/2017,9:49,left,false,6787,2,1_2_1_1,word_1_word_2,far,sink,Clear_After,lab,hanna,2014-11-13,,English,,,,3,2,female
ByKQX,17,24,mal_plain,mal_sws,2,fish,sink,fish,sink,fish,mal_plain_mal_sws,critical,3/31/2017,9:49,right,false,2569,2,1_2_1_1,word_1_word_2,far,fish,Clear_After,lab,hanna,2014-11-13,,English,,,,3,2,female
ByKQX,17,24,mal_plain,mal_sws,3,fish,sink,fish,sink,fish,mal_plain_mal_sws,critical,3/31/2017,9:49,left,false,2880,2,1_2_1_1,word_1_word_2,far,sink,Clear_After,lab,hanna,2014-11-13,,English,,,,3,2,female
ByKQX,18,15,mal_plain,mal_sws,1,slide,pencil,slide,slide,pencil,mal_plain_mal_sws,critical,3/31/2017,9:49,left,true,6051,2,2_1_2_1,word_1_word_2,far,slide,Clear_After,lab,hanna,2014-11-13,,English,,,,3,2,female
ByKQX,18,15,mal_plain,mal_sws,2,slide,pencil,slide,slide,pencil,mal_plain_mal_sws,critical,3/31/2017,9:49,left,false,2725,2,2_1_2_1,word_1_word_2,far,slide,Clear_After,lab,hanna,2014-11-13,,English,,,,3,2,female
ByKQX,18,15,mal_plain,mal_sws,3,slide,pencil,slide,slide,pencil,mal_plain_mal_sws,critical,3/31/2017,9:49,right,false,1946,1,2_1_2_1,word_1_word_2,far,pencil,Clear_After,lab,hanna,2014-11-13,,English,,,,3,2,female
ByKQX,19,17,mal_plain,mal_sws,1,ambulance,cake,ambulance,cake,ambulance,mal_plain_mal_sws,critical,3/31/2017,9:49,left,false,6696,2,1_2_1_1,word_1_word_2,far,cake,Clear_After,lab,hanna,2014-11-13,,English,,,,3,2,female
ByKQX,19,17,mal_plain,mal_sws,2,ambulance,cake,ambulance,cake,ambulance,mal_plain_mal_sws,critical,3/31/2017,9:49,right,false,2301,1,1_2_1_1,word_1_word_2,far,ambulance,Clear_After,lab,hanna,2014-11-13,,English,,,,3,2,female
ByKQX,19,17,mal_plain,mal_sws,3,ambulance,cake,ambulance,cake,ambulance,mal_plain_mal_sws,critical,3/31/2017,9:49,left,false,2202,1,1_2_1_1,word_1_word_2,far,cake,Clear_After,lab,hanna,2014-11-13,,English,,,,3,2,female
ByKQX,20,19,mal_plain,mal_sws,1,building_blocks,santa,santa,building_blocks,santa,mal_plain_mal_sws,critical,3/31/2017,9:49,left,true,6474,2,1_2_2_1,word_2_word_1,near,building_blocks,Clear_After,lab,hanna,2014-11-13,,English,,,,3,2,female
ByKQX,20,19,mal_plain,mal_sws,2,building_blocks,santa,santa,building_blocks,santa,mal_plain_mal_sws,critical,3/31/2017,9:49,left,false,4117,2,1_2_2_1,word_2_word_1,near,building_blocks,Clear_After,lab,hanna,2014-11-13,,English,,,,3,2,female
ByKQX,20,19,mal_plain,mal_sws,3,building_blocks,santa,santa,building_blocks,santa,mal_plain_mal_sws,critical,3/31/2017,9:49,right,true,2680,1,1_2_2_1,word_2_word_1,near,santa,Clear_After,lab,hanna,2014-11-13,,English,,,,3,2,female
ByKQX,21,16,mal_plain,mal_sws,1,banana,paintbrush,banana,banana,paintbrush,mal_plain_mal_sws,critical,3/31/2017,9:49,left,true,8105,2,2_1_2_1,word_2_word_1,far,banana,Clear_After,lab,hanna,2014-11-13,,English,,,,3,2,female
ByKQX,21,16,mal_plain,mal_sws,2,banana,paintbrush,banana,banana,paintbrush,mal_plain_mal_sws,critical,3/31/2017,9:49,left,false,2066,1,2_1_2_1,word_2_word_1,far,banana,Clear_After,lab,hanna,2014-11-13,,English,,,,3,2,female
ByKQX,21,16,mal_plain,mal_sws,3,banana,paintbrush,banana,banana,paintbrush,mal_plain_mal_sws,critical,3/31/2017,9:49,right,false,2489,1,2_1_2_1,word_2_word_1,far,paintbrush,Clear_After,lab,hanna,2014-11-13,,English,,,,3,2,female
ByKQX,22,6,mal_plain,mal_sws,1,peas,bird,bird,bird,peas,mal_plain_mal_sws,critical,3/31/2017,9:49,right,true,5400,2,2_1_1_1,word_1_word_2,near,peas,Clear_After,lab,hanna,2014-11-13,,English,,,,3,2,female
ByKQX,22,6,mal_plain,mal_sws,2,peas,bird,bird,bird,peas,mal_plain_mal_sws,critical,3/31/2017,9:49,right,false,2402,1,2_1_1_1,word_1_word_2,near,peas,Clear_After,lab,hanna,2014-11-13,,English,,,,3,2,female
ByKQX,22,6,mal_plain,mal_sws,3,peas,bird,bird,bird,peas,mal_plain_mal_sws,critical,3/31/2017,9:49,left,true,2198,1,2_1_1_1,word_1_word_2,near,bird,Clear_After,lab,hanna,2014-11-13,,English,,,,3,2,female
ByKQX,23,10,mal_plain,mal_sws,1,tshirt,pig,pig,pig,tshirt,mal_plain_mal_sws,critical,3/31/2017,9:49,left,false,7151,2,1_2_2_1,word_1_word_2,near,pig,Clear_After,lab,hanna,2014-11-13,,English,,,,3,2,female
ByKQX,23,10,mal_plain,mal_sws,2,tshirt,pig,pig,pig,tshirt,mal_plain_mal_sws,critical,3/31/2017,9:49,right,false,3137,1,1_2_2_1,word_1_word_2,near,tshirt,Clear_After,lab,hanna,2014-11-13,,English,,,,3,2,female
ByKQX,23,10,mal_plain,mal_sws,3,tshirt,pig,pig,pig,tshirt,mal_plain_mal_sws,critical,3/31/2017,9:49,left,true,2153,1,1_2_2_1,word_1_word_2,near,pig,Clear_After,lab,hanna,2014-11-13,,English,,,,3,2,female
ByKQX,24,1,mal_plain,mal_sws,1,baby,spoon,baby,spoon,baby,mal_plain_mal_sws,critical,3/31/2017,9:49,right,true,3115,2,1_2_1_1,word_1_word_2,far,baby,Clear_After,lab,hanna,2014-11-13,,English,,,,3,2,female
ByKQX,24,1,mal_plain,mal_sws,2,baby,spoon,baby,spoon,baby,mal_plain_mal_sws,critical,3/31/2017,9:49,right,false,2265,1,1_2_1_1,word_1_word_2,far,baby,Clear_After,lab,hanna,2014-11-13,,English,,,,3,2,female
ByKQX,24,1,mal_plain,mal_sws,3,baby,spoon,baby,spoon,baby,mal_plain_mal_sws,critical,3/31/2017,9:49,left,false,2026,1,1_2_1_1,word_1_word_2,far,spoon,Clear_After,lab,hanna,2014-11-13,,English,,,,3,2,female
ByKQX,25,3,mal_plain,mal_sws,1,trousers,nose,trousers,trousers,nose,mal_plain_mal_sws,critical,3/31/2017,9:49,left,true,10545,2,1_2_1_1,word_1_word_2,far,trousers,Clear_After,lab,hanna,2014-11-13,,English,,,,3,2,female
