subject_id,trial_number,trial_id,plain,sws,instruction_number,sound1_item,sound2_item,sound3_item,left_image,right_image,sound_gender,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,pic_position,distance,chosen_pic,test_lang,testing_loc,tester,date_of_birth,ethnicity,native_lang,other_langs,parental_occ,dev_info,birth_order,num_siblings,gender
Cp6iy,1,0,mal_plain,fem_sws,1,fireman,glasses,glasses,fireman,glasses,mal_plain_fem_sws,training,4/7/2017,14:11,left,true,7862,3,2_1_1_1,word_1_word_2,near,fireman,Clear_After,lab,hanna,2014-06-28,,English,,,,,,male
Cp6iy,1,0,mal_plain,fem_sws,2,fireman,glasses,glasses,fireman,glasses,mal_plain_fem_sws,training,4/7/2017,14:11,left,false,2771,2,2_1_1_1,word_1_word_2,near,fireman,Clear_After,lab,hanna,2014-06-28,,English,,,,,,male
Cp6iy,1,0,mal_plain,fem_sws,3,fireman,glasses,glasses,fireman,glasses,mal_plain_fem_sws,training,4/7/2017,14:11,right,true,2284,2,2_1_1_1,word_1_word_2,near,glasses,Clear_After,lab,hanna,2014-06-28,,English,,,,,,male
Cp6iy,2,19,mal_plain,fem_sws,1,building_blocks,santa,santa,santa,building_blocks,mal_plain_fem_sws,critical,4/7/2017,14:11,right,true,7126,2,1_2_2_1,word_1_word_2,near,building_blocks,Clear_After,lab,hanna,2014-06-28,,English,,,,,,male
Cp6iy,2,19,mal_plain,fem_sws,2,building_blocks,santa,santa,santa,building_blocks,mal_plain_fem_sws,critical,4/7/2017,14:11,right,false,2730,2,1_2_2_1,word_1_word_2,near,building_blocks,Clear_After,lab,hanna,2014-06-28,,English,,,,,,male
Cp6iy,2,19,mal_plain,fem_sws,3,building_blocks,santa,santa,santa,building_blocks,mal_plain_fem_sws,critical,4/7/2017,14:11,left,true,3079,1,1_2_2_1,word_1_word_2,near,santa,Clear_After,lab,hanna,2014-06-28,,English,,,,,,male
Cp6iy,3,11,mal_plain,fem_sws,1,lorry,book,book,lorry,book,mal_plain_fem_sws,critical,4/7/2017,14:11,right,false,12503,4,1_2_2_1,word_2_word_1,near,book,Clear_After,lab,hanna,2014-06-28,,English,,,,,,male
Cp6iy,3,11,mal_plain,fem_sws,2,lorry,book,book,lorry,book,mal_plain_fem_sws,critical,4/7/2017,14:11,left,false,2759,2,1_2_2_1,word_2_word_1,near,lorry,Clear_After,lab,hanna,2014-06-28,,English,,,,,,male
Cp6iy,3,11,mal_plain,fem_sws,3,lorry,book,book,lorry,book,mal_plain_fem_sws,critical,4/7/2017,14:11,right,true,2408,2,1_2_2_1,word_2_word_1,near,book,Clear_After,lab,hanna,2014-06-28,,English,,,,,,male
Cp6iy,4,4,mal_plain,fem_sws,1,coat,strawberry,coat,coat,strawberry,mal_plain_fem_sws,critical,4/7/2017,14:11,right,false,6435,2,2_1_2_1,word_1_word_2,far,strawberry,Clear_After,lab,hanna,2014-06-28,,English,,,,,,male
