subject_id,trial_number,trial_id,plain,sws,instruction_number,sound1_item,sound2_item,sound3_item,left_image,right_image,sound_gender,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,pic_position,distance,chosen_pic,test_lang,testing_loc,tester,date_of_birth,ethnicity,native_lang,other_langs,parental_occ,dev_info,birth_order,num_siblings,gender
D1pdu,1,0,fem_plain,fem_sws,1,fireman,glasses,fireman,glasses,fireman,fem_plain_fem_sws,training,3/6/2017,14:23,right,true,6873,2,1_2_1_1,word_2_word_1,far,fireman,Clear_Before,preschool,hanna,2013-05-12,,English,,,,1,1,female
D1pdu,1,0,fem_plain,fem_sws,2,fireman,glasses,fireman,glasses,fireman,fem_plain_fem_sws,training,3/6/2017,14:23,left,true,2338,2,1_2_1_1,word_2_word_1,far,glasses,Clear_Before,preschool,hanna,2013-05-12,,English,,,,1,1,female
D1pdu,1,0,fem_plain,fem_sws,3,fireman,glasses,fireman,glasses,fireman,fem_plain_fem_sws,training,3/6/2017,14:23,right,true,2738,4,1_2_1_1,word_2_word_1,far,fireman,Clear_Before,preschool,hanna,2013-05-12,,English,,,,1,1,female
D1pdu,2,24,fem_plain,fem_sws,1,fish,sink,fish,sink,fish,fem_plain_fem_sws,critical,3/6/2017,14:23,right,true,2271,2,1_2_1_1,word_1_word_2,far,fish,Clear_Before,preschool,hanna,2013-05-12,,English,,,,1,1,female
D1pdu,2,24,fem_plain,fem_sws,2,fish,sink,fish,sink,fish,fem_plain_fem_sws,critical,3/6/2017,14:23,left,true,2594,1,1_2_1_1,word_1_word_2,far,sink,Clear_Before,preschool,hanna,2013-05-12,,English,,,,1,1,female
D1pdu,2,24,fem_plain,fem_sws,3,fish,sink,fish,sink,fish,fem_plain_fem_sws,critical,3/6/2017,14:23,right,true,7150,3,1_2_1_1,word_1_word_2,far,fish,Clear_Before,preschool,hanna,2013-05-12,,English,,,,1,1,female
D1pdu,3,16,fem_plain,fem_sws,1,paintbrush,banana,paintbrush,banana,paintbrush,fem_plain_fem_sws,critical,3/6/2017,14:23,right,true,2690,2,1_2_1_1,word_2_word_1,far,paintbrush,Clear_Before,preschool,hanna,2013-05-12,,English,,,,1,1,female
D1pdu,3,16,fem_plain,fem_sws,2,paintbrush,banana,paintbrush,banana,paintbrush,fem_plain_fem_sws,critical,3/6/2017,14:23,left,true,2007,4,1_2_1_1,word_2_word_1,far,banana,Clear_Before,preschool,hanna,2013-05-12,,English,,,,1,1,female
D1pdu,3,16,fem_plain,fem_sws,3,paintbrush,banana,paintbrush,banana,paintbrush,fem_plain_fem_sws,critical,3/6/2017,14:23,right,true,4761,2,1_2_1_1,word_2_word_1,far,paintbrush,Clear_Before,preschool,hanna,2013-05-12,,English,,,,1,1,female
D1pdu,4,13,fem_plain,fem_sws,1,airplane,toothbrush,airplane,airplane,toothbrush,fem_plain_fem_sws,critical,3/6/2017,14:23,left,true,2460,4,2_1_2_1,word_2_word_1,far,airplane,Clear_Before,preschool,hanna,2013-05-12,,English,,,,1,1,female
D1pdu,4,13,fem_plain,fem_sws,2,airplane,toothbrush,airplane,airplane,toothbrush,fem_plain_fem_sws,critical,3/6/2017,14:23,right,true,2025,2,2_1_2_1,word_2_word_1,far,toothbrush,Clear_Before,preschool,hanna,2013-05-12,,English,,,,1,1,female
D1pdu,4,13,fem_plain,fem_sws,3,airplane,toothbrush,airplane,airplane,toothbrush,fem_plain_fem_sws,critical,3/6/2017,14:23,right,false,5176,2,2_1_2_1,word_2_word_1,far,toothbrush,Clear_Before,preschool,hanna,2013-05-12,,English,,,,1,1,female
D1pdu,5,18,fem_plain,fem_sws,1,ball,raspberry,raspberry,ball,raspberry,fem_plain_fem_sws,critical,3/6/2017,14:23,left,true,2847,2,1_2_2_1,word_1_word_2,near,ball,Clear_Before,preschool,hanna,2013-05-12,,English,,,,1,1,female
D1pdu,5,18,fem_plain,fem_sws,2,ball,raspberry,raspberry,ball,raspberry,fem_plain_fem_sws,critical,3/6/2017,14:23,right,true,2540,2,1_2_2_1,word_1_word_2,near,raspberry,Clear_Before,preschool,hanna,2013-05-12,,English,,,,1,1,female
