subject_id,trial_number,trial_id,plain,sws,instruction_number,sound1_item,sound2_item,sound3_item,left_image,right_image,sound_gender,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,pic_position,distance,chosen_pic,test_lang,testing_loc,tester,date_of_birth,ethnicity,native_lang,other_langs,parental_occ,dev_info,birth_order,num_siblings,gender
ES8qj,1,0,mal_plain,mal_sws,1,fireman,glasses,glasses,fireman,glasses,mal_plain_mal_sws,training,2/22/2017,11:59,left,true,2449,4,1_2_2_1,word_1_word_2,near,fireman,Clear_Before,museum,hanna,2012-07-22,,English,,,,,0,male
ES8qj,1,0,mal_plain,mal_sws,2,fireman,glasses,glasses,fireman,glasses,mal_plain_mal_sws,training,2/22/2017,11:59,right,true,1822,2,1_2_2_1,word_1_word_2,near,glasses,Clear_Before,museum,hanna,2012-07-22,,English,,,,,0,male
ES8qj,1,0,mal_plain,mal_sws,3,fireman,glasses,glasses,fireman,glasses,mal_plain_mal_sws,training,2/22/2017,11:59,right,true,6651,6,1_2_2_1,word_1_word_2,near,glasses,Clear_Before,museum,hanna,2012-07-22,,English,,,,,0,male
ES8qj,2,23,mal_plain,mal_sws,1,bath,teddy_bear,teddy_bear,teddy_bear,bath,mal_plain_mal_sws,critical,2/22/2017,11:59,right,true,3921,4,1_2_2_1,word_2_word_1,near,bath,Clear_Before,museum,hanna,2012-07-22,,English,,,,,0,male
ES8qj,2,23,mal_plain,mal_sws,2,bath,teddy_bear,teddy_bear,teddy_bear,bath,mal_plain_mal_sws,critical,2/22/2017,11:59,left,true,2235,2,1_2_2_1,word_2_word_1,near,teddy_bear,Clear_Before,museum,hanna,2012-07-22,,English,,,,,0,male
ES8qj,2,23,mal_plain,mal_sws,3,bath,teddy_bear,teddy_bear,teddy_bear,bath,mal_plain_mal_sws,critical,2/22/2017,11:59,left,true,20112,4,1_2_2_1,word_2_word_1,near,teddy_bear,Clear_Before,museum,hanna,2012-07-22,,English,,,,,0,male
ES8qj,3,17,mal_plain,mal_sws,1,cake,ambulance,cake,cake,ambulance,mal_plain_mal_sws,critical,2/22/2017,11:59,left,true,2043,2,1_2_1_1,word_1_word_2,far,cake,Clear_Before,museum,hanna,2012-07-22,,English,,,,,0,male
ES8qj,3,17,mal_plain,mal_sws,2,cake,ambulance,cake,cake,ambulance,mal_plain_mal_sws,critical,2/22/2017,11:59,right,true,2138,4,1_2_1_1,word_1_word_2,far,ambulance,Clear_Before,museum,hanna,2012-07-22,,English,,,,,0,male
ES8qj,3,17,mal_plain,mal_sws,3,cake,ambulance,cake,cake,ambulance,mal_plain_mal_sws,critical,2/22/2017,11:59,right,false,21470,4,1_2_1_1,word_1_word_2,far,ambulance,Clear_Before,museum,hanna,2012-07-22,,English,,,,,0,male
ES8qj,4,22,mal_plain,mal_sws,1,bike,dog,bike,dog,bike,mal_plain_mal_sws,critical,2/22/2017,11:59,right,true,2551,2,2_1_2_1,word_2_word_1,far,bike,Clear_Before,museum,hanna,2012-07-22,,English,,,,,0,male
