subject_id,trial_number,trial_id,plain,sws,instruction_number,sound1_item,sound2_item,sound3_item,left_image,right_image,sound_gender,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,pic_position,distance,chosen_pic,test_lang,testing_loc,tester,date_of_birth,ethnicity,native_lang,other_langs,parental_occ,dev_info,birth_order,num_siblings,gender
EiW2l,1,0,fem_plain,mal_sws,1,glasses,fireman,fireman,glasses,fireman,fem_plain_mal_sws,training,4/5/2017,15:27,right,false,10254,4,2_1_1_1,word_2_word_1,near,fireman,Clear_After,lab,hanna,2014-11-11,,English,,,,1,1,male
EiW2l,1,0,fem_plain,mal_sws,2,glasses,fireman,fireman,glasses,fireman,fem_plain_mal_sws,training,4/5/2017,15:27,left,false,3522,4,2_1_1_1,word_2_word_1,near,glasses,Clear_After,lab,hanna,2014-11-11,,English,,,,1,1,male
EiW2l,1,0,fem_plain,mal_sws,3,glasses,fireman,fireman,glasses,fireman,fem_plain_mal_sws,training,4/5/2017,15:27,right,true,5117,4,2_1_1_1,word_2_word_1,near,fireman,Clear_After,lab,hanna,2014-11-11,,English,,,,1,1,male
EiW2l,2,13,fem_plain,mal_sws,1,airplane,toothbrush,airplane,toothbrush,airplane,fem_plain_mal_sws,critical,4/5/2017,15:27,right,true,9427,2,1_2_1_1,word_1_word_2,far,airplane,Clear_After,lab,hanna,2014-11-11,,English,,,,1,1,male
EiW2l,2,13,fem_plain,mal_sws,2,airplane,toothbrush,airplane,toothbrush,airplane,fem_plain_mal_sws,critical,4/5/2017,15:27,right,false,3286,4,1_2_1_1,word_1_word_2,far,airplane,Clear_After,lab,hanna,2014-11-11,,English,,,,1,1,male
EiW2l,2,13,fem_plain,mal_sws,3,airplane,toothbrush,airplane,toothbrush,airplane,fem_plain_mal_sws,critical,4/5/2017,15:27,left,false,2812,2,1_2_1_1,word_1_word_2,far,toothbrush,Clear_After,lab,hanna,2014-11-11,,English,,,,1,1,male
EiW2l,3,19,fem_plain,mal_sws,1,building_blocks,santa,building_blocks,santa,building_blocks,fem_plain_mal_sws,critical,4/5/2017,15:27,right,true,8504,2,2_1_2_1,word_1_word_2,far,building_blocks,Clear_After,lab,hanna,2014-11-11,,English,,,,1,1,male
EiW2l,3,19,fem_plain,mal_sws,2,building_blocks,santa,building_blocks,santa,building_blocks,fem_plain_mal_sws,critical,4/5/2017,15:27,right,false,3385,2,2_1_2_1,word_1_word_2,far,building_blocks,Clear_After,lab,hanna,2014-11-11,,English,,,,1,1,male
EiW2l,3,19,fem_plain,mal_sws,3,building_blocks,santa,building_blocks,santa,building_blocks,fem_plain_mal_sws,critical,4/5/2017,15:27,left,false,4266,2,2_1_2_1,word_1_word_2,far,santa,Clear_After,lab,hanna,2014-11-11,,English,,,,1,1,male
EiW2l,4,7,fem_plain,mal_sws,1,lolly,horse,horse,lolly,horse,fem_plain_mal_sws,critical,4/5/2017,15:27,right,false,3954,2,1_2_2_1,word_1_word_2,near,horse,Clear_After,lab,hanna,2014-11-11,,English,,,,1,1,male
