subject_id,trial_number,trial_id,plain,sws,instruction_number,sound1_item,sound2_item,sound3_item,left_image,right_image,sound_gender,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,pic_position,distance,chosen_pic,test_lang,testing_loc,tester,date_of_birth,ethnicity,native_lang,other_langs,parental_occ,dev_info,birth_order,num_siblings,gender
FRI6o,1,0,fem_plain,mal_sws,1,fireman,glasses,fireman,fireman,glasses,fem_plain_mal_sws,training,3/24/2017,15:43,left,true,13168,4,1_2_1_1,word_1_word_2,far,fireman,Clear_After,lab,barbora,2014-04-13,,,,,,2,1,male
FRI6o,1,0,fem_plain,mal_sws,2,fireman,glasses,fireman,fireman,glasses,fem_plain_mal_sws,training,3/24/2017,15:43,left,false,5706,7,1_2_1_1,word_1_word_2,far,fireman,Clear_After,lab,barbora,2014-04-13,,,,,,2,1,male
FRI6o,1,0,fem_plain,mal_sws,3,fireman,glasses,fireman,fireman,glasses,fem_plain_mal_sws,training,3/24/2017,15:43,right,false,2411,2,1_2_1_1,word_1_word_2,far,glasses,Clear_After,lab,barbora,2014-04-13,,,,,,2,1,male
FRI6o,2,13,fem_plain,mal_sws,1,airplane,toothbrush,toothbrush,toothbrush,airplane,fem_plain_mal_sws,critical,3/24/2017,15:43,right,true,231,2,1_2_2_1,word_1_word_2,near,airplane,Clear_After,lab,barbora,2014-04-13,,,,,,2,1,male
FRI6o,2,13,fem_plain,mal_sws,2,airplane,toothbrush,toothbrush,toothbrush,airplane,fem_plain_mal_sws,critical,3/24/2017,15:43,right,false,3368,3,1_2_2_1,word_1_word_2,near,airplane,Clear_After,lab,barbora,2014-04-13,,,,,,2,1,male
FRI6o,2,13,fem_plain,mal_sws,3,airplane,toothbrush,toothbrush,toothbrush,airplane,fem_plain_mal_sws,critical,3/24/2017,15:43,left,true,2397,2,1_2_2_1,word_1_word_2,near,toothbrush,Clear_After,lab,barbora,2014-04-13,,,,,,2,1,male
FRI6o,3,5,fem_plain,mal_sws,1,orange,car,orange,orange,car,fem_plain_mal_sws,critical,3/24/2017,15:43,right,false,3750,6,2_1_2_1,word_1_word_2,far,car,Clear_After,lab,barbora,2014-04-13,,,,,,2,1,male
FRI6o,3,5,fem_plain,mal_sws,2,orange,car,orange,orange,car,fem_plain_mal_sws,critical,3/24/2017,15:43,left,false,2832,2,2_1_2_1,word_1_word_2,far,orange,Clear_After,lab,barbora,2014-04-13,,,,,,2,1,male
FRI6o,3,5,fem_plain,mal_sws,3,orange,car,orange,orange,car,fem_plain_mal_sws,critical,3/24/2017,15:43,right,false,2678,2,2_1_2_1,word_1_word_2,far,car,Clear_After,lab,barbora,2014-04-13,,,,,,2,1,male
FRI6o,4,15,fem_plain,mal_sws,1,pencil,slide,pencil,pencil,slide,fem_plain_mal_sws,critical,3/24/2017,15:43,right,false,7357,4,1_2_1_1,word_2_word_1,far,slide,Clear_After,lab,barbora,2014-04-13,,,,,,2,1,male
FRI6o,4,15,fem_plain,mal_sws,2,pencil,slide,pencil,pencil,slide,fem_plain_mal_sws,critical,3/24/2017,15:43,left,false,3107,1,1_2_1_1,word_2_word_1,far,pencil,Clear_After,lab,barbora,2014-04-13,,,,,,2,1,male
FRI6o,4,15,fem_plain,mal_sws,3,pencil,slide,pencil,pencil,slide,fem_plain_mal_sws,critical,3/24/2017,15:43,right,false,2745,2,1_2_1_1,word_2_word_1,far,slide,Clear_After,lab,barbora,2014-04-13,,,,,,2,1,male
FRI6o,5,12,fem_plain,mal_sws,1,yoghurt,foot,foot,foot,yoghurt,fem_plain_mal_sws,critical,3/24/2017,15:43,right,true,11956,6,2_1_1_1,word_1_word_2,near,yoghurt,Clear_After,lab,barbora,2014-04-13,,,,,,2,1,male
FRI6o,5,12,fem_plain,mal_sws,2,yoghurt,foot,foot,foot,yoghurt,fem_plain_mal_sws,critical,3/24/2017,15:43,right,false,4762,2,2_1_1_1,word_1_word_2,near,yoghurt,Clear_After,lab,barbora,2014-04-13,,,,,,2,1,male
FRI6o,5,12,fem_plain,mal_sws,3,yoghurt,foot,foot,foot,yoghurt,fem_plain_mal_sws,critical,3/24/2017,15:43,left,true,2207,2,2_1_1_1,word_1_word_2,near,foot,Clear_After,lab,barbora,2014-04-13,,,,,,2,1,male
FRI6o,6,16,fem_plain,mal_sws,1,banana,paintbrush,banana,paintbrush,banana,fem_plain_mal_sws,critical,3/24/2017,15:43,right,true,11344,2,1_2_1_1,word_1_word_2,far,banana,Clear_After,lab,barbora,2014-04-13,,,,,,2,1,male
FRI6o,6,16,fem_plain,mal_sws,2,banana,paintbrush,banana,paintbrush,banana,fem_plain_mal_sws,critical,3/24/2017,15:43,right,false,2184,2,1_2_1_1,word_1_word_2,far,banana,Clear_After,lab,barbora,2014-04-13,,,,,,2,1,male
FRI6o,6,16,fem_plain,mal_sws,3,banana,paintbrush,banana,paintbrush,banana,fem_plain_mal_sws,critical,3/24/2017,15:43,left,false,254,2,1_2_1_1,word_1_word_2,far,paintbrush,Clear_After,lab,barbora,2014-04-13,,,,,,2,1,male
FRI6o,7,6,fem_plain,mal_sws,1,bird,peas,peas,bird,peas,fem_plain_mal_sws,critical,3/24/2017,15:43,right,false,9235,2,1_2_2_1,word_1_word_2,near,peas,Clear_After,lab,barbora,2014-04-13,,,,,,2,1,male
FRI6o,7,6,fem_plain,mal_sws,2,bird,peas,peas,bird,peas,fem_plain_mal_sws,critical,3/24/2017,15:43,left,false,2390,2,1_2_2_1,word_1_word_2,near,bird,Clear_After,lab,barbora,2014-04-13,,,,,,2,1,male
FRI6o,7,6,fem_plain,mal_sws,3,bird,peas,peas,bird,peas,fem_plain_mal_sws,critical,3/24/2017,15:43,right,true,2774,2,1_2_2_1,word_1_word_2,near,peas,Clear_After,lab,barbora,2014-04-13,,,,,,2,1,male
FRI6o,8,2,fem_plain,mal_sws,1,bed,chicken,chicken,chicken,bed,fem_plain_mal_sws,critical,3/24/2017,15:43,left,false,8496,4,1_2_2_1,word_2_word_1,near,chicken,Clear_After,lab,barbora,2014-04-13,,,,,,2,1,male
FRI6o,8,2,fem_plain,mal_sws,2,bed,chicken,chicken,chicken,bed,fem_plain_mal_sws,critical,3/24/2017,15:43,right,false,3779,2,1_2_2_1,word_2_word_1,near,bed,Clear_After,lab,barbora,2014-04-13,,,,,,2,1,male
FRI6o,8,2,fem_plain,mal_sws,3,bed,chicken,chicken,chicken,bed,fem_plain_mal_sws,critical,3/24/2017,15:43,left,true,2663,2,1_2_2_1,word_2_word_1,near,chicken,Clear_After,lab,barbora,2014-04-13,,,,,,2,1,male
FRI6o,9,24,fem_plain,mal_sws,1,sink,fish,sink,sink,fish,fem_plain_mal_sws,critical,3/24/2017,15:43,right,false,5440,1,1_2_1_1,word_1_word_2,far,fish,Clear_After,lab,barbora,2014-04-13,,,,,,2,1,male
FRI6o,9,24,fem_plain,mal_sws,2,sink,fish,sink,sink,fish,fem_plain_mal_sws,critical,3/24/2017,15:43,left,false,4200,1,1_2_1_1,word_1_word_2,far,sink,Clear_After,lab,barbora,2014-04-13,,,,,,2,1,male
FRI6o,9,24,fem_plain,mal_sws,3,sink,fish,sink,sink,fish,fem_plain_mal_sws,critical,3/24/2017,15:43,right,false,2738,1,1_2_1_1,word_1_word_2,far,fish,Clear_After,lab,barbora,2014-04-13,,,,,,2,1,male
FRI6o,10,7,fem_plain,mal_sws,1,lolly,horse,lolly,lolly,horse,fem_plain_mal_sws,critical,3/24/2017,15:43,left,true,1599,1,2_1_2_1,word_1_word_2,far,lolly,Clear_After,lab,barbora,2014-04-13,,,,,,2,1,male
FRI6o,10,7,fem_plain,mal_sws,2,lolly,horse,lolly,lolly,horse,fem_plain_mal_sws,critical,3/24/2017,15:43,left,false,3673,1,2_1_2_1,word_1_word_2,far,lolly,Clear_After,lab,barbora,2014-04-13,,,,,,2,1,male
FRI6o,10,7,fem_plain,mal_sws,3,lolly,horse,lolly,lolly,horse,fem_plain_mal_sws,critical,3/24/2017,15:43,right,false,2265,2,2_1_2_1,word_1_word_2,far,horse,Clear_After,lab,barbora,2014-04-13,,,,,,2,1,male
FRI6o,11,4,fem_plain,mal_sws,1,coat,strawberry,strawberry,coat,strawberry,fem_plain_mal_sws,critical,3/24/2017,15:43,right,false,7779,4,1_2_2_1,word_1_word_2,near,strawberry,Clear_After,lab,barbora,2014-04-13,,,,,,2,1,male
FRI6o,11,4,fem_plain,mal_sws,2,coat,strawberry,strawberry,coat,strawberry,fem_plain_mal_sws,critical,3/24/2017,15:43,left,false,3441,2,1_2_2_1,word_1_word_2,near,coat,Clear_After,lab,barbora,2014-04-13,,,,,,2,1,male
FRI6o,11,4,fem_plain,mal_sws,3,coat,strawberry,strawberry,coat,strawberry,fem_plain_mal_sws,critical,3/24/2017,15:43,right,true,2805,2,1_2_2_1,word_1_word_2,near,strawberry,Clear_After,lab,barbora,2014-04-13,,,,,,2,1,male
FRI6o,12,17,fem_plain,mal_sws,1,ambulance,cake,cake,cake,ambulance,fem_plain_mal_sws,critical,3/24/2017,15:43,left,false,7612,4,2_1_1_1,word_1_word_2,near,cake,Clear_After,lab,barbora,2014-04-13,,,,,,2,1,male
FRI6o,12,17,fem_plain,mal_sws,2,ambulance,cake,cake,cake,ambulance,fem_plain_mal_sws,critical,3/24/2017,15:43,right,false,3357,1,2_1_1_1,word_1_word_2,near,ambulance,Clear_After,lab,barbora,2014-04-13,,,,,,2,1,male
FRI6o,12,17,fem_plain,mal_sws,3,ambulance,cake,cake,cake,ambulance,fem_plain_mal_sws,critical,3/24/2017,15:43,left,true,3313,1,2_1_1_1,word_1_word_2,near,cake,Clear_After,lab,barbora,2014-04-13,,,,,,2,1,male
FRI6o,13,19,fem_plain,mal_sws,1,santa,building_blocks,building_blocks,santa,building_blocks,fem_plain_mal_sws,critical,3/24/2017,15:43,right,false,9713,2,2_1_1_1,word_1_word_2,near,building_blocks,Clear_After,lab,barbora,2014-04-13,,,,,,2,1,male
FRI6o,13,19,fem_plain,mal_sws,2,santa,building_blocks,building_blocks,santa,building_blocks,fem_plain_mal_sws,critical,3/24/2017,15:43,left,false,4768,2,2_1_1_1,word_1_word_2,near,santa,Clear_After,lab,barbora,2014-04-13,,,,,,2,1,male
FRI6o,13,19,fem_plain,mal_sws,3,santa,building_blocks,building_blocks,santa,building_blocks,fem_plain_mal_sws,critical,3/24/2017,15:43,right,true,2896,2,2_1_1_1,word_1_word_2,near,building_blocks,Clear_After,lab,barbora,2014-04-13,,,,,,2,1,male
FRI6o,14,14,fem_plain,mal_sws,1,cheese,shoes,cheese,cheese,shoes,fem_plain_mal_sws,critical,3/24/2017,15:43,right,false,1142,3,1_2_1_1,word_1_word_2,far,shoes,Clear_After,lab,barbora,2014-04-13,,,,,,2,1,male
FRI6o,14,14,fem_plain,mal_sws,2,cheese,shoes,cheese,cheese,shoes,fem_plain_mal_sws,critical,3/24/2017,15:43,right,true,394,2,1_2_1_1,word_1_word_2,far,shoes,Clear_After,lab,barbora,2014-04-13,,,,,,2,1,male
FRI6o,14,14,fem_plain,mal_sws,3,cheese,shoes,cheese,cheese,shoes,fem_plain_mal_sws,critical,3/24/2017,15:43,right,false,2720,1,1_2_1_1,word_1_word_2,far,shoes,Clear_After,lab,barbora,2014-04-13,,,,,,2,1,male
FRI6o,15,22,fem_plain,mal_sws,1,bike,dog,bike,dog,bike,fem_plain_mal_sws,critical,3/24/2017,15:43,right,true,74818,2,2_1_2_1,word_2_word_1,far,bike,Clear_After,lab,barbora,2014-04-13,,,,,,2,1,male
