subject_id,trial_number,trial_id,plain,sws,instruction_number,sound1_item,sound2_item,sound3_item,left_image,right_image,sound_gender,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,pic_position,distance,chosen_pic,test_lang,testing_loc,tester,date_of_birth,ethnicity,native_lang,other_langs,parental_occ,dev_info,birth_order,num_siblings,gender
GLgCk,1,0,mal_plain,mal_sws,1,glasses,fireman,glasses,glasses,fireman,mal_plain_mal_sws,training,3/9/2017,14:38,left,true,5305,4,2_1_2_1,word_2_word_1,far,glasses,Clear_Before,preschool,hanna,2013-07-04,,English,,,,2,1,female
GLgCk,1,0,mal_plain,mal_sws,2,glasses,fireman,glasses,glasses,fireman,mal_plain_mal_sws,training,3/9/2017,14:38,right,true,5468,5,2_1_2_1,word_2_word_1,far,fireman,Clear_Before,preschool,hanna,2013-07-04,,English,,,,2,1,female
GLgCk,1,0,mal_plain,mal_sws,3,glasses,fireman,glasses,glasses,fireman,mal_plain_mal_sws,training,3/9/2017,14:38,left,true,7354,4,2_1_2_1,word_2_word_1,far,glasses,Clear_Before,preschool,hanna,2013-07-04,,English,,,,2,1,female
GLgCk,2,22,mal_plain,mal_sws,1,dog,bike,dog,dog,bike,mal_plain_mal_sws,critical,3/9/2017,14:38,left,true,6288,4,2_1_2_1,word_2_word_1,far,dog,Clear_Before,preschool,hanna,2013-07-04,,English,,,,2,1,female
GLgCk,2,22,mal_plain,mal_sws,2,dog,bike,dog,dog,bike,mal_plain_mal_sws,critical,3/9/2017,14:38,right,true,2725,4,2_1_2_1,word_2_word_1,far,bike,Clear_Before,preschool,hanna,2013-07-04,,English,,,,2,1,female
GLgCk,2,22,mal_plain,mal_sws,3,dog,bike,dog,dog,bike,mal_plain_mal_sws,critical,3/9/2017,14:38,left,true,6621,2,2_1_2_1,word_2_word_1,far,dog,Clear_Before,preschool,hanna,2013-07-04,,English,,,,2,1,female
GLgCk,3,12,mal_plain,mal_sws,1,yoghurt,foot,yoghurt,foot,yoghurt,mal_plain_mal_sws,critical,3/9/2017,14:38,right,true,3639,2,1_2_1_1,word_1_word_2,far,yoghurt,Clear_Before,preschool,hanna,2013-07-04,,English,,,,2,1,female
GLgCk,3,12,mal_plain,mal_sws,2,yoghurt,foot,yoghurt,foot,yoghurt,mal_plain_mal_sws,critical,3/9/2017,14:38,left,true,2819,1,1_2_1_1,word_1_word_2,far,foot,Clear_Before,preschool,hanna,2013-07-04,,English,,,,2,1,female
GLgCk,3,12,mal_plain,mal_sws,3,yoghurt,foot,yoghurt,foot,yoghurt,mal_plain_mal_sws,critical,3/9/2017,14:38,right,true,6915,4,1_2_1_1,word_1_word_2,far,yoghurt,Clear_Before,preschool,hanna,2013-07-04,,English,,,,2,1,female
GLgCk,4,23,mal_plain,mal_sws,1,teddy_bear,bath,teddy_bear,teddy_bear,bath,mal_plain_mal_sws,critical,3/9/2017,14:38,left,true,2774,2,1_2_1_1,word_2_word_1,far,teddy_bear,Clear_Before,preschool,hanna,2013-07-04,,English,,,,2,1,female
