subject_id,trial_number,trial_id,plain,sws,instruction_number,sound1_item,sound2_item,sound3_item,left_image,right_image,sound_gender,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,pic_position,distance,chosen_pic,test_lang,testing_loc,tester,date_of_birth,ethnicity,native_lang,other_langs,parental_occ,dev_info,birth_order,num_siblings,gender
GiyrC,1,0,fem_plain,fem_sws,1,glasses,fireman,glasses,glasses,fireman,fem_plain_fem_sws,training,3/20/2017,11:07,right,false,14679,2,1_2_1_1,word_2_word_1,far,fireman,Clear_After,preschool,hanna,2014-05-26,,English,,,,,,male
GiyrC,1,0,fem_plain,fem_sws,2,glasses,fireman,glasses,glasses,fireman,fem_plain_fem_sws,training,3/20/2017,11:07,left,false,2577,2,1_2_1_1,word_2_word_1,far,glasses,Clear_After,preschool,hanna,2014-05-26,,English,,,,,,male
GiyrC,1,0,fem_plain,fem_sws,3,glasses,fireman,glasses,glasses,fireman,fem_plain_fem_sws,training,3/20/2017,11:07,right,false,2436,4,1_2_1_1,word_2_word_1,far,fireman,Clear_After,preschool,hanna,2014-05-26,,English,,,,,,male
GiyrC,2,16,fem_plain,fem_sws,1,banana,paintbrush,paintbrush,paintbrush,banana,fem_plain_fem_sws,critical,3/20/2017,11:07,right,true,6564,2,1_2_2_1,word_1_word_2,near,banana,Clear_After,preschool,hanna,2014-05-26,,English,,,,,,male
GiyrC,2,16,fem_plain,fem_sws,2,banana,paintbrush,paintbrush,paintbrush,banana,fem_plain_fem_sws,critical,3/20/2017,11:07,right,false,3034,4,1_2_2_1,word_1_word_2,near,banana,Clear_After,preschool,hanna,2014-05-26,,English,,,,,,male
GiyrC,2,16,fem_plain,fem_sws,3,banana,paintbrush,paintbrush,paintbrush,banana,fem_plain_fem_sws,critical,3/20/2017,11:07,left,true,4766,1,1_2_2_1,word_1_word_2,near,paintbrush,Clear_After,preschool,hanna,2014-05-26,,English,,,,,,male
GiyrC,3,15,fem_plain,fem_sws,1,slide,pencil,pencil,slide,pencil,fem_plain_fem_sws,critical,3/20/2017,11:07,right,false,5561,2,1_2_2_1,word_1_word_2,near,pencil,Clear_After,preschool,hanna,2014-05-26,,English,,,,,,male
GiyrC,3,15,fem_plain,fem_sws,2,slide,pencil,pencil,slide,pencil,fem_plain_fem_sws,critical,3/20/2017,11:07,left,false,2847,1,1_2_2_1,word_1_word_2,near,slide,Clear_After,preschool,hanna,2014-05-26,,English,,,,,,male
GiyrC,3,15,fem_plain,fem_sws,3,slide,pencil,pencil,slide,pencil,fem_plain_fem_sws,critical,3/20/2017,11:07,right,true,2635,1,1_2_2_1,word_1_word_2,near,pencil,Clear_After,preschool,hanna,2014-05-26,,English,,,,,,male
GiyrC,4,2,fem_plain,fem_sws,1,chicken,bed,chicken,bed,chicken,fem_plain_fem_sws,critical,3/20/2017,11:07,right,true,5177,2,2_1_2_1,word_1_word_2,far,chicken,Clear_After,preschool,hanna,2014-05-26,,English,,,,,,male
GiyrC,4,2,fem_plain,fem_sws,2,chicken,bed,chicken,bed,chicken,fem_plain_fem_sws,critical,3/20/2017,11:07,right,false,3120,2,2_1_2_1,word_1_word_2,far,chicken,Clear_After,preschool,hanna,2014-05-26,,English,,,,,,male
GiyrC,4,2,fem_plain,fem_sws,3,chicken,bed,chicken,bed,chicken,fem_plain_fem_sws,critical,3/20/2017,11:07,left,false,3113,1,2_1_2_1,word_1_word_2,far,bed,Clear_After,preschool,hanna,2014-05-26,,English,,,,,,male
GiyrC,5,14,fem_plain,fem_sws,1,shoes,cheese,cheese,shoes,cheese,fem_plain_fem_sws,critical,3/20/2017,11:07,right,false,5570,2,2_1_1_1,word_2_word_1,near,cheese,Clear_After,preschool,hanna,2014-05-26,,English,,,,,,male
GiyrC,5,14,fem_plain,fem_sws,2,shoes,cheese,cheese,shoes,cheese,fem_plain_fem_sws,critical,3/20/2017,11:07,left,false,2351,2,2_1_1_1,word_2_word_1,near,shoes,Clear_After,preschool,hanna,2014-05-26,,English,,,,,,male
GiyrC,5,14,fem_plain,fem_sws,3,shoes,cheese,cheese,shoes,cheese,fem_plain_fem_sws,critical,3/20/2017,11:07,right,true,2950,1,2_1_1_1,word_2_word_1,near,cheese,Clear_After,preschool,hanna,2014-05-26,,English,,,,,,male
GiyrC,6,18,fem_plain,fem_sws,1,raspberry,ball,raspberry,raspberry,ball,fem_plain_fem_sws,critical,3/20/2017,11:07,right,false,4356,4,2_1_2_1,word_2_word_1,far,ball,Clear_After,preschool,hanna,2014-05-26,,English,,,,,,male
GiyrC,6,18,fem_plain,fem_sws,2,raspberry,ball,raspberry,raspberry,ball,fem_plain_fem_sws,critical,3/20/2017,11:07,left,false,519,2,2_1_2_1,word_2_word_1,far,raspberry,Clear_After,preschool,hanna,2014-05-26,,English,,,,,,male
GiyrC,6,18,fem_plain,fem_sws,3,raspberry,ball,raspberry,raspberry,ball,fem_plain_fem_sws,critical,3/20/2017,11:07,right,false,2982,2,2_1_2_1,word_2_word_1,far,ball,Clear_After,preschool,hanna,2014-05-26,,English,,,,,,male
GiyrC,7,1,fem_plain,fem_sws,1,spoon,baby,spoon,baby,spoon,fem_plain_fem_sws,critical,3/20/2017,11:07,right,true,7735,4,2_1_2_1,word_2_word_1,far,spoon,Clear_After,preschool,hanna,2014-05-26,,English,,,,,,male
GiyrC,7,1,fem_plain,fem_sws,2,spoon,baby,spoon,baby,spoon,fem_plain_fem_sws,critical,3/20/2017,11:07,right,false,3031,2,2_1_2_1,word_2_word_1,far,spoon,Clear_After,preschool,hanna,2014-05-26,,English,,,,,,male
GiyrC,7,1,fem_plain,fem_sws,3,spoon,baby,spoon,baby,spoon,fem_plain_fem_sws,critical,3/20/2017,11:07,left,false,2875,1,2_1_2_1,word_2_word_1,far,baby,Clear_After,preschool,hanna,2014-05-26,,English,,,,,,male
GiyrC,8,13,fem_plain,fem_sws,1,toothbrush,airplane,airplane,airplane,toothbrush,fem_plain_fem_sws,critical,3/20/2017,11:07,right,true,7495,4,1_2_2_1,word_2_word_1,near,toothbrush,Clear_After,preschool,hanna,2014-05-26,,English,,,,,,male
GiyrC,8,13,fem_plain,fem_sws,2,toothbrush,airplane,airplane,airplane,toothbrush,fem_plain_fem_sws,critical,3/20/2017,11:07,right,false,2759,2,1_2_2_1,word_2_word_1,near,toothbrush,Clear_After,preschool,hanna,2014-05-26,,English,,,,,,male
GiyrC,8,13,fem_plain,fem_sws,3,toothbrush,airplane,airplane,airplane,toothbrush,fem_plain_fem_sws,critical,3/20/2017,11:07,left,true,2762,1,1_2_2_1,word_2_word_1,near,airplane,Clear_After,preschool,hanna,2014-05-26,,English,,,,,,male
GiyrC,9,20,fem_plain,fem_sws,1,jumper,rabbit,jumper,rabbit,jumper,fem_plain_fem_sws,critical,3/20/2017,11:07,right,true,4734,2,1_2_1_1,word_2_word_1,far,jumper,Clear_After,preschool,hanna,2014-05-26,,English,,,,,,male
GiyrC,9,20,fem_plain,fem_sws,2,jumper,rabbit,jumper,rabbit,jumper,fem_plain_fem_sws,critical,3/20/2017,11:07,right,false,4004,1,1_2_1_1,word_2_word_1,far,jumper,Clear_After,preschool,hanna,2014-05-26,,English,,,,,,male
