subject_id,trial_number,trial_id,plain,sws,instruction_number,sound1_item,sound2_item,sound3_item,left_image,right_image,sound_gender,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,pic_position,distance,chosen_pic,test_lang,testing_loc,tester,date_of_birth,ethnicity,native_lang,other_langs,parental_occ,dev_info,birth_order,num_siblings,gender
H94AF,1,0,fem_plain,mal_sws,1,fireman,glasses,glasses,fireman,glasses,fem_plain_mal_sws,training,2/16/2017,10:03,right,FALSE,4207,6,2_1_1_1,word_1_word_2,near,glasses,Clear_After,preschool,hanna,08/04/2013,,English,,,,,0,female
H94AF,1,0,fem_plain,mal_sws,2,fireman,glasses,glasses,fireman,glasses,fem_plain_mal_sws,training,2/16/2017,10:03,left,FALSE,2459,2,2_1_1_1,word_1_word_2,near,fireman,Clear_After,preschool,hanna,08/04/2013,,English,,,,,0,female
H94AF,1,0,fem_plain,mal_sws,3,fireman,glasses,glasses,fireman,glasses,fem_plain_mal_sws,training,2/16/2017,10:03,right,TRUE,2370,1,2_1_1_1,word_1_word_2,near,glasses,Clear_After,preschool,hanna,08/04/2013,,English,,,,,0,female
H94AF,2,19,fem_plain,mal_sws,1,building_blocks,santa,santa,building_blocks,santa,fem_plain_mal_sws,critical,2/16/2017,10:03,left,TRUE,10087,6,2_1_1_1,word_2_word_1,near,building_blocks,Clear_After,preschool,hanna,08/04/2013,,English,,,,,0,female
H94AF,2,19,fem_plain,mal_sws,2,building_blocks,santa,santa,building_blocks,santa,fem_plain_mal_sws,critical,2/16/2017,10:03,left,FALSE,3191,4,2_1_1_1,word_2_word_1,near,building_blocks,Clear_After,preschool,hanna,08/04/2013,,English,,,,,0,female
H94AF,2,19,fem_plain,mal_sws,3,building_blocks,santa,santa,building_blocks,santa,fem_plain_mal_sws,critical,2/16/2017,10:03,right,TRUE,4053,2,2_1_1_1,word_2_word_1,near,santa,Clear_After,preschool,hanna,08/04/2013,,English,,,,,0,female
H94AF,3,17,fem_plain,mal_sws,1,ambulance,cake,cake,ambulance,cake,fem_plain_mal_sws,critical,2/16/2017,10:03,left,TRUE,6351,4,2_1_1_1,word_2_word_1,near,ambulance,Clear_After,preschool,hanna,08/04/2013,,English,,,,,0,female
H94AF,3,17,fem_plain,mal_sws,2,ambulance,cake,cake,ambulance,cake,fem_plain_mal_sws,critical,2/16/2017,10:03,left,FALSE,2714,2,2_1_1_1,word_2_word_1,near,ambulance,Clear_After,preschool,hanna,08/04/2013,,English,,,,,0,female
H94AF,3,17,fem_plain,mal_sws,3,ambulance,cake,cake,ambulance,cake,fem_plain_mal_sws,critical,2/16/2017,10:03,right,TRUE,3016,1,2_1_1_1,word_2_word_1,near,cake,Clear_After,preschool,hanna,08/04/2013,,English,,,,,0,female
H94AF,4,14,fem_plain,mal_sws,1,cheese,shoes,shoes,cheese,shoes,fem_plain_mal_sws,critical,2/16/2017,10:03,left,TRUE,5983,2,2_1_1_1,word_1_word_2,near,cheese,Clear_After,preschool,hanna,08/04/2013,,English,,,,,0,female
H94AF,4,14,fem_plain,mal_sws,2,cheese,shoes,shoes,cheese,shoes,fem_plain_mal_sws,critical,2/16/2017,10:03,left,FALSE,2679,2,2_1_1_1,word_1_word_2,near,cheese,Clear_After,preschool,hanna,08/04/2013,,English,,,,,0,female
H94AF,4,14,fem_plain,mal_sws,3,cheese,shoes,shoes,cheese,shoes,fem_plain_mal_sws,critical,2/16/2017,10:03,right,TRUE,2591,1,2_1_1_1,word_1_word_2,near,shoes,Clear_After,preschool,hanna,08/04/2013,,English,,,,,0,female
H94AF,5,1,fem_plain,mal_sws,1,spoon,baby,baby,spoon,baby,fem_plain_mal_sws,critical,2/16/2017,10:03,right,FALSE,4539,2,1_2_2_1,word_1_word_2,near,baby,Clear_After,preschool,hanna,08/04/2013,,English,,,,,0,female
H94AF,5,1,fem_plain,mal_sws,2,spoon,baby,baby,spoon,baby,fem_plain_mal_sws,critical,2/16/2017,10:03,left,FALSE,2777,1,1_2_2_1,word_1_word_2,near,spoon,Clear_After,preschool,hanna,08/04/2013,,English,,,,,0,female
