subject_id,trial_number,trial_id,plain,sws,instruction_number,sound1_item,sound2_item,sound3_item,left_image,right_image,sound_gender,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,pic_position,distance,chosen_pic,test_lang,testing_loc,tester,date_of_birth,ethnicity,native_lang,other_langs,parental_occ,dev_info,birth_order,num_siblings,gender
HELjg,1,0,mal_plain,mal_sws,1,fireman,glasses,fireman,fireman,glasses,mal_plain_mal_sws,training,3/22/2017,16:46,left,true,13043,4,2_1_2_1,word_1_word_2,far,fireman,Clear_After,lab,barbora,2013-01-03,,,,,,,0,female
HELjg,1,0,mal_plain,mal_sws,2,fireman,glasses,fireman,fireman,glasses,mal_plain_mal_sws,training,3/22/2017,16:46,left,false,2377,2,2_1_2_1,word_1_word_2,far,fireman,Clear_After,lab,barbora,2013-01-03,,,,,,,0,female
HELjg,1,0,mal_plain,mal_sws,3,fireman,glasses,fireman,fireman,glasses,mal_plain_mal_sws,training,3/22/2017,16:46,right,false,2218,2,2_1_2_1,word_1_word_2,far,glasses,Clear_After,lab,barbora,2013-01-03,,,,,,,0,female
HELjg,2,14,mal_plain,mal_sws,1,cheese,shoes,shoes,cheese,shoes,mal_plain_mal_sws,critical,3/22/2017,16:46,right,false,4068,4,2_1_1_1,word_1_word_2,near,shoes,Clear_After,lab,barbora,2013-01-03,,,,,,,0,female
HELjg,2,14,mal_plain,mal_sws,2,cheese,shoes,shoes,cheese,shoes,mal_plain_mal_sws,critical,3/22/2017,16:46,left,false,2795,4,2_1_1_1,word_1_word_2,near,cheese,Clear_After,lab,barbora,2013-01-03,,,,,,,0,female
HELjg,2,14,mal_plain,mal_sws,3,cheese,shoes,shoes,cheese,shoes,mal_plain_mal_sws,critical,3/22/2017,16:46,right,true,2199,2,2_1_1_1,word_1_word_2,near,shoes,Clear_After,lab,barbora,2013-01-03,,,,,,,0,female
HELjg,3,1,mal_plain,mal_sws,1,baby,spoon,baby,baby,spoon,mal_plain_mal_sws,critical,3/22/2017,16:46,left,true,7102,1,2_1_2_1,word_2_word_1,far,baby,Clear_After,lab,barbora,2013-01-03,,,,,,,0,female
HELjg,3,1,mal_plain,mal_sws,2,baby,spoon,baby,baby,spoon,mal_plain_mal_sws,critical,3/22/2017,16:46,left,false,2179,2,2_1_2_1,word_2_word_1,far,baby,Clear_After,lab,barbora,2013-01-03,,,,,,,0,female
HELjg,3,1,mal_plain,mal_sws,3,baby,spoon,baby,baby,spoon,mal_plain_mal_sws,critical,3/22/2017,16:46,right,false,1981,2,2_1_2_1,word_2_word_1,far,spoon,Clear_After,lab,barbora,2013-01-03,,,,,,,0,female
HELjg,4,4,mal_plain,mal_sws,1,strawberry,coat,strawberry,strawberry,coat,mal_plain_mal_sws,critical,3/22/2017,16:46,left,true,3523,2,1_2_1_1,word_2_word_1,far,strawberry,Clear_After,lab,barbora,2013-01-03,,,,,,,0,female
HELjg,4,4,mal_plain,mal_sws,2,strawberry,coat,strawberry,strawberry,coat,mal_plain_mal_sws,critical,3/22/2017,16:46,left,false,1858,2,1_2_1_1,word_2_word_1,far,strawberry,Clear_After,lab,barbora,2013-01-03,,,,,,,0,female
HELjg,4,4,mal_plain,mal_sws,3,strawberry,coat,strawberry,strawberry,coat,mal_plain_mal_sws,critical,3/22/2017,16:46,right,false,2170,2,1_2_1_1,word_2_word_1,far,coat,Clear_After,lab,barbora,2013-01-03,,,,,,,0,female
HELjg,5,23,mal_plain,mal_sws,1,bath,teddy_bear,teddy_bear,bath,teddy_bear,mal_plain_mal_sws,critical,3/22/2017,16:46,left,true,2702,2,1_2_2_1,word_1_word_2,near,bath,Clear_After,lab,barbora,2013-01-03,,,,,,,0,female
HELjg,5,23,mal_plain,mal_sws,2,bath,teddy_bear,teddy_bear,bath,teddy_bear,mal_plain_mal_sws,critical,3/22/2017,16:46,left,false,2063,2,1_2_2_1,word_1_word_2,near,bath,Clear_After,lab,barbora,2013-01-03,,,,,,,0,female
HELjg,5,23,mal_plain,mal_sws,3,bath,teddy_bear,teddy_bear,bath,teddy_bear,mal_plain_mal_sws,critical,3/22/2017,16:46,right,true,1686,2,1_2_2_1,word_1_word_2,near,teddy_bear,Clear_After,lab,barbora,2013-01-03,,,,,,,0,female
HELjg,6,3,mal_plain,mal_sws,1,trousers,nose,trousers,nose,trousers,mal_plain_mal_sws,critical,3/22/2017,16:46,left,false,3518,2,1_2_1_1,word_2_word_1,far,nose,Clear_After,lab,barbora,2013-01-03,,,,,,,0,female
HELjg,6,3,mal_plain,mal_sws,2,trousers,nose,trousers,nose,trousers,mal_plain_mal_sws,critical,3/22/2017,16:46,right,false,2575,2,1_2_1_1,word_2_word_1,far,trousers,Clear_After,lab,barbora,2013-01-03,,,,,,,0,female
HELjg,6,3,mal_plain,mal_sws,3,trousers,nose,trousers,nose,trousers,mal_plain_mal_sws,critical,3/22/2017,16:46,left,false,2201,2,1_2_1_1,word_2_word_1,far,nose,Clear_After,lab,barbora,2013-01-03,,,,,,,0,female
HELjg,7,22,mal_plain,mal_sws,1,dog,bike,bike,dog,bike,mal_plain_mal_sws,critical,3/22/2017,16:46,left,true,2266,2,1_2_2_1,word_2_word_1,near,dog,Clear_After,lab,barbora,2013-01-03,,,,,,,0,female
