subject_id,trial_number,trial_id,plain,sws,instruction_number,sound1_item,sound2_item,sound3_item,left_image,right_image,sound_gender,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,pic_position,distance,chosen_pic,test_lang,testing_loc,tester,date_of_birth,ethnicity,native_lang,other_langs,parental_occ,dev_info,birth_order,num_siblings,gender
IA7TJ,1,0,mal_plain,mal_sws,1,fireman,glasses,fireman,fireman,glasses,mal_plain_mal_sws,training,3/16/2017,10:04,left,true,8119,4,1_2_1_1,word_1_word_2,far,fireman,Clear_After,preschool,hanna,2013-09-19,,English,,,,,,female
IA7TJ,1,0,mal_plain,mal_sws,2,fireman,glasses,fireman,fireman,glasses,mal_plain_mal_sws,training,3/16/2017,10:04,left,false,3874,2,1_2_1_1,word_1_word_2,far,fireman,Clear_After,preschool,hanna,2013-09-19,,English,,,,,,female
IA7TJ,1,0,mal_plain,mal_sws,3,fireman,glasses,fireman,fireman,glasses,mal_plain_mal_sws,training,3/16/2017,10:04,right,false,2078,2,1_2_1_1,word_1_word_2,far,glasses,Clear_After,preschool,hanna,2013-09-19,,English,,,,,,female
IA7TJ,2,2,mal_plain,mal_sws,1,chicken,bed,bed,chicken,bed,mal_plain_mal_sws,critical,3/16/2017,10:04,left,true,10242,7,2_1_1_1,word_2_word_1,near,chicken,Clear_After,preschool,hanna,2013-09-19,,English,,,,,,female
IA7TJ,2,2,mal_plain,mal_sws,2,chicken,bed,bed,chicken,bed,mal_plain_mal_sws,critical,3/16/2017,10:04,left,false,2886,2,2_1_1_1,word_2_word_1,near,chicken,Clear_After,preschool,hanna,2013-09-19,,English,,,,,,female
IA7TJ,2,2,mal_plain,mal_sws,3,chicken,bed,bed,chicken,bed,mal_plain_mal_sws,critical,3/16/2017,10:04,right,true,2608,2,2_1_1_1,word_2_word_1,near,bed,Clear_After,preschool,hanna,2013-09-19,,English,,,,,,female
IA7TJ,3,24,mal_plain,mal_sws,1,sink,fish,fish,fish,sink,mal_plain_mal_sws,critical,3/16/2017,10:04,left,false,5678,2,2_1_1_1,word_2_word_1,near,fish,Clear_After,preschool,hanna,2013-09-19,,English,,,,,,female
IA7TJ,3,24,mal_plain,mal_sws,2,sink,fish,fish,fish,sink,mal_plain_mal_sws,critical,3/16/2017,10:04,right,false,3178,2,2_1_1_1,word_2_word_1,near,sink,Clear_After,preschool,hanna,2013-09-19,,English,,,,,,female
IA7TJ,3,24,mal_plain,mal_sws,3,sink,fish,fish,fish,sink,mal_plain_mal_sws,critical,3/16/2017,10:04,left,true,2320,2,2_1_1_1,word_2_word_1,near,fish,Clear_After,preschool,hanna,2013-09-19,,English,,,,,,female
IA7TJ,4,3,mal_plain,mal_sws,1,trousers,nose,trousers,nose,trousers,mal_plain_mal_sws,critical,3/16/2017,10:04,right,true,6569,4,2_1_2_1,word_2_word_1,far,trousers,Clear_After,preschool,hanna,2013-09-19,,English,,,,,,female
IA7TJ,4,3,mal_plain,mal_sws,2,trousers,nose,trousers,nose,trousers,mal_plain_mal_sws,critical,3/16/2017,10:04,right,false,3433,2,2_1_2_1,word_2_word_1,far,trousers,Clear_After,preschool,hanna,2013-09-19,,English,,,,,,female
IA7TJ,4,3,mal_plain,mal_sws,3,trousers,nose,trousers,nose,trousers,mal_plain_mal_sws,critical,3/16/2017,10:04,left,false,2479,2,2_1_2_1,word_2_word_1,far,nose,Clear_After,preschool,hanna,2013-09-19,,English,,,,,,female
IA7TJ,5,9,mal_plain,mal_sws,1,pizza,window,pizza,pizza,window,mal_plain_mal_sws,critical,3/16/2017,10:04,left,true,3161,2,2_1_2_1,word_1_word_2,far,pizza,Clear_After,preschool,hanna,2013-09-19,,English,,,,,,female
