subject_id,trial_number,trial_id,plain,sws,instruction_number,sound1_item,sound2_item,sound3_item,left_image,right_image,sound_gender,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,pic_position,distance,chosen_pic,test_lang,testing_loc,tester,date_of_birth,ethnicity,native_lang,other_langs,parental_occ,dev_info,birth_order,num_siblings,gender
IdZrG,1,0,fem_plain,mal_sws,1,glasses,fireman,glasses,glasses,fireman,fem_plain_mal_sws,training,3/16/2017,10:49,left,true,7618,4,1_2_1_1,word_2_word_1,far,glasses,Clear_After,preschool,hanna,2014-02-15,,English,,,,2,1,male
IdZrG,1,0,fem_plain,mal_sws,2,glasses,fireman,glasses,glasses,fireman,fem_plain_mal_sws,training,3/16/2017,10:49,right,true,562,1,1_2_1_1,word_2_word_1,far,fireman,Clear_After,preschool,hanna,2014-02-15,,English,,,,2,1,male
IdZrG,1,0,fem_plain,mal_sws,3,glasses,fireman,glasses,glasses,fireman,fem_plain_mal_sws,training,3/16/2017,10:49,right,false,6015,1,1_2_1_1,word_2_word_1,far,fireman,Clear_After,preschool,hanna,2014-02-15,,English,,,,2,1,male
IdZrG,2,18,fem_plain,mal_sws,1,raspberry,ball,raspberry,raspberry,ball,fem_plain_mal_sws,critical,3/16/2017,10:49,right,false,11249,4,1_2_1_1,word_2_word_1,far,ball,Clear_After,preschool,hanna,2014-02-15,,English,,,,2,1,male
IdZrG,2,18,fem_plain,mal_sws,2,raspberry,ball,raspberry,raspberry,ball,fem_plain_mal_sws,critical,3/16/2017,10:49,left,false,3176,2,1_2_1_1,word_2_word_1,far,raspberry,Clear_After,preschool,hanna,2014-02-15,,English,,,,2,1,male
IdZrG,2,18,fem_plain,mal_sws,3,raspberry,ball,raspberry,raspberry,ball,fem_plain_mal_sws,critical,3/16/2017,10:49,right,false,5365,2,1_2_1_1,word_2_word_1,far,ball,Clear_After,preschool,hanna,2014-02-15,,English,,,,2,1,male
IdZrG,3,3,fem_plain,mal_sws,1,nose,trousers,nose,trousers,nose,fem_plain_mal_sws,critical,3/16/2017,10:49,right,true,6832,2,2_1_2_1,word_1_word_2,far,nose,Clear_After,preschool,hanna,2014-02-15,,English,,,,2,1,male
IdZrG,3,3,fem_plain,mal_sws,2,nose,trousers,nose,trousers,nose,fem_plain_mal_sws,critical,3/16/2017,10:49,right,false,3750,1,2_1_2_1,word_1_word_2,far,nose,Clear_After,preschool,hanna,2014-02-15,,English,,,,2,1,male
IdZrG,3,3,fem_plain,mal_sws,3,nose,trousers,nose,trousers,nose,fem_plain_mal_sws,critical,3/16/2017,10:49,left,false,2634,3,2_1_2_1,word_1_word_2,far,trousers,Clear_After,preschool,hanna,2014-02-15,,English,,,,2,1,male
IdZrG,4,17,fem_plain,mal_sws,1,ambulance,cake,cake,ambulance,cake,fem_plain_mal_sws,critical,3/16/2017,10:49,right,false,6731,4,1_2_2_1,word_2_word_1,near,cake,Clear_After,preschool,hanna,2014-02-15,,English,,,,2,1,male
IdZrG,4,17,fem_plain,mal_sws,2,ambulance,cake,cake,ambulance,cake,fem_plain_mal_sws,critical,3/16/2017,10:49,left,false,2432,1,1_2_2_1,word_2_word_1,near,ambulance,Clear_After,preschool,hanna,2014-02-15,,English,,,,2,1,male
IdZrG,4,17,fem_plain,mal_sws,3,ambulance,cake,cake,ambulance,cake,fem_plain_mal_sws,critical,3/16/2017,10:49,right,true,3904,1,1_2_2_1,word_2_word_1,near,cake,Clear_After,preschool,hanna,2014-02-15,,English,,,,2,1,male
IdZrG,5,5,fem_plain,mal_sws,1,orange,car,car,car,orange,fem_plain_mal_sws,critical,3/16/2017,10:49,right,true,5958,3,1_2_2_1,word_2_word_1,near,orange,Clear_After,preschool,hanna,2014-02-15,,English,,,,2,1,male
IdZrG,5,5,fem_plain,mal_sws,2,orange,car,car,car,orange,fem_plain_mal_sws,critical,3/16/2017,10:49,right,false,5728,2,1_2_2_1,word_2_word_1,near,orange,Clear_After,preschool,hanna,2014-02-15,,English,,,,2,1,male
IdZrG,5,5,fem_plain,mal_sws,3,orange,car,car,car,orange,fem_plain_mal_sws,critical,3/16/2017,10:49,left,true,2198,1,1_2_2_1,word_2_word_1,near,car,Clear_After,preschool,hanna,2014-02-15,,English,,,,2,1,male
IdZrG,6,11,fem_plain,mal_sws,1,book,lorry,lorry,lorry,book,fem_plain_mal_sws,critical,3/16/2017,10:49,right,true,5892,4,2_1_1_1,word_2_word_1,near,book,Clear_After,preschool,hanna,2014-02-15,,English,,,,2,1,male
IdZrG,6,11,fem_plain,mal_sws,2,book,lorry,lorry,lorry,book,fem_plain_mal_sws,critical,3/16/2017,10:49,right,false,4944,4,2_1_1_1,word_2_word_1,near,book,Clear_After,preschool,hanna,2014-02-15,,English,,,,2,1,male
IdZrG,6,11,fem_plain,mal_sws,3,book,lorry,lorry,lorry,book,fem_plain_mal_sws,critical,3/16/2017,10:49,left,true,2386,1,2_1_1_1,word_2_word_1,near,lorry,Clear_After,preschool,hanna,2014-02-15,,English,,,,2,1,male
IdZrG,7,4,fem_plain,mal_sws,1,strawberry,coat,strawberry,strawberry,coat,fem_plain_mal_sws,critical,3/16/2017,10:49,right,false,4470,3,2_1_2_1,word_2_word_1,far,coat,Clear_After,preschool,hanna,2014-02-15,,English,,,,2,1,male
IdZrG,7,4,fem_plain,mal_sws,2,strawberry,coat,strawberry,strawberry,coat,fem_plain_mal_sws,critical,3/16/2017,10:49,left,false,2239,2,2_1_2_1,word_2_word_1,far,strawberry,Clear_After,preschool,hanna,2014-02-15,,English,,,,2,1,male
IdZrG,7,4,fem_plain,mal_sws,3,strawberry,coat,strawberry,strawberry,coat,fem_plain_mal_sws,critical,3/16/2017,10:49,right,false,5145,1,2_1_2_1,word_2_word_1,far,coat,Clear_After,preschool,hanna,2014-02-15,,English,,,,2,1,male
