subject_id,trial_number,trial_id,plain,sws,instruction_number,sound1_item,sound2_item,sound3_item,left_image,right_image,sound_gender,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,pic_position,distance,chosen_pic,test_lang,testing_loc,tester,date_of_birth,ethnicity,native_lang,other_langs,parental_occ,dev_info,birth_order,num_siblings,gender
Ikm9j,1,0,mal_plain,fem_sws,1,glasses,fireman,fireman,glasses,fireman,mal_plain_fem_sws,training,3/6/2017,13:43,right,false,3435,5,2_1_1_1,word_2_word_1,near,fireman,Clear_After,preschool,hanna,2012-09-04,,English,,,,1,0,male
Ikm9j,1,0,mal_plain,fem_sws,2,glasses,fireman,fireman,glasses,fireman,mal_plain_fem_sws,training,3/6/2017,13:43,left,false,3042,2,2_1_1_1,word_2_word_1,near,glasses,Clear_After,preschool,hanna,2012-09-04,,English,,,,1,0,male
Ikm9j,1,0,mal_plain,fem_sws,3,glasses,fireman,fireman,glasses,fireman,mal_plain_fem_sws,training,3/6/2017,13:43,right,true,3458,2,2_1_1_1,word_2_word_1,near,fireman,Clear_After,preschool,hanna,2012-09-04,,English,,,,1,0,male
Ikm9j,2,20,mal_plain,fem_sws,1,jumper,rabbit,rabbit,jumper,rabbit,mal_plain_fem_sws,critical,3/6/2017,13:43,right,false,4508,2,1_2_2_1,word_1_word_2,near,rabbit,Clear_After,preschool,hanna,2012-09-04,,English,,,,1,0,male
Ikm9j,2,20,mal_plain,fem_sws,2,jumper,rabbit,rabbit,jumper,rabbit,mal_plain_fem_sws,critical,3/6/2017,13:43,left,false,3085,2,1_2_2_1,word_1_word_2,near,jumper,Clear_After,preschool,hanna,2012-09-04,,English,,,,1,0,male
Ikm9j,2,20,mal_plain,fem_sws,3,jumper,rabbit,rabbit,jumper,rabbit,mal_plain_fem_sws,critical,3/6/2017,13:43,right,true,1747,2,1_2_2_1,word_1_word_2,near,rabbit,Clear_After,preschool,hanna,2012-09-04,,English,,,,1,0,male
Ikm9j,3,9,mal_plain,fem_sws,1,pizza,window,pizza,window,pizza,mal_plain_fem_sws,critical,3/6/2017,13:43,right,true,2609,3,1_2_1_1,word_2_word_1,far,pizza,Clear_After,preschool,hanna,2012-09-04,,English,,,,1,0,male
Ikm9j,3,9,mal_plain,fem_sws,2,pizza,window,pizza,window,pizza,mal_plain_fem_sws,critical,3/6/2017,13:43,right,false,2866,2,1_2_1_1,word_2_word_1,far,pizza,Clear_After,preschool,hanna,2012-09-04,,English,,,,1,0,male
Ikm9j,3,9,mal_plain,fem_sws,3,pizza,window,pizza,window,pizza,mal_plain_fem_sws,critical,3/6/2017,13:43,left,false,2133,1,1_2_1_1,word_2_word_1,far,window,Clear_After,preschool,hanna,2012-09-04,,English,,,,1,0,male
Ikm9j,4,3,mal_plain,fem_sws,1,trousers,nose,nose,trousers,nose,mal_plain_fem_sws,critical,3/6/2017,13:43,right,false,5998,2,2_1_1_1,word_1_word_2,near,nose,Clear_After,preschool,hanna,2012-09-04,,English,,,,1,0,male
Ikm9j,4,3,mal_plain,fem_sws,2,trousers,nose,nose,trousers,nose,mal_plain_fem_sws,critical,3/6/2017,13:43,left,false,2798,2,2_1_1_1,word_1_word_2,near,trousers,Clear_After,preschool,hanna,2012-09-04,,English,,,,1,0,male
Ikm9j,4,3,mal_plain,fem_sws,3,trousers,nose,nose,trousers,nose,mal_plain_fem_sws,critical,3/6/2017,13:43,right,true,3160,2,2_1_1_1,word_1_word_2,near,nose,Clear_After,preschool,hanna,2012-09-04,,English,,,,1,0,male
Ikm9j,5,24,mal_plain,fem_sws,1,fish,sink,fish,fish,sink,mal_plain_fem_sws,critical,3/6/2017,13:43,left,true,5609,2,1_2_1_1,word_2_word_1,far,fish,Clear_After,preschool,hanna,2012-09-04,,English,,,,1,0,male
Ikm9j,5,24,mal_plain,fem_sws,2,fish,sink,fish,fish,sink,mal_plain_fem_sws,critical,3/6/2017,13:43,right,true,2304,1,1_2_1_1,word_2_word_1,far,sink,Clear_After,preschool,hanna,2012-09-04,,English,,,,1,0,male
Ikm9j,5,24,mal_plain,fem_sws,3,fish,sink,fish,fish,sink,mal_plain_fem_sws,critical,3/6/2017,13:43,right,false,2910,2,1_2_1_1,word_2_word_1,far,sink,Clear_After,preschool,hanna,2012-09-04,,English,,,,1,0,male
Ikm9j,6,5,mal_plain,fem_sws,1,orange,car,car,orange,car,mal_plain_fem_sws,critical,3/6/2017,13:43,right,false,3253,4,1_2_2_1,word_1_word_2,near,car,Clear_After,preschool,hanna,2012-09-04,,English,,,,1,0,male
Ikm9j,6,5,mal_plain,fem_sws,2,orange,car,car,orange,car,mal_plain_fem_sws,critical,3/6/2017,13:43,left,false,5856,2,1_2_2_1,word_1_word_2,near,orange,Clear_After,preschool,hanna,2012-09-04,,English,,,,1,0,male
Ikm9j,6,5,mal_plain,fem_sws,3,orange,car,car,orange,car,mal_plain_fem_sws,critical,3/6/2017,13:43,right,true,1681,2,1_2_2_1,word_1_word_2,near,car,Clear_After,preschool,hanna,2012-09-04,,English,,,,1,0,male
Ikm9j,7,6,mal_plain,fem_sws,1,peas,bird,bird,bird,peas,mal_plain_fem_sws,critical,3/6/2017,13:43,right,true,2444,4,2_1_1_1,word_1_word_2,near,peas,Clear_After,preschool,hanna,2012-09-04,,English,,,,1,0,male
Ikm9j,7,6,mal_plain,fem_sws,2,peas,bird,bird,bird,peas,mal_plain_fem_sws,critical,3/6/2017,13:43,right,false,2288,2,2_1_1_1,word_1_word_2,near,peas,Clear_After,preschool,hanna,2012-09-04,,English,,,,1,0,male
Ikm9j,7,6,mal_plain,fem_sws,3,peas,bird,bird,bird,peas,mal_plain_fem_sws,critical,3/6/2017,13:43,left,true,1487,2,2_1_1_1,word_1_word_2,near,bird,Clear_After,preschool,hanna,2012-09-04,,English,,,,1,0,male
Ikm9j,8,1,mal_plain,fem_sws,1,spoon,baby,spoon,baby,spoon,mal_plain_fem_sws,critical,3/6/2017,13:43,left,false,3304,2,1_2_1_1,word_2_word_1,far,baby,Clear_After,preschool,hanna,2012-09-04,,English,,,,1,0,male
Ikm9j,8,1,mal_plain,fem_sws,2,spoon,baby,spoon,baby,spoon,mal_plain_fem_sws,critical,3/6/2017,13:43,right,false,2335,1,1_2_1_1,word_2_word_1,far,spoon,Clear_After,preschool,hanna,2012-09-04,,English,,,,1,0,male
Ikm9j,8,1,mal_plain,fem_sws,3,spoon,baby,spoon,baby,spoon,mal_plain_fem_sws,critical,3/6/2017,13:43,left,false,1614,2,1_2_1_1,word_2_word_1,far,baby,Clear_After,preschool,hanna,2012-09-04,,English,,,,1,0,male
Ikm9j,9,14,mal_plain,fem_sws,1,shoes,cheese,cheese,cheese,shoes,mal_plain_fem_sws,critical,3/6/2017,13:43,right,true,3663,2,1_2_2_1,word_1_word_2,near,shoes,Clear_After,preschool,hanna,2012-09-04,,English,,,,1,0,male
Ikm9j,9,14,mal_plain,fem_sws,2,shoes,cheese,cheese,cheese,shoes,mal_plain_fem_sws,critical,3/6/2017,13:43,right,false,2239,2,1_2_2_1,word_1_word_2,near,shoes,Clear_After,preschool,hanna,2012-09-04,,English,,,,1,0,male
Ikm9j,9,14,mal_plain,fem_sws,3,shoes,cheese,cheese,cheese,shoes,mal_plain_fem_sws,critical,3/6/2017,13:43,left,true,2503,2,1_2_2_1,word_1_word_2,near,cheese,Clear_After,preschool,hanna,2012-09-04,,English,,,,1,0,male
Ikm9j,10,23,mal_plain,fem_sws,1,bath,teddy_bear,bath,bath,teddy_bear,mal_plain_fem_sws,critical,3/6/2017,13:43,left,true,3115,4,2_1_2_1,word_1_word_2,far,bath,Clear_After,preschool,hanna,2012-09-04,,English,,,,1,0,male
Ikm9j,10,23,mal_plain,fem_sws,2,bath,teddy_bear,bath,bath,teddy_bear,mal_plain_fem_sws,critical,3/6/2017,13:43,left,false,2603,2,2_1_2_1,word_1_word_2,far,bath,Clear_After,preschool,hanna,2012-09-04,,English,,,,1,0,male
Ikm9j,10,23,mal_plain,fem_sws,3,bath,teddy_bear,bath,bath,teddy_bear,mal_plain_fem_sws,critical,3/6/2017,13:43,right,false,1801,1,2_1_2_1,word_1_word_2,far,teddy_bear,Clear_After,preschool,hanna,2012-09-04,,English,,,,1,0,male
Ikm9j,11,2,mal_plain,fem_sws,1,bed,chicken,chicken,bed,chicken,mal_plain_fem_sws,critical,3/6/2017,13:43,right,false,3491,2,1_2_2_1,word_1_word_2,near,chicken,Clear_After,preschool,hanna,2012-09-04,,English,,,,1,0,male
Ikm9j,11,2,mal_plain,fem_sws,2,bed,chicken,chicken,bed,chicken,mal_plain_fem_sws,critical,3/6/2017,13:43,left,false,2489,2,1_2_2_1,word_1_word_2,near,bed,Clear_After,preschool,hanna,2012-09-04,,English,,,,1,0,male
Ikm9j,11,2,mal_plain,fem_sws,3,bed,chicken,chicken,bed,chicken,mal_plain_fem_sws,critical,3/6/2017,13:43,right,true,2780,2,1_2_2_1,word_1_word_2,near,chicken,Clear_After,preschool,hanna,2012-09-04,,English,,,,1,0,male
Ikm9j,12,19,mal_plain,fem_sws,1,building_blocks,santa,building_blocks,building_blocks,santa,mal_plain_fem_sws,critical,3/6/2017,13:43,left,true,2943,2,2_1_2_1,word_2_word_1,far,building_blocks,Clear_After,preschool,hanna,2012-09-04,,English,,,,1,0,male
