subject_id,trial_number,trial_id,plain,sws,instruction_number,sound1_item,sound2_item,sound3_item,left_image,right_image,sound_gender,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,pic_position,distance,chosen_pic,test_lang,testing_loc,tester,date_of_birth,ethnicity,native_lang,other_langs,parental_occ,dev_info,birth_order,num_siblings,gender
KeKpH,1,0,fem_plain,fem_sws,1,glasses,fireman,glasses,fireman,glasses,fem_plain_fem_sws,training,3/20/2017,10:02,right,true,3352,4,2_1_2_1,word_1_word_2,far,glasses,Clear_After,preschool,hanna,2014-02-22,,English,,,,,,female
KeKpH,1,0,fem_plain,fem_sws,2,glasses,fireman,glasses,fireman,glasses,fem_plain_fem_sws,training,3/20/2017,10:02,right,false,2371,4,2_1_2_1,word_1_word_2,far,glasses,Clear_After,preschool,hanna,2014-02-22,,English,,,,,,female
KeKpH,1,0,fem_plain,fem_sws,3,glasses,fireman,glasses,fireman,glasses,fem_plain_fem_sws,training,3/20/2017,10:02,left,false,2351,7,2_1_2_1,word_1_word_2,far,fireman,Clear_After,preschool,hanna,2014-02-22,,English,,,,,,female
KeKpH,2,11,fem_plain,fem_sws,1,book,lorry,book,book,lorry,fem_plain_fem_sws,critical,3/20/2017,10:02,left,true,3872,6,2_1_2_1,word_1_word_2,far,book,Clear_After,preschool,hanna,2014-02-22,,English,,,,,,female
KeKpH,2,11,fem_plain,fem_sws,2,book,lorry,book,book,lorry,fem_plain_fem_sws,critical,3/20/2017,10:02,right,true,2728,1,2_1_2_1,word_1_word_2,far,lorry,Clear_After,preschool,hanna,2014-02-22,,English,,,,,,female
KeKpH,2,11,fem_plain,fem_sws,3,book,lorry,book,book,lorry,fem_plain_fem_sws,critical,3/20/2017,10:02,right,false,2964,2,2_1_2_1,word_1_word_2,far,lorry,Clear_After,preschool,hanna,2014-02-22,,English,,,,,,female
KeKpH,3,1,fem_plain,fem_sws,1,baby,spoon,spoon,spoon,baby,fem_plain_fem_sws,critical,3/20/2017,10:02,left,false,8128,8,1_2_2_1,word_1_word_2,near,spoon,Clear_After,preschool,hanna,2014-02-22,,English,,,,,,female
KeKpH,3,1,fem_plain,fem_sws,2,baby,spoon,spoon,spoon,baby,fem_plain_fem_sws,critical,3/20/2017,10:02,right,false,2947,3,1_2_2_1,word_1_word_2,near,baby,Clear_After,preschool,hanna,2014-02-22,,English,,,,,,female
KeKpH,3,1,fem_plain,fem_sws,3,baby,spoon,spoon,spoon,baby,fem_plain_fem_sws,critical,3/20/2017,10:02,left,true,2717,2,1_2_2_1,word_1_word_2,near,spoon,Clear_After,preschool,hanna,2014-02-22,,English,,,,,,female
KeKpH,4,10,fem_plain,fem_sws,1,tshirt,pig,tshirt,pig,tshirt,fem_plain_fem_sws,critical,3/20/2017,10:02,left,false,10429,5,2_1_2_1,word_1_word_2,far,pig,Clear_After,preschool,hanna,2014-02-22,,English,,,,,,female
