subject_id,trial_number,trial_id,plain,sws,instruction_number,sound1_item,sound2_item,sound3_item,left_image,right_image,sound_gender,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,pic_position,distance,chosen_pic,test_lang,testing_loc,tester,date_of_birth,ethnicity,native_lang,other_langs,parental_occ,dev_info,birth_order,num_siblings,gender
LfP2H,1,0,fem_plain,mal_sws,1,glasses,fireman,glasses,fireman,glasses,fem_plain_mal_sws,training,2/22/2017,10:37,right,true,2818,6,1_2_1_1,word_1_word_2,far,glasses,Clear_Before,museum,hanna,2012-03-22,,English,,,,1,1,female
LfP2H,1,0,fem_plain,mal_sws,2,glasses,fireman,glasses,fireman,glasses,fem_plain_mal_sws,training,2/22/2017,10:37,left,true,2464,4,1_2_1_1,word_1_word_2,far,fireman,Clear_Before,museum,hanna,2012-03-22,,English,,,,1,1,female
LfP2H,1,0,fem_plain,mal_sws,3,glasses,fireman,glasses,fireman,glasses,fem_plain_mal_sws,training,2/22/2017,10:37,right,true,2841,4,1_2_1_1,word_1_word_2,far,glasses,Clear_Before,museum,hanna,2012-03-22,,English,,,,1,1,female
LfP2H,2,7,fem_plain,mal_sws,1,horse,lolly,lolly,horse,lolly,fem_plain_mal_sws,critical,2/22/2017,10:37,left,true,2347,2,2_1_1_1,word_2_word_1,near,horse,Clear_Before,museum,hanna,2012-03-22,,English,,,,1,1,female
LfP2H,2,7,fem_plain,mal_sws,2,horse,lolly,lolly,horse,lolly,fem_plain_mal_sws,critical,2/22/2017,10:37,right,true,3797,2,2_1_1_1,word_2_word_1,near,lolly,Clear_Before,museum,hanna,2012-03-22,,English,,,,1,1,female
LfP2H,2,7,fem_plain,mal_sws,3,horse,lolly,lolly,horse,lolly,fem_plain_mal_sws,critical,2/22/2017,10:37,right,true,3258,2,2_1_1_1,word_2_word_1,near,lolly,Clear_Before,museum,hanna,2012-03-22,,English,,,,1,1,female
LfP2H,3,8,fem_plain,mal_sws,1,wellyboots,fire_engine,fire_engine,fire_engine,wellyboots,fem_plain_mal_sws,critical,2/22/2017,10:37,right,true,2728,2,1_2_2_1,word_2_word_1,near,wellyboots,Clear_Before,museum,hanna,2012-03-22,,English,,,,1,1,female
LfP2H,3,8,fem_plain,mal_sws,2,wellyboots,fire_engine,fire_engine,fire_engine,wellyboots,fem_plain_mal_sws,critical,2/22/2017,10:37,left,true,3887,1,1_2_2_1,word_2_word_1,near,fire_engine,Clear_Before,museum,hanna,2012-03-22,,English,,,,1,1,female
LfP2H,3,8,fem_plain,mal_sws,3,wellyboots,fire_engine,fire_engine,fire_engine,wellyboots,fem_plain_mal_sws,critical,2/22/2017,10:37,left,true,2857,2,1_2_2_1,word_2_word_1,near,fire_engine,Clear_Before,museum,hanna,2012-03-22,,English,,,,1,1,female
LfP2H,4,21,fem_plain,mal_sws,1,frog,sheep,sheep,frog,sheep,fem_plain_mal_sws,critical,2/22/2017,10:37,left,true,3056,2,2_1_1_1,word_1_word_2,near,frog,Clear_Before,museum,hanna,2012-03-22,,English,,,,1,1,female
LfP2H,4,21,fem_plain,mal_sws,2,frog,sheep,sheep,frog,sheep,fem_plain_mal_sws,critical,2/22/2017,10:37,right,true,2263,2,2_1_1_1,word_1_word_2,near,sheep,Clear_Before,museum,hanna,2012-03-22,,English,,,,1,1,female
LfP2H,4,21,fem_plain,mal_sws,3,frog,sheep,sheep,frog,sheep,fem_plain_mal_sws,critical,2/22/2017,10:37,right,true,2766,1,2_1_1_1,word_1_word_2,near,sheep,Clear_Before,museum,hanna,2012-03-22,,English,,,,1,1,female
LfP2H,5,13,fem_plain,mal_sws,1,airplane,toothbrush,airplane,toothbrush,airplane,fem_plain_mal_sws,critical,2/22/2017,10:37,right,true,2550,4,2_1_2_1,word_1_word_2,far,airplane,Clear_Before,museum,hanna,2012-03-22,,English,,,,1,1,female
LfP2H,5,13,fem_plain,mal_sws,2,airplane,toothbrush,airplane,toothbrush,airplane,fem_plain_mal_sws,critical,2/22/2017,10:37,left,true,2474,1,2_1_2_1,word_1_word_2,far,toothbrush,Clear_Before,museum,hanna,2012-03-22,,English,,,,1,1,female
LfP2H,5,13,fem_plain,mal_sws,3,airplane,toothbrush,airplane,toothbrush,airplane,fem_plain_mal_sws,critical,2/22/2017,10:37,right,true,2611,1,2_1_2_1,word_1_word_2,far,airplane,Clear_Before,museum,hanna,2012-03-22,,English,,,,1,1,female
LfP2H,6,24,fem_plain,mal_sws,1,sink,fish,fish,sink,fish,fem_plain_mal_sws,critical,2/22/2017,10:37,left,true,2641,2,1_2_2_1,word_1_word_2,near,sink,Clear_Before,museum,hanna,2012-03-22,,English,,,,1,1,female
LfP2H,6,24,fem_plain,mal_sws,2,sink,fish,fish,sink,fish,fem_plain_mal_sws,critical,2/22/2017,10:37,right,true,2217,1,1_2_2_1,word_1_word_2,near,fish,Clear_Before,museum,hanna,2012-03-22,,English,,,,1,1,female
LfP2H,6,24,fem_plain,mal_sws,3,sink,fish,fish,sink,fish,fem_plain_mal_sws,critical,2/22/2017,10:37,right,true,2334,1,1_2_2_1,word_1_word_2,near,fish,Clear_Before,museum,hanna,2012-03-22,,English,,,,1,1,female
LfP2H,7,5,fem_plain,mal_sws,1,car,orange,car,orange,car,fem_plain_mal_sws,critical,2/22/2017,10:37,right,true,2325,2,1_2_1_1,word_1_word_2,far,car,Clear_Before,museum,hanna,2012-03-22,,English,,,,1,1,female
