subject_id,trial_number,trial_id,plain,sws,instruction_number,sound1_item,sound2_item,sound3_item,left_image,right_image,sound_gender,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,pic_position,distance,chosen_pic,test_lang,testing_loc,tester,date_of_birth,ethnicity,native_lang,other_langs,parental_occ,dev_info,birth_order,num_siblings,gender
P8Pe8,1,0,mal_plain,fem_sws,1,fireman,glasses,glasses,glasses,fireman,mal_plain_fem_sws,training,3/9/2017,9:33,right,true,2505,4,1_2_2_1,word_2_word_1,near,fireman,Clear_Before,preschool,hanna,2013-11-29,,English,,,,2,1,male
P8Pe8,1,0,mal_plain,fem_sws,2,fireman,glasses,glasses,glasses,fireman,mal_plain_fem_sws,training,3/9/2017,9:33,left,true,2229,2,1_2_2_1,word_2_word_1,near,glasses,Clear_Before,preschool,hanna,2013-11-29,,English,,,,2,1,male
P8Pe8,1,0,mal_plain,fem_sws,3,fireman,glasses,glasses,glasses,fireman,mal_plain_fem_sws,training,3/9/2017,9:33,right,false,10117,6,1_2_2_1,word_2_word_1,near,fireman,Clear_Before,preschool,hanna,2013-11-29,,English,,,,2,1,male
P8Pe8,2,22,mal_plain,fem_sws,1,bike,dog,bike,dog,bike,mal_plain_fem_sws,critical,3/9/2017,9:33,right,true,2597,2,1_2_1_1,word_2_word_1,far,bike,Clear_Before,preschool,hanna,2013-11-29,,English,,,,2,1,male
P8Pe8,2,22,mal_plain,fem_sws,2,bike,dog,bike,dog,bike,mal_plain_fem_sws,critical,3/9/2017,9:33,left,true,2007,1,1_2_1_1,word_2_word_1,far,dog,Clear_Before,preschool,hanna,2013-11-29,,English,,,,2,1,male
P8Pe8,2,22,mal_plain,fem_sws,3,bike,dog,bike,dog,bike,mal_plain_fem_sws,critical,3/9/2017,9:33,left,false,8290,7,1_2_1_1,word_2_word_1,far,dog,Clear_Before,preschool,hanna,2013-11-29,,English,,,,2,1,male
P8Pe8,3,8,mal_plain,fem_sws,1,fire_engine,wellyboots,fire_engine,wellyboots,fire_engine,mal_plain_fem_sws,critical,3/9/2017,9:33,right,true,2988,2,2_1_2_1,word_1_word_2,far,fire_engine,Clear_Before,preschool,hanna,2013-11-29,,English,,,,2,1,male
P8Pe8,3,8,mal_plain,fem_sws,2,fire_engine,wellyboots,fire_engine,wellyboots,fire_engine,mal_plain_fem_sws,critical,3/9/2017,9:33,left,true,2445,2,2_1_2_1,word_1_word_2,far,wellyboots,Clear_Before,preschool,hanna,2013-11-29,,English,,,,2,1,male
P8Pe8,3,8,mal_plain,fem_sws,3,fire_engine,wellyboots,fire_engine,wellyboots,fire_engine,mal_plain_fem_sws,critical,3/9/2017,9:33,right,true,7630,4,2_1_2_1,word_1_word_2,far,fire_engine,Clear_Before,preschool,hanna,2013-11-29,,English,,,,2,1,male
P8Pe8,4,23,mal_plain,fem_sws,1,teddy_bear,bath,bath,teddy_bear,bath,mal_plain_fem_sws,critical,3/9/2017,9:33,left,true,2758,2,1_2_2_1,word_2_word_1,near,teddy_bear,Clear_Before,preschool,hanna,2013-11-29,,English,,,,2,1,male
P8Pe8,4,23,mal_plain,fem_sws,2,teddy_bear,bath,bath,teddy_bear,bath,mal_plain_fem_sws,critical,3/9/2017,9:33,right,true,1803,2,1_2_2_1,word_2_word_1,near,bath,Clear_Before,preschool,hanna,2013-11-29,,English,,,,2,1,male
P8Pe8,4,23,mal_plain,fem_sws,3,teddy_bear,bath,bath,teddy_bear,bath,mal_plain_fem_sws,critical,3/9/2017,9:33,left,false,12178,2,1_2_2_1,word_2_word_1,near,teddy_bear,Clear_Before,preschool,hanna,2013-11-29,,English,,,,2,1,male
P8Pe8,5,2,mal_plain,fem_sws,1,bed,chicken,bed,bed,chicken,mal_plain_fem_sws,critical,3/9/2017,9:33,left,true,2943,2,2_1_2_1,word_1_word_2,far,bed,Clear_Before,preschool,hanna,2013-11-29,,English,,,,2,1,male
P8Pe8,5,2,mal_plain,fem_sws,2,bed,chicken,bed,bed,chicken,mal_plain_fem_sws,critical,3/9/2017,9:33,right,true,1580,1,2_1_2_1,word_1_word_2,far,chicken,Clear_Before,preschool,hanna,2013-11-29,,English,,,,2,1,male
P8Pe8,5,2,mal_plain,fem_sws,3,bed,chicken,bed,bed,chicken,mal_plain_fem_sws,critical,3/9/2017,9:33,right,false,19146,1,2_1_2_1,word_1_word_2,far,chicken,Clear_Before,preschool,hanna,2013-11-29,,English,,,,2,1,male
P8Pe8,6,14,mal_plain,fem_sws,1,shoes,cheese,shoes,cheese,shoes,mal_plain_fem_sws,critical,3/9/2017,9:33,right,true,2579,2,1_2_1_1,word_1_word_2,far,shoes,Clear_Before,preschool,hanna,2013-11-29,,English,,,,2,1,male
P8Pe8,6,14,mal_plain,fem_sws,2,shoes,cheese,shoes,cheese,shoes,mal_plain_fem_sws,critical,3/9/2017,9:33,left,true,2565,7,1_2_1_1,word_1_word_2,far,cheese,Clear_Before,preschool,hanna,2013-11-29,,English,,,,2,1,male
P8Pe8,6,14,mal_plain,fem_sws,3,shoes,cheese,shoes,cheese,shoes,mal_plain_fem_sws,critical,3/9/2017,9:33,left,false,10843,1,1_2_1_1,word_1_word_2,far,cheese,Clear_Before,preschool,hanna,2013-11-29,,English,,,,2,1,male
P8Pe8,7,20,mal_plain,fem_sws,1,rabbit,jumper,rabbit,jumper,rabbit,mal_plain_fem_sws,critical,3/9/2017,9:33,right,true,2614,2,1_2_1_1,word_1_word_2,far,rabbit,Clear_Before,preschool,hanna,2013-11-29,,English,,,,2,1,male
P8Pe8,7,20,mal_plain,fem_sws,2,rabbit,jumper,rabbit,jumper,rabbit,mal_plain_fem_sws,critical,3/9/2017,9:33,left,true,1898,1,1_2_1_1,word_1_word_2,far,jumper,Clear_Before,preschool,hanna,2013-11-29,,English,,,,2,1,male
P8Pe8,7,20,mal_plain,fem_sws,3,rabbit,jumper,rabbit,jumper,rabbit,mal_plain_fem_sws,critical,3/9/2017,9:33,left,false,8648,3,1_2_1_1,word_1_word_2,far,jumper,Clear_Before,preschool,hanna,2013-11-29,,English,,,,2,1,male
P8Pe8,8,13,mal_plain,fem_sws,1,toothbrush,airplane,toothbrush,airplane,toothbrush,mal_plain_fem_sws,critical,3/9/2017,9:33,right,true,2226,2,2_1_2_1,word_2_word_1,far,toothbrush,Clear_Before,preschool,hanna,2013-11-29,,English,,,,2,1,male
P8Pe8,8,13,mal_plain,fem_sws,2,toothbrush,airplane,toothbrush,airplane,toothbrush,mal_plain_fem_sws,critical,3/9/2017,9:33,left,true,2169,1,2_1_2_1,word_2_word_1,far,airplane,Clear_Before,preschool,hanna,2013-11-29,,English,,,,2,1,male
P8Pe8,8,13,mal_plain,fem_sws,3,toothbrush,airplane,toothbrush,airplane,toothbrush,mal_plain_fem_sws,critical,3/9/2017,9:33,right,true,4520,3,2_1_2_1,word_2_word_1,far,toothbrush,Clear_Before,preschool,hanna,2013-11-29,,English,,,,2,1,male
P8Pe8,9,1,mal_plain,fem_sws,1,baby,spoon,spoon,baby,spoon,mal_plain_fem_sws,critical,3/9/2017,9:33,left,true,2205,2,1_2_2_1,word_2_word_1,near,baby,Clear_Before,preschool,hanna,2013-11-29,,English,,,,2,1,male
P8Pe8,9,1,mal_plain,fem_sws,2,baby,spoon,spoon,baby,spoon,mal_plain_fem_sws,critical,3/9/2017,9:33,right,true,1874,1,1_2_2_1,word_2_word_1,near,spoon,Clear_Before,preschool,hanna,2013-11-29,,English,,,,2,1,male
P8Pe8,9,1,mal_plain,fem_sws,3,baby,spoon,spoon,baby,spoon,mal_plain_fem_sws,critical,3/9/2017,9:33,left,false,4499,3,1_2_2_1,word_2_word_1,near,baby,Clear_Before,preschool,hanna,2013-11-29,,English,,,,2,1,male
P8Pe8,10,15,mal_plain,fem_sws,1,slide,pencil,pencil,slide,pencil,mal_plain_fem_sws,critical,3/9/2017,9:33,left,true,2942,2,1_2_2_1,word_1_word_2,near,slide,Clear_Before,preschool,hanna,2013-11-29,,English,,,,2,1,male
P8Pe8,10,15,mal_plain,fem_sws,2,slide,pencil,pencil,slide,pencil,mal_plain_fem_sws,critical,3/9/2017,9:33,right,true,1919,1,1_2_2_1,word_1_word_2,near,pencil,Clear_Before,preschool,hanna,2013-11-29,,English,,,,2,1,male
P8Pe8,10,15,mal_plain,fem_sws,3,slide,pencil,pencil,slide,pencil,mal_plain_fem_sws,critical,3/9/2017,9:33,right,true,3222,1,1_2_2_1,word_1_word_2,near,pencil,Clear_Before,preschool,hanna,2013-11-29,,English,,,,2,1,male
P8Pe8,11,21,mal_plain,fem_sws,1,frog,sheep,frog,sheep,frog,mal_plain_fem_sws,critical,3/9/2017,9:33,right,true,41249,2,1_2_1_1,word_2_word_1,far,frog,Clear_Before,preschool,hanna,2013-11-29,,English,,,,2,1,male
P8Pe8,11,21,mal_plain,fem_sws,2,frog,sheep,frog,sheep,frog,mal_plain_fem_sws,critical,3/9/2017,9:33,left,true,2665,1,1_2_1_1,word_2_word_1,far,sheep,Clear_Before,preschool,hanna,2013-11-29,,English,,,,2,1,male
P8Pe8,11,21,mal_plain,fem_sws,3,frog,sheep,frog,sheep,frog,mal_plain_fem_sws,critical,3/9/2017,9:33,right,true,1811,1,1_2_1_1,word_2_word_1,far,frog,Clear_Before,preschool,hanna,2013-11-29,,English,,,,2,1,male
P8Pe8,12,11,mal_plain,fem_sws,1,book,lorry,lorry,lorry,book,mal_plain_fem_sws,critical,3/9/2017,9:33,right,true,3699,2,2_1_1_1,word_2_word_1,near,book,Clear_Before,preschool,hanna,2013-11-29,,English,,,,2,1,male
P8Pe8,12,11,mal_plain,fem_sws,2,book,lorry,lorry,lorry,book,mal_plain_fem_sws,critical,3/9/2017,9:33,left,true,2047,1,2_1_1_1,word_2_word_1,near,lorry,Clear_Before,preschool,hanna,2013-11-29,,English,,,,2,1,male
P8Pe8,12,11,mal_plain,fem_sws,3,book,lorry,lorry,lorry,book,mal_plain_fem_sws,critical,3/9/2017,9:33,right,false,1497,2,2_1_1_1,word_2_word_1,near,book,Clear_Before,preschool,hanna,2013-11-29,,English,,,,2,1,male
P8Pe8,13,9,mal_plain,fem_sws,1,window,pizza,window,window,pizza,mal_plain_fem_sws,critical,3/9/2017,9:33,left,true,2104,2,1_2_1_1,word_2_word_1,far,window,Clear_Before,preschool,hanna,2013-11-29,,English,,,,2,1,male
P8Pe8,13,9,mal_plain,fem_sws,2,window,pizza,window,window,pizza,mal_plain_fem_sws,critical,3/9/2017,9:33,right,true,959,2,1_2_1_1,word_2_word_1,far,pizza,Clear_Before,preschool,hanna,2013-11-29,,English,,,,2,1,male
P8Pe8,13,9,mal_plain,fem_sws,3,window,pizza,window,window,pizza,mal_plain_fem_sws,critical,3/9/2017,9:33,right,false,2771,2,1_2_1_1,word_2_word_1,far,pizza,Clear_Before,preschool,hanna,2013-11-29,,English,,,,2,1,male
P8Pe8,14,17,mal_plain,fem_sws,1,ambulance,cake,cake,ambulance,cake,mal_plain_fem_sws,critical,3/9/2017,9:33,left,true,4579,2,2_1_1_1,word_2_word_1,near,ambulance,Clear_Before,preschool,hanna,2013-11-29,,English,,,,2,1,male
P8Pe8,14,17,mal_plain,fem_sws,2,ambulance,cake,cake,ambulance,cake,mal_plain_fem_sws,critical,3/9/2017,9:33,right,true,1581,2,2_1_1_1,word_2_word_1,near,cake,Clear_Before,preschool,hanna,2013-11-29,,English,,,,2,1,male
P8Pe8,14,17,mal_plain,fem_sws,3,ambulance,cake,cake,ambulance,cake,mal_plain_fem_sws,critical,3/9/2017,9:33,right,true,1436,3,2_1_1_1,word_2_word_1,near,cake,Clear_Before,preschool,hanna,2013-11-29,,English,,,,2,1,male
P8Pe8,15,5,mal_plain,fem_sws,1,car,orange,orange,car,orange,mal_plain_fem_sws,critical,3/9/2017,9:33,left,true,2032,2,2_1_1_1,word_2_word_1,near,car,Clear_Before,preschool,hanna,2013-11-29,,English,,,,2,1,male
P8Pe8,15,5,mal_plain,fem_sws,2,car,orange,orange,car,orange,mal_plain_fem_sws,critical,3/9/2017,9:33,right,true,472,1,2_1_1_1,word_2_word_1,near,orange,Clear_Before,preschool,hanna,2013-11-29,,English,,,,2,1,male
P8Pe8,15,5,mal_plain,fem_sws,3,car,orange,orange,car,orange,mal_plain_fem_sws,critical,3/9/2017,9:33,right,true,2324,1,2_1_1_1,word_2_word_1,near,orange,Clear_Before,preschool,hanna,2013-11-29,,English,,,,2,1,male
P8Pe8,16,12,mal_plain,fem_sws,1,foot,yoghurt,foot,foot,yoghurt,mal_plain_fem_sws,critical,3/9/2017,9:33,left,true,5676,2,2_1_2_1,word_1_word_2,far,foot,Clear_Before,preschool,hanna,2013-11-29,,English,,,,2,1,male
P8Pe8,16,12,mal_plain,fem_sws,2,foot,yoghurt,foot,foot,yoghurt,mal_plain_fem_sws,critical,3/9/2017,9:33,right,true,2944,1,2_1_2_1,word_1_word_2,far,yoghurt,Clear_Before,preschool,hanna,2013-11-29,,English,,,,2,1,male
