subject_id,trial_number,trial_id,plain,sws,instruction_number,sound1_item,sound2_item,sound3_item,left_image,right_image,sound_gender,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,pic_position,distance,chosen_pic,test_lang,testing_loc,tester,date_of_birth,ethnicity,native_lang,other_langs,parental_occ,dev_info,birth_order,num_siblings,gender
PtJ9w,1,0,mal_plain,mal_sws,1,glasses,fireman,fireman,glasses,fireman,mal_plain_mal_sws,training,3/9/2017,10:21,right,false,4181,8,1_2_2_1,word_2_word_1,near,fireman,Clear_After,preschool,hanna,2012-10-24,,English,,,,2,1,male
PtJ9w,1,0,mal_plain,mal_sws,2,glasses,fireman,fireman,glasses,fireman,mal_plain_mal_sws,training,3/9/2017,10:21,left,false,2613,2,1_2_2_1,word_2_word_1,near,glasses,Clear_After,preschool,hanna,2012-10-24,,English,,,,2,1,male
PtJ9w,1,0,mal_plain,mal_sws,3,glasses,fireman,fireman,glasses,fireman,mal_plain_mal_sws,training,3/9/2017,10:21,right,true,1920,2,1_2_2_1,word_2_word_1,near,fireman,Clear_After,preschool,hanna,2012-10-24,,English,,,,2,1,male
PtJ9w,2,11,mal_plain,mal_sws,1,book,lorry,lorry,book,lorry,mal_plain_mal_sws,critical,3/9/2017,10:21,right,false,3173,2,1_2_2_1,word_1_word_2,near,lorry,Clear_After,preschool,hanna,2012-10-24,,English,,,,2,1,male
PtJ9w,2,11,mal_plain,mal_sws,2,book,lorry,lorry,book,lorry,mal_plain_mal_sws,critical,3/9/2017,10:21,left,false,1602,3,1_2_2_1,word_1_word_2,near,book,Clear_After,preschool,hanna,2012-10-24,,English,,,,2,1,male
PtJ9w,2,11,mal_plain,mal_sws,3,book,lorry,lorry,book,lorry,mal_plain_mal_sws,critical,3/9/2017,10:21,right,true,2350,1,1_2_2_1,word_1_word_2,near,lorry,Clear_After,preschool,hanna,2012-10-24,,English,,,,2,1,male
PtJ9w,3,4,mal_plain,mal_sws,1,strawberry,coat,strawberry,coat,strawberry,mal_plain_mal_sws,critical,3/9/2017,10:21,right,true,2014,2,2_1_2_1,word_1_word_2,far,strawberry,Clear_After,preschool,hanna,2012-10-24,,English,,,,2,1,male
PtJ9w,3,4,mal_plain,mal_sws,2,strawberry,coat,strawberry,coat,strawberry,mal_plain_mal_sws,critical,3/9/2017,10:21,left,true,4085,2,2_1_2_1,word_1_word_2,far,coat,Clear_After,preschool,hanna,2012-10-24,,English,,,,2,1,male
PtJ9w,3,4,mal_plain,mal_sws,3,strawberry,coat,strawberry,coat,strawberry,mal_plain_mal_sws,critical,3/9/2017,10:21,left,false,2525,1,2_1_2_1,word_1_word_2,far,coat,Clear_After,preschool,hanna,2012-10-24,,English,,,,2,1,male
PtJ9w,4,8,mal_plain,mal_sws,1,wellyboots,fire_engine,fire_engine,fire_engine,wellyboots,mal_plain_mal_sws,critical,3/9/2017,10:21,right,true,3464,2,2_1_1_1,word_2_word_1,near,wellyboots,Clear_After,preschool,hanna,2012-10-24,,English,,,,2,1,male
PtJ9w,4,8,mal_plain,mal_sws,2,wellyboots,fire_engine,fire_engine,fire_engine,wellyboots,mal_plain_mal_sws,critical,3/9/2017,10:21,right,false,2448,2,2_1_1_1,word_2_word_1,near,wellyboots,Clear_After,preschool,hanna,2012-10-24,,English,,,,2,1,male
PtJ9w,4,8,mal_plain,mal_sws,3,wellyboots,fire_engine,fire_engine,fire_engine,wellyboots,mal_plain_mal_sws,critical,3/9/2017,10:21,left,true,2696,2,2_1_1_1,word_2_word_1,near,fire_engine,Clear_After,preschool,hanna,2012-10-24,,English,,,,2,1,male
PtJ9w,5,6,mal_plain,mal_sws,1,peas,bird,bird,bird,peas,mal_plain_mal_sws,critical,3/9/2017,10:21,right,true,2172,4,2_1_1_1,word_1_word_2,near,peas,Clear_After,preschool,hanna,2012-10-24,,English,,,,2,1,male
PtJ9w,5,6,mal_plain,mal_sws,2,peas,bird,bird,bird,peas,mal_plain_mal_sws,critical,3/9/2017,10:21,right,false,2096,1,2_1_1_1,word_1_word_2,near,peas,Clear_After,preschool,hanna,2012-10-24,,English,,,,2,1,male
PtJ9w,5,6,mal_plain,mal_sws,3,peas,bird,bird,bird,peas,mal_plain_mal_sws,critical,3/9/2017,10:21,left,true,1571,1,2_1_1_1,word_1_word_2,near,bird,Clear_After,preschool,hanna,2012-10-24,,English,,,,2,1,male
