subject_id,trial_number,trial_id,plain,sws,instruction_number,sound1_item,sound2_item,sound3_item,left_image,right_image,sound_gender,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,pic_position,distance,chosen_pic,test_lang,testing_loc,tester,date_of_birth,ethnicity,native_lang,other_langs,parental_occ,dev_info,birth_order,num_siblings,gender
Qa93T,1,0,mal_plain,mal_sws,1,fireman,glasses,glasses,glasses,fireman,mal_plain_mal_sws,training,4/7/2017,15:33,left,false,6368,4,1_2_2_1,word_2_word_1,near,glasses,Clear_After,lab,hanna,2015-04-02,,English,,,,,,male
Qa93T,1,0,mal_plain,mal_sws,2,fireman,glasses,glasses,glasses,fireman,mal_plain_mal_sws,training,4/7/2017,15:33,right,false,6025,7,1_2_2_1,word_2_word_1,near,fireman,Clear_After,lab,hanna,2015-04-02,,English,,,,,,male
Qa93T,1,0,mal_plain,mal_sws,3,fireman,glasses,glasses,glasses,fireman,mal_plain_mal_sws,training,4/7/2017,15:33,left,true,4188,2,1_2_2_1,word_2_word_1,near,glasses,Clear_After,lab,hanna,2015-04-02,,English,,,,,,male
Qa93T,2,6,mal_plain,mal_sws,1,peas,bird,peas,bird,peas,mal_plain_mal_sws,critical,4/7/2017,15:33,right,true,5071,2,1_2_1_1,word_1_word_2,far,peas,Clear_After,lab,hanna,2015-04-02,,English,,,,,,male
Qa93T,2,6,mal_plain,mal_sws,2,peas,bird,peas,bird,peas,mal_plain_mal_sws,critical,4/7/2017,15:33,right,false,1516,7,1_2_1_1,word_1_word_2,far,peas,Clear_After,lab,hanna,2015-04-02,,English,,,,,,male
Qa93T,2,6,mal_plain,mal_sws,3,peas,bird,peas,bird,peas,mal_plain_mal_sws,critical,4/7/2017,15:33,left,false,1978,4,1_2_1_1,word_1_word_2,far,bird,Clear_After,lab,hanna,2015-04-02,,English,,,,,,male
Qa93T,3,5,mal_plain,mal_sws,1,orange,car,orange,car,orange,mal_plain_mal_sws,critical,4/7/2017,15:33,left,false,2483,2,1_2_1_1,word_2_word_1,far,car,Clear_After,lab,hanna,2015-04-02,,English,,,,,,male
Qa93T,3,5,mal_plain,mal_sws,2,orange,car,orange,car,orange,mal_plain_mal_sws,critical,4/7/2017,15:33,right,false,2437,2,1_2_1_1,word_2_word_1,far,orange,Clear_After,lab,hanna,2015-04-02,,English,,,,,,male
Qa93T,3,5,mal_plain,mal_sws,3,orange,car,orange,car,orange,mal_plain_mal_sws,critical,4/7/2017,15:33,left,false,3525,2,1_2_1_1,word_2_word_1,far,car,Clear_After,lab,hanna,2015-04-02,,English,,,,,,male
Qa93T,4,8,mal_plain,mal_sws,1,fire_engine,wellyboots,fire_engine,fire_engine,wellyboots,mal_plain_mal_sws,critical,4/7/2017,15:33,right,false,1688,2,2_1_2_1,word_2_word_1,far,wellyboots,Clear_After,lab,hanna,2015-04-02,,English,,,,,,male
Qa93T,4,8,mal_plain,mal_sws,2,fire_engine,wellyboots,fire_engine,fire_engine,wellyboots,mal_plain_mal_sws,critical,4/7/2017,15:33,left,false,3700,2,2_1_2_1,word_2_word_1,far,fire_engine,Clear_After,lab,hanna,2015-04-02,,English,,,,,,male
