subject_id,trial_number,trial_id,plain,sws,instruction_number,sound1_item,sound2_item,sound3_item,left_image,right_image,sound_gender,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,pic_position,distance,chosen_pic,test_lang,testing_loc,tester,date_of_birth,ethnicity,native_lang,other_langs,parental_occ,dev_info,birth_order,num_siblings,gender
QiJAt,1,0,fem_plain,fem_sws,1,glasses,fireman,fireman,glasses,fireman,fem_plain_fem_sws,training,3/31/2017,12:01,right,false,4337,6,1_2_2_1,word_2_word_1,near,fireman,Clear_After,lab,hanna,2013-07-28,,English,,,,,,male
QiJAt,1,0,fem_plain,fem_sws,2,glasses,fireman,fireman,glasses,fireman,fem_plain_fem_sws,training,3/31/2017,12:01,left,false,2395,2,1_2_2_1,word_2_word_1,near,glasses,Clear_After,lab,hanna,2013-07-28,,English,,,,,,male
QiJAt,1,0,fem_plain,fem_sws,3,glasses,fireman,fireman,glasses,fireman,fem_plain_fem_sws,training,3/31/2017,12:01,right,true,2060,2,1_2_2_1,word_2_word_1,near,fireman,Clear_After,lab,hanna,2013-07-28,,English,,,,,,male
QiJAt,2,16,fem_plain,fem_sws,1,paintbrush,banana,paintbrush,banana,paintbrush,fem_plain_fem_sws,critical,3/31/2017,12:01,left,false,9223,2,1_2_1_1,word_2_word_1,far,banana,Clear_After,lab,hanna,2013-07-28,,English,,,,,,male
QiJAt,2,16,fem_plain,fem_sws,2,paintbrush,banana,paintbrush,banana,paintbrush,fem_plain_fem_sws,critical,3/31/2017,12:01,right,false,3020,2,1_2_1_1,word_2_word_1,far,paintbrush,Clear_After,lab,hanna,2013-07-28,,English,,,,,,male
QiJAt,2,16,fem_plain,fem_sws,3,paintbrush,banana,paintbrush,banana,paintbrush,fem_plain_fem_sws,critical,3/31/2017,12:01,left,false,3593,1,1_2_1_1,word_2_word_1,far,banana,Clear_After,lab,hanna,2013-07-28,,English,,,,,,male
QiJAt,3,21,fem_plain,fem_sws,1,frog,sheep,frog,sheep,frog,fem_plain_fem_sws,critical,3/31/2017,12:01,left,false,4658,2,1_2_1_1,word_2_word_1,far,sheep,Clear_After,lab,hanna,2013-07-28,,English,,,,,,male
QiJAt,3,21,fem_plain,fem_sws,2,frog,sheep,frog,sheep,frog,fem_plain_fem_sws,critical,3/31/2017,12:01,right,false,4292,2,1_2_1_1,word_2_word_1,far,frog,Clear_After,lab,hanna,2013-07-28,,English,,,,,,male
QiJAt,3,21,fem_plain,fem_sws,3,frog,sheep,frog,sheep,frog,fem_plain_fem_sws,critical,3/31/2017,12:01,left,false,2625,1,1_2_1_1,word_2_word_1,far,sheep,Clear_After,lab,hanna,2013-07-28,,English,,,,,,male
QiJAt,4,18,fem_plain,fem_sws,1,raspberry,ball,raspberry,raspberry,ball,fem_plain_fem_sws,critical,3/31/2017,12:01,right,false,4920,2,2_1_2_1,word_2_word_1,far,ball,Clear_After,lab,hanna,2013-07-28,,English,,,,,,male
QiJAt,4,18,fem_plain,fem_sws,2,raspberry,ball,raspberry,raspberry,ball,fem_plain_fem_sws,critical,3/31/2017,12:01,left,false,3181,1,2_1_2_1,word_2_word_1,far,raspberry,Clear_After,lab,hanna,2013-07-28,,English,,,,,,male
QiJAt,4,18,fem_plain,fem_sws,3,raspberry,ball,raspberry,raspberry,ball,fem_plain_fem_sws,critical,3/31/2017,12:01,right,false,2793,1,2_1_2_1,word_2_word_1,far,ball,Clear_After,lab,hanna,2013-07-28,,English,,,,,,male
QiJAt,5,17,fem_plain,fem_sws,1,cake,ambulance,cake,cake,ambulance,fem_plain_fem_sws,critical,3/31/2017,12:01,right,false,4543,3,2_1_2_1,word_1_word_2,far,ambulance,Clear_After,lab,hanna,2013-07-28,,English,,,,,,male
QiJAt,5,17,fem_plain,fem_sws,2,cake,ambulance,cake,cake,ambulance,fem_plain_fem_sws,critical,3/31/2017,12:01,left,false,3085,2,2_1_2_1,word_1_word_2,far,cake,Clear_After,lab,hanna,2013-07-28,,English,,,,,,male
QiJAt,5,17,fem_plain,fem_sws,3,cake,ambulance,cake,cake,ambulance,fem_plain_fem_sws,critical,3/31/2017,12:01,right,false,2090,2,2_1_2_1,word_1_word_2,far,ambulance,Clear_After,lab,hanna,2013-07-28,,English,,,,,,male
QiJAt,6,14,fem_plain,fem_sws,1,cheese,shoes,shoes,cheese,shoes,fem_plain_fem_sws,critical,3/31/2017,12:01,left,true,4672,2,2_1_1_1,word_1_word_2,near,cheese,Clear_After,lab,hanna,2013-07-28,,English,,,,,,male
QiJAt,6,14,fem_plain,fem_sws,2,cheese,shoes,shoes,cheese,shoes,fem_plain_fem_sws,critical,3/31/2017,12:01,left,false,2930,2,2_1_1_1,word_1_word_2,near,cheese,Clear_After,lab,hanna,2013-07-28,,English,,,,,,male
QiJAt,6,14,fem_plain,fem_sws,3,cheese,shoes,shoes,cheese,shoes,fem_plain_fem_sws,critical,3/31/2017,12:01,right,true,2292,1,2_1_1_1,word_1_word_2,near,shoes,Clear_After,lab,hanna,2013-07-28,,English,,,,,,male
QiJAt,7,7,fem_plain,fem_sws,1,horse,lolly,horse,horse,lolly,fem_plain_fem_sws,critical,3/31/2017,12:01,left,true,2550,2,1_2_1_1,word_2_word_1,far,horse,Clear_After,lab,hanna,2013-07-28,,English,,,,,,male
