subject_id,trial_number,trial_id,plain,sws,instruction_number,sound1_item,sound2_item,sound3_item,left_image,right_image,sound_gender,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,pic_position,distance,chosen_pic,test_lang,testing_loc,tester,date_of_birth,ethnicity,native_lang,other_langs,parental_occ,dev_info,birth_order,num_siblings,gender
TWA1m,1,0,mal_plain,fem_sws,1,fireman,glasses,glasses,fireman,glasses,mal_plain_fem_sws,training,4/7/2017,11:33,right,false,7279,6,2_1_1_1,word_1_word_2,near,glasses,Clear_After,lab,hanna,2014-07-16,,English,,,,,,female
TWA1m,1,0,mal_plain,fem_sws,2,fireman,glasses,glasses,fireman,glasses,mal_plain_fem_sws,training,4/7/2017,11:33,left,false,2632,2,2_1_1_1,word_1_word_2,near,fireman,Clear_After,lab,hanna,2014-07-16,,English,,,,,,female
TWA1m,1,0,mal_plain,fem_sws,3,fireman,glasses,glasses,fireman,glasses,mal_plain_fem_sws,training,4/7/2017,11:33,right,true,2854,1,2_1_1_1,word_1_word_2,near,glasses,Clear_After,lab,hanna,2014-07-16,,English,,,,,,female
TWA1m,2,9,mal_plain,fem_sws,1,window,pizza,window,window,pizza,mal_plain_fem_sws,critical,4/7/2017,11:33,right,false,13648,6,2_1_2_1,word_2_word_1,far,pizza,Clear_After,lab,hanna,2014-07-16,,English,,,,,,female
TWA1m,2,9,mal_plain,fem_sws,2,window,pizza,window,window,pizza,mal_plain_fem_sws,critical,4/7/2017,11:33,left,false,2016,2,2_1_2_1,word_2_word_1,far,window,Clear_After,lab,hanna,2014-07-16,,English,,,,,,female
TWA1m,2,9,mal_plain,fem_sws,3,window,pizza,window,window,pizza,mal_plain_fem_sws,critical,4/7/2017,11:33,right,false,2236,1,2_1_2_1,word_2_word_1,far,pizza,Clear_After,lab,hanna,2014-07-16,,English,,,,,,female
TWA1m,3,14,mal_plain,fem_sws,1,cheese,shoes,shoes,shoes,cheese,mal_plain_fem_sws,critical,4/7/2017,11:33,right,true,5058,2,2_1_1_1,word_2_word_1,near,cheese,Clear_After,lab,hanna,2014-07-16,,English,,,,,,female
TWA1m,3,14,mal_plain,fem_sws,2,cheese,shoes,shoes,shoes,cheese,mal_plain_fem_sws,critical,4/7/2017,11:33,right,false,2778,1,2_1_1_1,word_2_word_1,near,cheese,Clear_After,lab,hanna,2014-07-16,,English,,,,,,female
TWA1m,3,14,mal_plain,fem_sws,3,cheese,shoes,shoes,shoes,cheese,mal_plain_fem_sws,critical,4/7/2017,11:33,left,true,2141,1,2_1_1_1,word_2_word_1,near,shoes,Clear_After,lab,hanna,2014-07-16,,English,,,,,,female
TWA1m,4,15,mal_plain,fem_sws,1,pencil,slide,slide,pencil,slide,mal_plain_fem_sws,critical,4/7/2017,11:33,right,false,5255,2,2_1_1_1,word_2_word_1,near,slide,Clear_After,lab,hanna,2014-07-16,,English,,,,,,female
TWA1m,4,15,mal_plain,fem_sws,2,pencil,slide,slide,pencil,slide,mal_plain_fem_sws,critical,4/7/2017,11:33,left,false,1861,2,2_1_1_1,word_2_word_1,near,pencil,Clear_After,lab,hanna,2014-07-16,,English,,,,,,female
TWA1m,4,15,mal_plain,fem_sws,3,pencil,slide,slide,pencil,slide,mal_plain_fem_sws,critical,4/7/2017,11:33,right,true,2903,1,2_1_1_1,word_2_word_1,near,slide,Clear_After,lab,hanna,2014-07-16,,English,,,,,,female
TWA1m,5,1,mal_plain,fem_sws,1,spoon,baby,spoon,spoon,baby,mal_plain_fem_sws,critical,4/7/2017,11:33,right,false,8562,2,2_1_2_1,word_1_word_2,far,baby,Clear_After,lab,hanna,2014-07-16,,English,,,,,,female
