subject_id,trial_number,trial_id,plain,sws,instruction_number,sound1_item,sound2_item,sound3_item,left_image,right_image,sound_gender,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,pic_position,distance,chosen_pic,test_lang,testing_loc,tester,date_of_birth,ethnicity,native_lang,other_langs,parental_occ,dev_info,birth_order,num_siblings,gender
UICHK,1,0,fem_plain,mal_sws,1,fireman,glasses,fireman,glasses,fireman,fem_plain_mal_sws,training,3/3/2017,14:58,right,true,4430,15,1_2_1_1,word_2_word_1,far,fireman,Clear_After,home,hanna,2013-01-09,,English,,,,3,2,male
UICHK,1,0,fem_plain,mal_sws,2,fireman,glasses,fireman,glasses,fireman,fem_plain_mal_sws,training,3/3/2017,14:58,right,false,3892,4,1_2_1_1,word_2_word_1,far,fireman,Clear_After,home,hanna,2013-01-09,,English,,,,3,2,male
UICHK,1,0,fem_plain,mal_sws,3,fireman,glasses,fireman,glasses,fireman,fem_plain_mal_sws,training,3/3/2017,14:58,left,false,3602,1,1_2_1_1,word_2_word_1,far,glasses,Clear_After,home,hanna,2013-01-09,,English,,,,3,2,male
UICHK,2,10,fem_plain,mal_sws,1,pig,tshirt,tshirt,tshirt,pig,fem_plain_mal_sws,critical,3/3/2017,14:58,right,true,10832,4,1_2_2_1,word_2_word_1,near,pig,Clear_After,home,hanna,2013-01-09,,English,,,,3,2,male
UICHK,2,10,fem_plain,mal_sws,2,pig,tshirt,tshirt,tshirt,pig,fem_plain_mal_sws,critical,3/3/2017,14:58,right,false,7848,1,1_2_2_1,word_2_word_1,near,pig,Clear_After,home,hanna,2013-01-09,,English,,,,3,2,male
UICHK,2,10,fem_plain,mal_sws,3,pig,tshirt,tshirt,tshirt,pig,fem_plain_mal_sws,critical,3/3/2017,14:58,left,true,3540,2,1_2_2_1,word_2_word_1,near,tshirt,Clear_After,home,hanna,2013-01-09,,English,,,,3,2,male
UICHK,3,20,fem_plain,mal_sws,1,rabbit,jumper,jumper,rabbit,jumper,fem_plain_mal_sws,critical,3/3/2017,14:58,right,false,12430,2,2_1_1_1,word_2_word_1,near,jumper,Clear_After,home,hanna,2013-01-09,,English,,,,3,2,male
UICHK,3,20,fem_plain,mal_sws,2,rabbit,jumper,jumper,rabbit,jumper,fem_plain_mal_sws,critical,3/3/2017,14:58,left,false,2816,2,2_1_1_1,word_2_word_1,near,rabbit,Clear_After,home,hanna,2013-01-09,,English,,,,3,2,male
UICHK,3,20,fem_plain,mal_sws,3,rabbit,jumper,jumper,rabbit,jumper,fem_plain_mal_sws,critical,3/3/2017,14:58,right,true,2492,1,2_1_1_1,word_2_word_1,near,jumper,Clear_After,home,hanna,2013-01-09,,English,,,,3,2,male
UICHK,4,14,fem_plain,mal_sws,1,shoes,cheese,cheese,shoes,cheese,fem_plain_mal_sws,critical,3/3/2017,14:58,right,false,759,2,2_1_1_1,word_2_word_1,near,cheese,Clear_After,home,hanna,2013-01-09,,English,,,,3,2,male
UICHK,4,14,fem_plain,mal_sws,2,shoes,cheese,cheese,shoes,cheese,fem_plain_mal_sws,critical,3/3/2017,14:58,left,false,2684,2,2_1_1_1,word_2_word_1,near,shoes,Clear_After,home,hanna,2013-01-09,,English,,,,3,2,male
UICHK,4,14,fem_plain,mal_sws,3,shoes,cheese,cheese,shoes,cheese,fem_plain_mal_sws,critical,3/3/2017,14:58,right,true,3913,3,2_1_1_1,word_2_word_1,near,cheese,Clear_After,home,hanna,2013-01-09,,English,,,,3,2,male
UICHK,5,18,fem_plain,mal_sws,1,ball,raspberry,raspberry,ball,raspberry,fem_plain_mal_sws,critical,3/3/2017,14:58,right,false,11766,2,1_2_2_1,word_1_word_2,near,raspberry,Clear_After,home,hanna,2013-01-09,,English,,,,3,2,male
UICHK,5,18,fem_plain,mal_sws,2,ball,raspberry,raspberry,ball,raspberry,fem_plain_mal_sws,critical,3/3/2017,14:58,left,false,2686,2,1_2_2_1,word_1_word_2,near,ball,Clear_After,home,hanna,2013-01-09,,English,,,,3,2,male
UICHK,5,18,fem_plain,mal_sws,3,ball,raspberry,raspberry,ball,raspberry,fem_plain_mal_sws,critical,3/3/2017,14:58,right,true,9821,1,1_2_2_1,word_1_word_2,near,raspberry,Clear_After,home,hanna,2013-01-09,,English,,,,3,2,male
UICHK,6,19,fem_plain,mal_sws,1,santa,building_blocks,building_blocks,building_blocks,santa,fem_plain_mal_sws,critical,3/3/2017,14:58,right,true,3944,3,2_1_1_1,word_2_word_1,near,santa,Clear_After,home,hanna,2013-01-09,,English,,,,3,2,male
UICHK,6,19,fem_plain,mal_sws,2,santa,building_blocks,building_blocks,building_blocks,santa,fem_plain_mal_sws,critical,3/3/2017,14:58,left,true,5408,3,2_1_1_1,word_2_word_1,near,building_blocks,Clear_After,home,hanna,2013-01-09,,English,,,,3,2,male
