subject_id,trial_number,trial_id,plain,sws,instruction_number,sound1_item,sound2_item,sound3_item,left_image,right_image,sound_gender,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,pic_position,distance,chosen_pic,test_lang,testing_loc,tester,date_of_birth,ethnicity,native_lang,other_langs,parental_occ,dev_info,birth_order,num_siblings,gender
XXHyJ,1,0,mal_plain,fem_sws,1,glasses,fireman,fireman,fireman,glasses,mal_plain_fem_sws,training,2/27/2017,16:29,right,true,2676,3,1_2_2_1,word_1_word_2,near,glasses,Clear_Before,home,hanna,2012-07-29,,English ,French,,,1,1,male
XXHyJ,1,0,mal_plain,fem_sws,2,glasses,fireman,fireman,fireman,glasses,mal_plain_fem_sws,training,2/27/2017,16:29,left,true,2323,4,1_2_2_1,word_1_word_2,near,fireman,Clear_Before,home,hanna,2012-07-29,,English ,French,,,1,1,male
XXHyJ,1,0,mal_plain,fem_sws,3,glasses,fireman,fireman,fireman,glasses,mal_plain_fem_sws,training,2/27/2017,16:29,left,true,3783,1,1_2_2_1,word_1_word_2,near,fireman,Clear_Before,home,hanna,2012-07-29,,English ,French,,,1,1,male
XXHyJ,2,3,mal_plain,fem_sws,1,trousers,nose,nose,nose,trousers,mal_plain_fem_sws,critical,2/27/2017,16:29,right,true,2900,2,2_1_1_1,word_2_word_1,near,trousers,Clear_Before,home,hanna,2012-07-29,,English ,French,,,1,1,male
XXHyJ,2,3,mal_plain,fem_sws,2,trousers,nose,nose,nose,trousers,mal_plain_fem_sws,critical,2/27/2017,16:29,left,true,2456,1,2_1_1_1,word_2_word_1,near,nose,Clear_Before,home,hanna,2012-07-29,,English ,French,,,1,1,male
XXHyJ,2,3,mal_plain,fem_sws,3,trousers,nose,nose,nose,trousers,mal_plain_fem_sws,critical,2/27/2017,16:29,left,true,2950,2,2_1_1_1,word_2_word_1,near,nose,Clear_Before,home,hanna,2012-07-29,,English ,French,,,1,1,male
XXHyJ,3,4,mal_plain,fem_sws,1,coat,strawberry,coat,strawberry,coat,mal_plain_fem_sws,critical,2/27/2017,16:29,right,true,3179,2,1_2_1_1,word_2_word_1,far,coat,Clear_Before,home,hanna,2012-07-29,,English ,French,,,1,1,male
XXHyJ,3,4,mal_plain,fem_sws,2,coat,strawberry,coat,strawberry,coat,mal_plain_fem_sws,critical,2/27/2017,16:29,left,true,2420,2,1_2_1_1,word_2_word_1,far,strawberry,Clear_Before,home,hanna,2012-07-29,,English ,French,,,1,1,male
XXHyJ,3,4,mal_plain,fem_sws,3,coat,strawberry,coat,strawberry,coat,mal_plain_fem_sws,critical,2/27/2017,16:29,right,true,2844,4,1_2_1_1,word_2_word_1,far,coat,Clear_Before,home,hanna,2012-07-29,,English ,French,,,1,1,male
XXHyJ,4,9,mal_plain,fem_sws,1,window,pizza,window,window,pizza,mal_plain_fem_sws,critical,2/27/2017,16:29,left,true,2449,2,1_2_1_1,word_2_word_1,far,window,Clear_Before,home,hanna,2012-07-29,,English ,French,,,1,1,male
XXHyJ,4,9,mal_plain,fem_sws,2,window,pizza,window,window,pizza,mal_plain_fem_sws,critical,2/27/2017,16:29,right,true,2236,1,1_2_1_1,word_2_word_1,far,pizza,Clear_Before,home,hanna,2012-07-29,,English ,French,,,1,1,male
XXHyJ,4,9,mal_plain,fem_sws,3,window,pizza,window,window,pizza,mal_plain_fem_sws,critical,2/27/2017,16:29,left,true,2427,2,1_2_1_1,word_2_word_1,far,window,Clear_Before,home,hanna,2012-07-29,,English ,French,,,1,1,male
XXHyJ,5,23,mal_plain,fem_sws,1,bath,teddy_bear,bath,teddy_bear,bath,mal_plain_fem_sws,critical,2/27/2017,16:29,right,true,2446,2,1_2_1_1,word_2_word_1,far,bath,Clear_Before,home,hanna,2012-07-29,,English ,French,,,1,1,male
