subject_id,trial_number,trial_id,plain,sws,instruction_number,sound1_item,sound2_item,sound3_item,left_image,right_image,sound_gender,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,pic_position,distance,chosen_pic,test_lang,testing_loc,tester,date_of_birth,ethnicity,native_lang,other_langs,parental_occ,dev_info,birth_order,num_siblings,gender
XhQ1e,1,0,mal_plain,fem_sws,1,fireman,glasses,fireman,glasses,fireman,mal_plain_fem_sws,training,3/9/2017,10:33,right,true,5143,5,1_2_1_1,word_2_word_1,far,fireman,Clear_After,pilot,hanna,2012-05-14,,English,,,,2,1,female
XhQ1e,1,0,mal_plain,fem_sws,2,fireman,glasses,fireman,glasses,fireman,mal_plain_fem_sws,training,3/9/2017,10:33,right,false,2363,1,1_2_1_1,word_2_word_1,far,fireman,Clear_After,pilot,hanna,2012-05-14,,English,,,,2,1,female
XhQ1e,1,0,mal_plain,fem_sws,3,fireman,glasses,fireman,glasses,fireman,mal_plain_fem_sws,training,3/9/2017,10:33,left,false,1832,1,1_2_1_1,word_2_word_1,far,glasses,Clear_After,pilot,hanna,2012-05-14,,English,,,,2,1,female
XhQ1e,2,21,mal_plain,fem_sws,1,sheep,frog,frog,frog,sheep,mal_plain_fem_sws,critical,3/9/2017,10:33,left,false,3942,2,1_2_2_1,word_1_word_2,near,frog,Clear_After,pilot,hanna,2012-05-14,,English,,,,2,1,female
XhQ1e,2,21,mal_plain,fem_sws,2,sheep,frog,frog,frog,sheep,mal_plain_fem_sws,critical,3/9/2017,10:33,right,false,1963,2,1_2_2_1,word_1_word_2,near,sheep,Clear_After,pilot,hanna,2012-05-14,,English,,,,2,1,female
XhQ1e,2,21,mal_plain,fem_sws,3,sheep,frog,frog,frog,sheep,mal_plain_fem_sws,critical,3/9/2017,10:33,left,true,2617,1,1_2_2_1,word_1_word_2,near,frog,Clear_After,pilot,hanna,2012-05-14,,English,,,,2,1,female
XhQ1e,3,16,mal_plain,fem_sws,1,paintbrush,banana,banana,paintbrush,banana,mal_plain_fem_sws,critical,3/9/2017,10:33,right,false,3860,4,2_1_1_1,word_1_word_2,near,banana,Clear_After,pilot,hanna,2012-05-14,,English,,,,2,1,female
XhQ1e,3,16,mal_plain,fem_sws,2,paintbrush,banana,banana,paintbrush,banana,mal_plain_fem_sws,critical,3/9/2017,10:33,left,false,2332,1,2_1_1_1,word_1_word_2,near,paintbrush,Clear_After,pilot,hanna,2012-05-14,,English,,,,2,1,female
XhQ1e,3,16,mal_plain,fem_sws,3,paintbrush,banana,banana,paintbrush,banana,mal_plain_fem_sws,critical,3/9/2017,10:33,right,true,2035,1,2_1_1_1,word_1_word_2,near,banana,Clear_After,pilot,hanna,2012-05-14,,English,,,,2,1,female
XhQ1e,4,23,mal_plain,fem_sws,1,teddy_bear,bath,bath,teddy_bear,bath,mal_plain_fem_sws,critical,3/9/2017,10:33,right,false,3868,2,1_2_2_1,word_2_word_1,near,bath,Clear_After,pilot,hanna,2012-05-14,,English,,,,2,1,female
XhQ1e,4,23,mal_plain,fem_sws,2,teddy_bear,bath,bath,teddy_bear,bath,mal_plain_fem_sws,critical,3/9/2017,10:33,left,false,1828,2,1_2_2_1,word_2_word_1,near,teddy_bear,Clear_After,pilot,hanna,2012-05-14,,English,,,,2,1,female
XhQ1e,4,23,mal_plain,fem_sws,3,teddy_bear,bath,bath,teddy_bear,bath,mal_plain_fem_sws,critical,3/9/2017,10:33,right,true,2194,2,1_2_2_1,word_2_word_1,near,bath,Clear_After,pilot,hanna,2012-05-14,,English,,,,2,1,female
XhQ1e,5,20,mal_plain,fem_sws,1,rabbit,jumper,rabbit,jumper,rabbit,mal_plain_fem_sws,critical,3/9/2017,10:33,right,true,1973,2,2_1_2_1,word_1_word_2,far,rabbit,Clear_After,pilot,hanna,2012-05-14,,English,,,,2,1,female
XhQ1e,5,20,mal_plain,fem_sws,2,rabbit,jumper,rabbit,jumper,rabbit,mal_plain_fem_sws,critical,3/9/2017,10:33,right,false,1974,2,2_1_2_1,word_1_word_2,far,rabbit,Clear_After,pilot,hanna,2012-05-14,,English,,,,2,1,female
XhQ1e,5,20,mal_plain,fem_sws,3,rabbit,jumper,rabbit,jumper,rabbit,mal_plain_fem_sws,critical,3/9/2017,10:33,left,false,1507,1,2_1_2_1,word_1_word_2,far,jumper,Clear_After,pilot,hanna,2012-05-14,,English,,,,2,1,female
XhQ1e,6,4,mal_plain,fem_sws,1,strawberry,coat,strawberry,coat,strawberry,mal_plain_fem_sws,critical,3/9/2017,10:33,right,true,2557,2,2_1_2_1,word_1_word_2,far,strawberry,Clear_After,pilot,hanna,2012-05-14,,English,,,,2,1,female
XhQ1e,6,4,mal_plain,fem_sws,2,strawberry,coat,strawberry,coat,strawberry,mal_plain_fem_sws,critical,3/9/2017,10:33,right,false,2107,2,2_1_2_1,word_1_word_2,far,strawberry,Clear_After,pilot,hanna,2012-05-14,,English,,,,2,1,female
XhQ1e,6,4,mal_plain,fem_sws,3,strawberry,coat,strawberry,coat,strawberry,mal_plain_fem_sws,critical,3/9/2017,10:33,left,false,2714,1,2_1_2_1,word_1_word_2,far,coat,Clear_After,pilot,hanna,2012-05-14,,English,,,,2,1,female
XhQ1e,7,15,mal_plain,fem_sws,1,slide,pencil,slide,pencil,slide,mal_plain_fem_sws,critical,3/9/2017,10:33,right,true,2264,2,2_1_2_1,word_2_word_1,far,slide,Clear_After,pilot,hanna,2012-05-14,,English,,,,2,1,female
XhQ1e,7,15,mal_plain,fem_sws,2,slide,pencil,slide,pencil,slide,mal_plain_fem_sws,critical,3/9/2017,10:33,right,false,3287,2,2_1_2_1,word_2_word_1,far,slide,Clear_After,pilot,hanna,2012-05-14,,English,,,,2,1,female
XhQ1e,7,15,mal_plain,fem_sws,3,slide,pencil,slide,pencil,slide,mal_plain_fem_sws,critical,3/9/2017,10:33,left,false,2398,2,2_1_2_1,word_2_word_1,far,pencil,Clear_After,pilot,hanna,2012-05-14,,English,,,,2,1,female
XhQ1e,8,18,mal_plain,fem_sws,1,raspberry,ball,raspberry,raspberry,ball,mal_plain_fem_sws,critical,3/9/2017,10:33,left,true,2870,2,2_1_2_1,word_2_word_1,far,raspberry,Clear_After,pilot,hanna,2012-05-14,,English,,,,2,1,female
XhQ1e,8,18,mal_plain,fem_sws,2,raspberry,ball,raspberry,raspberry,ball,mal_plain_fem_sws,critical,3/9/2017,10:33,left,false,2842,1,2_1_2_1,word_2_word_1,far,raspberry,Clear_After,pilot,hanna,2012-05-14,,English,,,,2,1,female
XhQ1e,8,18,mal_plain,fem_sws,3,raspberry,ball,raspberry,raspberry,ball,mal_plain_fem_sws,critical,3/9/2017,10:33,right,false,1951,1,2_1_2_1,word_2_word_1,far,ball,Clear_After,pilot,hanna,2012-05-14,,English,,,,2,1,female
XhQ1e,9,1,mal_plain,fem_sws,1,baby,spoon,spoon,baby,spoon,mal_plain_fem_sws,critical,3/9/2017,10:33,right,false,4340,2,1_2_2_1,word_2_word_1,near,spoon,Clear_After,pilot,hanna,2012-05-14,,English,,,,2,1,female
XhQ1e,9,1,mal_plain,fem_sws,2,baby,spoon,spoon,baby,spoon,mal_plain_fem_sws,critical,3/9/2017,10:33,left,false,1748,2,1_2_2_1,word_2_word_1,near,baby,Clear_After,pilot,hanna,2012-05-14,,English,,,,2,1,female
XhQ1e,9,1,mal_plain,fem_sws,3,baby,spoon,spoon,baby,spoon,mal_plain_fem_sws,critical,3/9/2017,10:33,right,true,2084,2,1_2_2_1,word_2_word_1,near,spoon,Clear_After,pilot,hanna,2012-05-14,,English,,,,2,1,female
XhQ1e,10,19,mal_plain,fem_sws,1,santa,building_blocks,santa,santa,building_blocks,mal_plain_fem_sws,critical,3/9/2017,10:33,right,false,5857,2,1_2_1_1,word_1_word_2,far,building_blocks,Clear_After,pilot,hanna,2012-05-14,,English,,,,2,1,female
XhQ1e,10,19,mal_plain,fem_sws,2,santa,building_blocks,santa,santa,building_blocks,mal_plain_fem_sws,critical,3/9/2017,10:33,left,false,2309,2,1_2_1_1,word_1_word_2,far,santa,Clear_After,pilot,hanna,2012-05-14,,English,,,,2,1,female
XhQ1e,10,19,mal_plain,fem_sws,3,santa,building_blocks,santa,santa,building_blocks,mal_plain_fem_sws,critical,3/9/2017,10:33,right,false,1982,2,1_2_1_1,word_1_word_2,far,building_blocks,Clear_After,pilot,hanna,2012-05-14,,English,,,,2,1,female
XhQ1e,11,3,mal_plain,fem_sws,1,nose,trousers,trousers,trousers,nose,mal_plain_fem_sws,critical,3/9/2017,10:33,left,false,2302,2,2_1_1_1,word_1_word_2,near,trousers,Clear_After,pilot,hanna,2012-05-14,,English,,,,2,1,female
XhQ1e,11,3,mal_plain,fem_sws,2,nose,trousers,trousers,trousers,nose,mal_plain_fem_sws,critical,3/9/2017,10:33,right,false,2438,2,2_1_1_1,word_1_word_2,near,nose,Clear_After,pilot,hanna,2012-05-14,,English,,,,2,1,female
XhQ1e,11,3,mal_plain,fem_sws,3,nose,trousers,trousers,trousers,nose,mal_plain_fem_sws,critical,3/9/2017,10:33,left,true,2360,2,2_1_1_1,word_1_word_2,near,trousers,Clear_After,pilot,hanna,2012-05-14,,English,,,,2,1,female
XhQ1e,12,7,mal_plain,fem_sws,1,lolly,horse,lolly,lolly,horse,mal_plain_fem_sws,critical,3/9/2017,10:33,left,true,3049,2,1_2_1_1,word_1_word_2,far,lolly,Clear_After,pilot,hanna,2012-05-14,,English,,,,2,1,female
XhQ1e,12,7,mal_plain,fem_sws,2,lolly,horse,lolly,lolly,horse,mal_plain_fem_sws,critical,3/9/2017,10:33,left,false,2489,2,1_2_1_1,word_1_word_2,far,lolly,Clear_After,pilot,hanna,2012-05-14,,English,,,,2,1,female
XhQ1e,12,7,mal_plain,fem_sws,3,lolly,horse,lolly,lolly,horse,mal_plain_fem_sws,critical,3/9/2017,10:33,right,false,1927,2,1_2_1_1,word_1_word_2,far,horse,Clear_After,pilot,hanna,2012-05-14,,English,,,,2,1,female
XhQ1e,13,14,mal_plain,fem_sws,1,shoes,cheese,cheese,cheese,shoes,mal_plain_fem_sws,critical,3/9/2017,10:33,left,false,2249,2,2_1_1_1,word_1_word_2,near,cheese,Clear_After,pilot,hanna,2012-05-14,,English,,,,2,1,female
