subject_id,trial_number,trial_id,plain,sws,instruction_number,sound1_item,sound2_item,sound3_item,left_image,right_image,sound_gender,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,pic_position,distance,chosen_pic,test_lang,testing_loc,tester,date_of_birth,ethnicity,native_lang,other_langs,parental_occ,dev_info,birth_order,num_siblings,gender
b4mPN,1,0,fem_plain,fem_sws,1,glasses,fireman,glasses,glasses,fireman,fem_plain_fem_sws,training,2/16/2017,10:15,left,true,3686,4,1_2_1_1,word_2_word_1,far,glasses,Clear_Before,preschool,hanna,2012-03-16,,Estonian,English,,,2,1,male
b4mPN,1,0,fem_plain,fem_sws,2,glasses,fireman,glasses,glasses,fireman,fem_plain_fem_sws,training,2/16/2017,10:15,right,true,2217,2,1_2_1_1,word_2_word_1,far,fireman,Clear_Before,preschool,hanna,2012-03-16,,Estonian,English,,,2,1,male
b4mPN,1,0,fem_plain,fem_sws,3,glasses,fireman,glasses,glasses,fireman,fem_plain_fem_sws,training,2/16/2017,10:15,left,true,4582,6,1_2_1_1,word_2_word_1,far,glasses,Clear_Before,preschool,hanna,2012-03-16,,Estonian,English,,,2,1,male
b4mPN,2,21,fem_plain,fem_sws,1,sheep,frog,frog,sheep,frog,fem_plain_fem_sws,critical,2/16/2017,10:15,left,true,2521,2,1_2_2_1,word_2_word_1,near,sheep,Clear_Before,preschool,hanna,2012-03-16,,Estonian,English,,,2,1,male
b4mPN,2,21,fem_plain,fem_sws,2,sheep,frog,frog,sheep,frog,fem_plain_fem_sws,critical,2/16/2017,10:15,right,true,2685,2,1_2_2_1,word_2_word_1,near,frog,Clear_Before,preschool,hanna,2012-03-16,,Estonian,English,,,2,1,male
b4mPN,2,21,fem_plain,fem_sws,3,sheep,frog,frog,sheep,frog,fem_plain_fem_sws,critical,2/16/2017,10:15,right,true,4509,2,1_2_2_1,word_2_word_1,near,frog,Clear_Before,preschool,hanna,2012-03-16,,Estonian,English,,,2,1,male
b4mPN,3,20,fem_plain,fem_sws,1,rabbit,jumper,rabbit,rabbit,jumper,fem_plain_fem_sws,critical,2/16/2017,10:15,left,true,2449,2,2_1_2_1,word_2_word_1,far,rabbit,Clear_Before,preschool,hanna,2012-03-16,,Estonian,English,,,2,1,male
b4mPN,3,20,fem_plain,fem_sws,2,rabbit,jumper,rabbit,rabbit,jumper,fem_plain_fem_sws,critical,2/16/2017,10:15,right,true,2509,2,2_1_2_1,word_2_word_1,far,jumper,Clear_Before,preschool,hanna,2012-03-16,,Estonian,English,,,2,1,male
b4mPN,3,20,fem_plain,fem_sws,3,rabbit,jumper,rabbit,rabbit,jumper,fem_plain_fem_sws,critical,2/16/2017,10:15,left,true,2919,1,2_1_2_1,word_2_word_1,far,rabbit,Clear_Before,preschool,hanna,2012-03-16,,Estonian,English,,,2,1,male
b4mPN,4,6,fem_plain,fem_sws,1,peas,bird,bird,bird,peas,fem_plain_fem_sws,critical,2/16/2017,10:15,right,true,3079,2,2_1_1_1,word_1_word_2,near,peas,Clear_Before,preschool,hanna,2012-03-16,,Estonian,English,,,2,1,male
b4mPN,4,6,fem_plain,fem_sws,2,peas,bird,bird,bird,peas,fem_plain_fem_sws,critical,2/16/2017,10:15,left,true,2895,1,2_1_1_1,word_1_word_2,near,bird,Clear_Before,preschool,hanna,2012-03-16,,Estonian,English,,,2,1,male
