subject_id,trial_number,trial_id,plain,sws,instruction_number,sound1_item,sound2_item,sound3_item,left_image,right_image,sound_gender,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,pic_position,distance,chosen_pic,test_lang,testing_loc,tester,date_of_birth,ethnicity,native_lang,other_langs,parental_occ,dev_info,birth_order,num_siblings,gender
e6ael,1,0,mal_plain,fem_sws,1,fireman,glasses,glasses,fireman,glasses,mal_plain_fem_sws,training,3/20/2017,10:48,right,false,3553,28,1_2_2_1,word_1_word_2,near,glasses,Clear_After,preschool,hanna,2014-12-18,,English,,,,,,female
e6ael,1,0,mal_plain,fem_sws,2,fireman,glasses,glasses,fireman,glasses,mal_plain_fem_sws,training,3/20/2017,10:48,right,true,5121,27,1_2_2_1,word_1_word_2,near,glasses,Clear_After,preschool,hanna,2014-12-18,,English,,,,,,female
e6ael,1,0,mal_plain,fem_sws,3,fireman,glasses,glasses,fireman,glasses,mal_plain_fem_sws,training,3/20/2017,10:48,right,true,9657,8,1_2_2_1,word_1_word_2,near,glasses,Clear_After,preschool,hanna,2014-12-18,,English,,,,,,female
e6ael,2,23,mal_plain,fem_sws,1,teddy_bear,bath,bath,bath,teddy_bear,mal_plain_fem_sws,critical,3/20/2017,10:48,left,false,559,2,2_1_1_1,word_1_word_2,near,bath,Clear_After,preschool,hanna,2014-12-18,,English,,,,,,female
e6ael,2,23,mal_plain,fem_sws,2,teddy_bear,bath,bath,bath,teddy_bear,mal_plain_fem_sws,critical,3/20/2017,10:48,left,true,4018,8,2_1_1_1,word_1_word_2,near,bath,Clear_After,preschool,hanna,2014-12-18,,English,,,,,,female
e6ael,2,23,mal_plain,fem_sws,3,teddy_bear,bath,bath,bath,teddy_bear,mal_plain_fem_sws,critical,3/20/2017,10:48,left,true,4438,3,2_1_1_1,word_1_word_2,near,bath,Clear_After,preschool,hanna,2014-12-18,,English,,,,,,female
e6ael,3,19,mal_plain,fem_sws,1,building_blocks,santa,building_blocks,santa,building_blocks,mal_plain_fem_sws,critical,3/20/2017,10:48,left,false,3968,2,2_1_2_1,word_1_word_2,far,santa,Clear_After,preschool,hanna,2014-12-18,,English,,,,,,female
e6ael,3,19,mal_plain,fem_sws,2,building_blocks,santa,building_blocks,santa,building_blocks,mal_plain_fem_sws,critical,3/20/2017,10:48,left,true,14913,4,2_1_2_1,word_1_word_2,far,santa,Clear_After,preschool,hanna,2014-12-18,,English,,,,,,female
e6ael,3,19,mal_plain,fem_sws,3,building_blocks,santa,building_blocks,santa,building_blocks,mal_plain_fem_sws,critical,3/20/2017,10:48,left,false,14534,4,2_1_2_1,word_1_word_2,far,santa,Clear_After,preschool,hanna,2014-12-18,,English,,,,,,female
e6ael,4,7,mal_plain,fem_sws,1,horse,lolly,lolly,lolly,horse,mal_plain_fem_sws,critical,3/20/2017,10:48,left,false,3068,2,2_1_1_1,word_1_word_2,near,lolly,Clear_After,preschool,hanna,2014-12-18,,English,,,,,,female
