subject_id,trial_number,trial_id,plain,sws,instruction_number,sound1_item,sound2_item,sound3_item,left_image,right_image,sound_gender,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,pic_position,distance,chosen_pic,test_lang,testing_loc,tester,date_of_birth,ethnicity,native_lang,other_langs,parental_occ,dev_info,birth_order,num_siblings,gender
fMB3U,1,0,mal_plain,mal_sws,1,fireman,glasses,fireman,glasses,fireman,mal_plain_mal_sws,training,3/22/2017,15:02,right,true,5475,4,2_1_2_1,word_2_word_1,far,fireman,Clear_After,preschool,hanna,2012-06-14,,English,,,,,,male
fMB3U,1,0,mal_plain,mal_sws,2,fireman,glasses,fireman,glasses,fireman,mal_plain_mal_sws,training,3/22/2017,15:02,right,false,2734,2,2_1_2_1,word_2_word_1,far,fireman,Clear_After,preschool,hanna,2012-06-14,,English,,,,,,male
fMB3U,1,0,mal_plain,mal_sws,3,fireman,glasses,fireman,glasses,fireman,mal_plain_mal_sws,training,3/22/2017,15:02,right,true,1261,1,2_1_2_1,word_2_word_1,far,fireman,Clear_After,preschool,hanna,2012-06-14,,English,,,,,,male
fMB3U,2,13,mal_plain,mal_sws,1,toothbrush,airplane,airplane,toothbrush,airplane,mal_plain_mal_sws,critical,3/22/2017,15:02,right,false,4732,4,1_2_2_1,word_1_word_2,near,airplane,Clear_After,preschool,hanna,2012-06-14,,English,,,,,,male
fMB3U,2,13,mal_plain,mal_sws,2,toothbrush,airplane,airplane,toothbrush,airplane,mal_plain_mal_sws,critical,3/22/2017,15:02,left,false,2383,2,1_2_2_1,word_1_word_2,near,toothbrush,Clear_After,preschool,hanna,2012-06-14,,English,,,,,,male
fMB3U,2,13,mal_plain,mal_sws,3,toothbrush,airplane,airplane,toothbrush,airplane,mal_plain_mal_sws,critical,3/22/2017,15:02,right,true,2096,1,1_2_2_1,word_1_word_2,near,airplane,Clear_After,preschool,hanna,2012-06-14,,English,,,,,,male
fMB3U,3,18,mal_plain,mal_sws,1,raspberry,ball,ball,raspberry,ball,mal_plain_mal_sws,critical,3/22/2017,15:02,right,false,9051,2,2_1_1_1,word_2_word_1,near,ball,Clear_After,preschool,hanna,2012-06-14,,English,,,,,,male
fMB3U,3,18,mal_plain,mal_sws,2,raspberry,ball,ball,raspberry,ball,mal_plain_mal_sws,critical,3/22/2017,15:02,left,false,3210,2,2_1_1_1,word_2_word_1,near,raspberry,Clear_After,preschool,hanna,2012-06-14,,English,,,,,,male
fMB3U,3,18,mal_plain,mal_sws,3,raspberry,ball,ball,raspberry,ball,mal_plain_mal_sws,critical,3/22/2017,15:02,right,true,2382,2,2_1_1_1,word_2_word_1,near,ball,Clear_After,preschool,hanna,2012-06-14,,English,,,,,,male
fMB3U,4,24,mal_plain,mal_sws,1,fish,sink,sink,fish,sink,mal_plain_mal_sws,critical,3/22/2017,15:02,left,true,7843,2,2_1_1_1,word_2_word_1,near,fish,Clear_After,preschool,hanna,2012-06-14,,English,,,,,,male
fMB3U,4,24,mal_plain,mal_sws,2,fish,sink,sink,fish,sink,mal_plain_mal_sws,critical,3/22/2017,15:02,left,false,2382,1,2_1_1_1,word_2_word_1,near,fish,Clear_After,preschool,hanna,2012-06-14,,English,,,,,,male
