subject_id,trial_number,trial_id,plain,sws,instruction_number,sound1_item,sound2_item,sound3_item,left_image,right_image,sound_gender,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,pic_position,distance,chosen_pic,test_lang,testing_loc,tester,date_of_birth,ethnicity,native_lang,other_langs,parental_occ,dev_info,birth_order,num_siblings,gender
nXTg2,1,0,fem_plain,fem_sws,1,fireman,glasses,fireman,glasses,fireman,fem_plain_fem_sws,training,3/22/2017,15:42,right,true,22473,2,1_2_1_1,word_2_word_1,far,fireman,Clear_Before,preschool,hanna,2012-09-09,,English,,,,,,male
nXTg2,1,0,fem_plain,fem_sws,2,fireman,glasses,fireman,glasses,fireman,fem_plain_fem_sws,training,3/22/2017,15:42,left,true,2189,2,1_2_1_1,word_2_word_1,far,glasses,Clear_Before,preschool,hanna,2012-09-09,,English,,,,,,male
nXTg2,1,0,fem_plain,fem_sws,3,fireman,glasses,fireman,glasses,fireman,fem_plain_fem_sws,training,3/22/2017,15:42,right,true,5025,4,1_2_1_1,word_2_word_1,far,fireman,Clear_Before,preschool,hanna,2012-09-09,,English,,,,,,male
nXTg2,2,21,fem_plain,fem_sws,1,sheep,frog,frog,frog,sheep,fem_plain_fem_sws,critical,3/22/2017,15:42,right,true,2353,2,1_2_2_1,word_1_word_2,near,sheep,Clear_Before,preschool,hanna,2012-09-09,,English,,,,,,male
nXTg2,2,21,fem_plain,fem_sws,2,sheep,frog,frog,frog,sheep,fem_plain_fem_sws,critical,3/22/2017,15:42,left,true,3244,1,1_2_2_1,word_1_word_2,near,frog,Clear_Before,preschool,hanna,2012-09-09,,English,,,,,,male
nXTg2,2,21,fem_plain,fem_sws,3,sheep,frog,frog,frog,sheep,fem_plain_fem_sws,critical,3/22/2017,15:42,left,true,4517,2,1_2_2_1,word_1_word_2,near,frog,Clear_Before,preschool,hanna,2012-09-09,,English,,,,,,male
nXTg2,3,24,fem_plain,fem_sws,1,fish,sink,sink,sink,fish,fem_plain_fem_sws,critical,3/22/2017,15:42,right,true,2455,2,2_1_1_1,word_1_word_2,near,fish,Clear_Before,preschool,hanna,2012-09-09,,English,,,,,,male
nXTg2,3,24,fem_plain,fem_sws,2,fish,sink,sink,sink,fish,fem_plain_fem_sws,critical,3/22/2017,15:42,left,true,2696,1,2_1_1_1,word_1_word_2,near,sink,Clear_Before,preschool,hanna,2012-09-09,,English,,,,,,male
nXTg2,3,24,fem_plain,fem_sws,3,fish,sink,sink,sink,fish,fem_plain_fem_sws,critical,3/22/2017,15:42,left,true,3798,1,2_1_1_1,word_1_word_2,near,sink,Clear_Before,preschool,hanna,2012-09-09,,English,,,,,,male
nXTg2,4,18,fem_plain,fem_sws,1,ball,raspberry,raspberry,raspberry,ball,fem_plain_fem_sws,critical,3/22/2017,15:42,right,true,2922,2,2_1_1_1,word_2_word_1,near,ball,Clear_Before,preschool,hanna,2012-09-09,,English,,,,,,male
nXTg2,4,18,fem_plain,fem_sws,2,ball,raspberry,raspberry,raspberry,ball,fem_plain_fem_sws,critical,3/22/2017,15:42,left,true,2886,2,2_1_1_1,word_2_word_1,near,raspberry,Clear_Before,preschool,hanna,2012-09-09,,English,,,,,,male
nXTg2,4,18,fem_plain,fem_sws,3,ball,raspberry,raspberry,raspberry,ball,fem_plain_fem_sws,critical,3/22/2017,15:42,left,true,3036,1,2_1_1_1,word_2_word_1,near,raspberry,Clear_Before,preschool,hanna,2012-09-09,,English,,,,,,male
nXTg2,5,9,fem_plain,fem_sws,1,pizza,window,window,pizza,window,fem_plain_fem_sws,critical,3/22/2017,15:42,left,true,3047,2,1_2_2_1,word_1_word_2,near,pizza,Clear_Before,preschool,hanna,2012-09-09,,English,,,,,,male
nXTg2,5,9,fem_plain,fem_sws,2,pizza,window,window,pizza,window,fem_plain_fem_sws,critical,3/22/2017,15:42,right,true,2370,1,1_2_2_1,word_1_word_2,near,window,Clear_Before,preschool,hanna,2012-09-09,,English,,,,,,male
nXTg2,5,9,fem_plain,fem_sws,3,pizza,window,window,pizza,window,fem_plain_fem_sws,critical,3/22/2017,15:42,right,true,2524,1,1_2_2_1,word_1_word_2,near,window,Clear_Before,preschool,hanna,2012-09-09,,English,,,,,,male
nXTg2,6,5,fem_plain,fem_sws,1,car,orange,car,orange,car,fem_plain_fem_sws,critical,3/22/2017,15:42,right,true,2367,4,2_1_2_1,word_1_word_2,far,car,Clear_Before,preschool,hanna,2012-09-09,,English,,,,,,male
nXTg2,6,5,fem_plain,fem_sws,2,car,orange,car,orange,car,fem_plain_fem_sws,critical,3/22/2017,15:42,left,true,2836,2,2_1_2_1,word_1_word_2,far,orange,Clear_Before,preschool,hanna,2012-09-09,,English,,,,,,male
nXTg2,6,5,fem_plain,fem_sws,3,car,orange,car,orange,car,fem_plain_fem_sws,critical,3/22/2017,15:42,left,false,3951,1,2_1_2_1,word_1_word_2,far,orange,Clear_Before,preschool,hanna,2012-09-09,,English,,,,,,male
nXTg2,7,14,fem_plain,fem_sws,1,shoes,cheese,cheese,cheese,shoes,fem_plain_fem_sws,critical,3/22/2017,15:42,right,true,2717,2,1_2_2_1,word_1_word_2,near,shoes,Clear_Before,preschool,hanna,2012-09-09,,English,,,,,,male
