subject_id,trial_number,trial_id,plain,sws,instruction_number,sound1_item,sound2_item,sound3_item,left_image,right_image,sound_gender,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,pic_position,distance,chosen_pic,test_lang,testing_loc,tester,date_of_birth,ethnicity,native_lang,other_langs,parental_occ,dev_info,birth_order,num_siblings,gender
p3slS,1,0,fem_plain,fem_sws,1,fireman,glasses,glasses,glasses,fireman,fem_plain_fem_sws,training,3/9/2017,15:16,left,false,5504,6,1_2_2_1,word_2_word_1,near,glasses,Clear_After,preschool,hanna,2012-11-30,,English,,,,2,2,female
p3slS,1,0,fem_plain,fem_sws,2,fireman,glasses,glasses,glasses,fireman,fem_plain_fem_sws,training,3/9/2017,15:16,right,false,2732,4,1_2_2_1,word_2_word_1,near,fireman,Clear_After,preschool,hanna,2012-11-30,,English,,,,2,2,female
p3slS,1,0,fem_plain,fem_sws,3,fireman,glasses,glasses,glasses,fireman,fem_plain_fem_sws,training,3/9/2017,15:16,left,true,3010,1,1_2_2_1,word_2_word_1,near,glasses,Clear_After,preschool,hanna,2012-11-30,,English,,,,2,2,female
p3slS,2,10,fem_plain,fem_sws,1,pig,tshirt,pig,tshirt,pig,fem_plain_fem_sws,critical,3/9/2017,15:16,right,true,6407,4,1_2_1_1,word_2_word_1,far,pig,Clear_After,preschool,hanna,2012-11-30,,English,,,,2,2,female
p3slS,2,10,fem_plain,fem_sws,2,pig,tshirt,pig,tshirt,pig,fem_plain_fem_sws,critical,3/9/2017,15:16,right,false,3677,1,1_2_1_1,word_2_word_1,far,pig,Clear_After,preschool,hanna,2012-11-30,,English,,,,2,2,female
p3slS,2,10,fem_plain,fem_sws,3,pig,tshirt,pig,tshirt,pig,fem_plain_fem_sws,critical,3/9/2017,15:16,left,false,3395,1,1_2_1_1,word_2_word_1,far,tshirt,Clear_After,preschool,hanna,2012-11-30,,English,,,,2,2,female
p3slS,3,17,fem_plain,fem_sws,1,ambulance,cake,ambulance,cake,ambulance,fem_plain_fem_sws,critical,3/9/2017,15:16,right,true,7154,4,1_2_1_1,word_1_word_2,far,ambulance,Clear_After,preschool,hanna,2012-11-30,,English,,,,2,2,female
p3slS,3,17,fem_plain,fem_sws,2,ambulance,cake,ambulance,cake,ambulance,fem_plain_fem_sws,critical,3/9/2017,15:16,right,false,2802,2,1_2_1_1,word_1_word_2,far,ambulance,Clear_After,preschool,hanna,2012-11-30,,English,,,,2,2,female
p3slS,3,17,fem_plain,fem_sws,3,ambulance,cake,ambulance,cake,ambulance,fem_plain_fem_sws,critical,3/9/2017,15:16,left,false,2547,1,1_2_1_1,word_1_word_2,far,cake,Clear_After,preschool,hanna,2012-11-30,,English,,,,2,2,female
p3slS,4,4,fem_plain,fem_sws,1,strawberry,coat,strawberry,strawberry,coat,fem_plain_fem_sws,critical,3/9/2017,15:16,right,false,3464,2,2_1_2_1,word_2_word_1,far,coat,Clear_After,preschool,hanna,2012-11-30,,English,,,,2,2,female
p3slS,4,4,fem_plain,fem_sws,2,strawberry,coat,strawberry,strawberry,coat,fem_plain_fem_sws,critical,3/9/2017,15:16,left,false,2212,1,2_1_2_1,word_2_word_1,far,strawberry,Clear_After,preschool,hanna,2012-11-30,,English,,,,2,2,female
p3slS,4,4,fem_plain,fem_sws,3,strawberry,coat,strawberry,strawberry,coat,fem_plain_fem_sws,critical,3/9/2017,15:16,right,false,2465,1,2_1_2_1,word_2_word_1,far,coat,Clear_After,preschool,hanna,2012-11-30,,English,,,,2,2,female
p3slS,5,15,fem_plain,fem_sws,1,slide,pencil,slide,pencil,slide,fem_plain_fem_sws,critical,3/9/2017,15:16,right,true,6140,2,2_1_2_1,word_2_word_1,far,slide,Clear_After,preschool,hanna,2012-11-30,,English,,,,2,2,female
p3slS,5,15,fem_plain,fem_sws,2,slide,pencil,slide,pencil,slide,fem_plain_fem_sws,critical,3/9/2017,15:16,right,false,4557,1,2_1_2_1,word_2_word_1,far,slide,Clear_After,preschool,hanna,2012-11-30,,English,,,,2,2,female
p3slS,5,15,fem_plain,fem_sws,3,slide,pencil,slide,pencil,slide,fem_plain_fem_sws,critical,3/9/2017,15:16,left,false,2170,1,2_1_2_1,word_2_word_1,far,pencil,Clear_After,preschool,hanna,2012-11-30,,English,,,,2,2,female
p3slS,6,11,fem_plain,fem_sws,1,lorry,book,book,book,lorry,fem_plain_fem_sws,critical,3/9/2017,15:16,right,true,3106,4,2_1_1_1,word_1_word_2,near,lorry,Clear_After,preschool,hanna,2012-11-30,,English,,,,2,2,female
p3slS,6,11,fem_plain,fem_sws,2,lorry,book,book,book,lorry,fem_plain_fem_sws,critical,3/9/2017,15:16,right,false,2763,2,2_1_1_1,word_1_word_2,near,lorry,Clear_After,preschool,hanna,2012-11-30,,English,,,,2,2,female
p3slS,6,11,fem_plain,fem_sws,3,lorry,book,book,book,lorry,fem_plain_fem_sws,critical,3/9/2017,15:16,left,true,2171,2,2_1_1_1,word_1_word_2,near,book,Clear_After,preschool,hanna,2012-11-30,,English,,,,2,2,female
p3slS,7,20,fem_plain,fem_sws,1,rabbit,jumper,rabbit,rabbit,jumper,fem_plain_fem_sws,critical,3/9/2017,15:16,right,false,5430,2,2_1_2_1,word_2_word_1,far,jumper,Clear_After,preschool,hanna,2012-11-30,,English,,,,2,2,female
p3slS,7,20,fem_plain,fem_sws,2,rabbit,jumper,rabbit,rabbit,jumper,fem_plain_fem_sws,critical,3/9/2017,15:16,left,false,2655,1,2_1_2_1,word_2_word_1,far,rabbit,Clear_After,preschool,hanna,2012-11-30,,English,,,,2,2,female
p3slS,7,20,fem_plain,fem_sws,3,rabbit,jumper,rabbit,rabbit,jumper,fem_plain_fem_sws,critical,3/9/2017,15:16,right,false,2128,1,2_1_2_1,word_2_word_1,far,jumper,Clear_After,preschool,hanna,2012-11-30,,English,,,,2,2,female
p3slS,8,5,fem_plain,fem_sws,1,orange,car,orange,orange,car,fem_plain_fem_sws,critical,3/9/2017,15:16,right,false,3958,2,1_2_1_1,word_1_word_2,far,car,Clear_After,preschool,hanna,2012-11-30,,English,,,,2,2,female
p3slS,8,5,fem_plain,fem_sws,2,orange,car,orange,orange,car,fem_plain_fem_sws,critical,3/9/2017,15:16,left,false,2805,1,1_2_1_1,word_1_word_2,far,orange,Clear_After,preschool,hanna,2012-11-30,,English,,,,2,2,female
p3slS,8,5,fem_plain,fem_sws,3,orange,car,orange,orange,car,fem_plain_fem_sws,critical,3/9/2017,15:16,right,false,2119,1,1_2_1_1,word_1_word_2,far,car,Clear_After,preschool,hanna,2012-11-30,,English,,,,2,2,female
p3slS,9,7,fem_plain,fem_sws,1,lolly,horse,horse,lolly,horse,fem_plain_fem_sws,critical,3/9/2017,15:16,left,true,2353,2,1_2_2_1,word_1_word_2,near,lolly,Clear_After,preschool,hanna,2012-11-30,,English,,,,2,2,female
p3slS,9,7,fem_plain,fem_sws,2,lolly,horse,horse,lolly,horse,fem_plain_fem_sws,critical,3/9/2017,15:16,left,false,4055,1,1_2_2_1,word_1_word_2,near,lolly,Clear_After,preschool,hanna,2012-11-30,,English,,,,2,2,female
p3slS,9,7,fem_plain,fem_sws,3,lolly,horse,horse,lolly,horse,fem_plain_fem_sws,critical,3/9/2017,15:16,right,true,1957,1,1_2_2_1,word_1_word_2,near,horse,Clear_After,preschool,hanna,2012-11-30,,English,,,,2,2,female
p3slS,10,23,fem_plain,fem_sws,1,bath,teddy_bear,bath,teddy_bear,bath,fem_plain_fem_sws,critical,3/9/2017,15:16,right,true,3768,2,1_2_1_1,word_2_word_1,far,bath,Clear_After,preschool,hanna,2012-11-30,,English,,,,2,2,female
p3slS,10,23,fem_plain,fem_sws,2,bath,teddy_bear,bath,teddy_bear,bath,fem_plain_fem_sws,critical,3/9/2017,15:16,right,false,3797,1,1_2_1_1,word_2_word_1,far,bath,Clear_After,preschool,hanna,2012-11-30,,English,,,,2,2,female
p3slS,10,23,fem_plain,fem_sws,3,bath,teddy_bear,bath,teddy_bear,bath,fem_plain_fem_sws,critical,3/9/2017,15:16,left,false,3147,1,1_2_1_1,word_2_word_1,far,teddy_bear,Clear_After,preschool,hanna,2012-11-30,,English,,,,2,2,female
p3slS,11,13,fem_plain,fem_sws,1,toothbrush,airplane,airplane,airplane,toothbrush,fem_plain_fem_sws,critical,3/9/2017,15:16,left,false,3369,4,2_1_1_1,word_2_word_1,near,airplane,Clear_After,preschool,hanna,2012-11-30,,English,,,,2,2,female
p3slS,11,13,fem_plain,fem_sws,2,toothbrush,airplane,airplane,airplane,toothbrush,fem_plain_fem_sws,critical,3/9/2017,15:16,right,false,2115,2,2_1_1_1,word_2_word_1,near,toothbrush,Clear_After,preschool,hanna,2012-11-30,,English,,,,2,2,female
p3slS,11,13,fem_plain,fem_sws,3,toothbrush,airplane,airplane,airplane,toothbrush,fem_plain_fem_sws,critical,3/9/2017,15:16,left,true,2298,1,2_1_1_1,word_2_word_1,near,airplane,Clear_After,preschool,hanna,2012-11-30,,English,,,,2,2,female
p3slS,12,22,fem_plain,fem_sws,1,bike,dog,dog,dog,bike,fem_plain_fem_sws,critical,3/9/2017,15:16,right,true,3284,2,1_2_2_1,word_2_word_1,near,bike,Clear_After,preschool,hanna,2012-11-30,,English,,,,2,2,female
p3slS,12,22,fem_plain,fem_sws,2,bike,dog,dog,dog,bike,fem_plain_fem_sws,critical,3/9/2017,15:16,right,false,2786,1,1_2_2_1,word_2_word_1,near,bike,Clear_After,preschool,hanna,2012-11-30,,English,,,,2,2,female
p3slS,12,22,fem_plain,fem_sws,3,bike,dog,dog,dog,bike,fem_plain_fem_sws,critical,3/9/2017,15:16,left,true,2052,2,1_2_2_1,word_2_word_1,near,dog,Clear_After,preschool,hanna,2012-11-30,,English,,,,2,2,female
p3slS,13,6,fem_plain,fem_sws,1,bird,peas,bird,peas,bird,fem_plain_fem_sws,critical,3/9/2017,15:16,right,true,3677,2,2_1_2_1,word_2_word_1,far,bird,Clear_After,preschool,hanna,2012-11-30,,English,,,,2,2,female
p3slS,13,6,fem_plain,fem_sws,2,bird,peas,bird,peas,bird,fem_plain_fem_sws,critical,3/9/2017,15:16,right,false,2666,1,2_1_2_1,word_2_word_1,far,bird,Clear_After,preschool,hanna,2012-11-30,,English,,,,2,2,female
p3slS,13,6,fem_plain,fem_sws,3,bird,peas,bird,peas,bird,fem_plain_fem_sws,critical,3/9/2017,15:16,left,false,2149,1,2_1_2_1,word_2_word_1,far,peas,Clear_After,preschool,hanna,2012-11-30,,English,,,,2,2,female
p3slS,14,16,fem_plain,fem_sws,1,banana,paintbrush,paintbrush,paintbrush,banana,fem_plain_fem_sws,critical,3/9/2017,15:16,right,true,4714,4,2_1_1_1,word_1_word_2,near,banana,Clear_After,preschool,hanna,2012-11-30,,English,,,,2,2,female
p3slS,14,16,fem_plain,fem_sws,2,banana,paintbrush,paintbrush,paintbrush,banana,fem_plain_fem_sws,critical,3/9/2017,15:16,right,false,2997,1,2_1_1_1,word_1_word_2,near,banana,Clear_After,preschool,hanna,2012-11-30,,English,,,,2,2,female
p3slS,14,16,fem_plain,fem_sws,3,banana,paintbrush,paintbrush,paintbrush,banana,fem_plain_fem_sws,critical,3/9/2017,15:16,left,true,3314,1,2_1_1_1,word_1_word_2,near,paintbrush,Clear_After,preschool,hanna,2012-11-30,,English,,,,2,2,female
p3slS,15,8,fem_plain,fem_sws,1,fire_engine,wellyboots,wellyboots,wellyboots,fire_engine,fem_plain_fem_sws,critical,3/9/2017,15:16,left,false,3943,2,1_2_2_1,word_1_word_2,near,wellyboots,Clear_After,preschool,hanna,2012-11-30,,English,,,,2,2,female
p3slS,15,8,fem_plain,fem_sws,2,fire_engine,wellyboots,wellyboots,wellyboots,fire_engine,fem_plain_fem_sws,critical,3/9/2017,15:16,right,false,3895,2,1_2_2_1,word_1_word_2,near,fire_engine,Clear_After,preschool,hanna,2012-11-30,,English,,,,2,2,female
p3slS,15,8,fem_plain,fem_sws,3,fire_engine,wellyboots,wellyboots,wellyboots,fire_engine,fem_plain_fem_sws,critical,3/9/2017,15:16,left,true,2845,2,1_2_2_1,word_1_word_2,near,wellyboots,Clear_After,preschool,hanna,2012-11-30,,English,,,,2,2,female
p3slS,16,9,fem_plain,fem_sws,1,window,pizza,pizza,pizza,window,fem_plain_fem_sws,critical,3/9/2017,15:16,right,true,4638,4,2_1_1_1,word_1_word_2,near,window,Clear_After,preschool,hanna,2012-11-30,,English,,,,2,2,female
p3slS,16,9,fem_plain,fem_sws,2,window,pizza,pizza,pizza,window,fem_plain_fem_sws,critical,3/9/2017,15:16,right,false,2222,2,2_1_1_1,word_1_word_2,near,window,Clear_After,preschool,hanna,2012-11-30,,English,,,,2,2,female
p3slS,16,9,fem_plain,fem_sws,3,window,pizza,pizza,pizza,window,fem_plain_fem_sws,critical,3/9/2017,15:16,left,true,2227,1,2_1_1_1,word_1_word_2,near,pizza,Clear_After,preschool,hanna,2012-11-30,,English,,,,2,2,female
p3slS,17,12,fem_plain,fem_sws,1,yoghurt,foot,yoghurt,foot,yoghurt,fem_plain_fem_sws,critical,3/9/2017,15:16,right,true,2691,4,2_1_2_1,word_1_word_2,far,yoghurt,Clear_After,preschool,hanna,2012-11-30,,English,,,,2,2,female
p3slS,17,12,fem_plain,fem_sws,2,yoghurt,foot,yoghurt,foot,yoghurt,fem_plain_fem_sws,critical,3/9/2017,15:16,right,false,2733,1,2_1_2_1,word_1_word_2,far,yoghurt,Clear_After,preschool,hanna,2012-11-30,,English,,,,2,2,female
p3slS,17,12,fem_plain,fem_sws,3,yoghurt,foot,yoghurt,foot,yoghurt,fem_plain_fem_sws,critical,3/9/2017,15:16,left,false,2098,1,2_1_2_1,word_1_word_2,far,foot,Clear_After,preschool,hanna,2012-11-30,,English,,,,2,2,female
p3slS,18,19,fem_plain,fem_sws,1,building_blocks,santa,santa,santa,building_blocks,fem_plain_fem_sws,critical,3/9/2017,15:16,right,true,4769,2,1_2_2_1,word_1_word_2,near,building_blocks,Clear_After,preschool,hanna,2012-11-30,,English,,,,2,2,female
p3slS,18,19,fem_plain,fem_sws,2,building_blocks,santa,santa,santa,building_blocks,fem_plain_fem_sws,critical,3/9/2017,15:16,right,false,2508,1,1_2_2_1,word_1_word_2,near,building_blocks,Clear_After,preschool,hanna,2012-11-30,,English,,,,2,2,female
p3slS,18,19,fem_plain,fem_sws,3,building_blocks,santa,santa,santa,building_blocks,fem_plain_fem_sws,critical,3/9/2017,15:16,left,true,3092,1,1_2_2_1,word_1_word_2,near,santa,Clear_After,preschool,hanna,2012-11-30,,English,,,,2,2,female
p3slS,19,2,fem_plain,fem_sws,1,bed,chicken,chicken,bed,chicken,fem_plain_fem_sws,critical,3/9/2017,15:16,right,false,3036,2,2_1_1_1,word_1_word_2,near,chicken,Clear_After,preschool,hanna,2012-11-30,,English,,,,2,2,female
