subject_id,trial_number,trial_id,plain,sws,instruction_number,sound1_item,sound2_item,sound3_item,left_image,right_image,sound_gender,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,pic_position,distance,chosen_pic,test_lang,testing_loc,tester,date_of_birth,ethnicity,native_lang,other_langs,parental_occ,dev_info,birth_order,num_siblings,gender
qc1i7,1,0,mal_plain,mal_sws,1,glasses,fireman,fireman,glasses,fireman,mal_plain_mal_sws,training,3/6/2017,14:12,right,false,268,8,1_2_2_1,word_2_word_1,near,fireman,Clear_After,preschool,hanna,2013-08-26,,English,,,,,,male
qc1i7,1,0,mal_plain,mal_sws,2,glasses,fireman,fireman,glasses,fireman,mal_plain_mal_sws,training,3/6/2017,14:12,left,false,2854,2,1_2_2_1,word_2_word_1,near,glasses,Clear_After,preschool,hanna,2013-08-26,,English,,,,,,male
qc1i7,1,0,mal_plain,mal_sws,3,glasses,fireman,fireman,glasses,fireman,mal_plain_mal_sws,training,3/6/2017,14:12,right,true,2044,2,1_2_2_1,word_2_word_1,near,fireman,Clear_After,preschool,hanna,2013-08-26,,English,,,,,,male
qc1i7,2,14,mal_plain,mal_sws,1,shoes,cheese,shoes,cheese,shoes,mal_plain_mal_sws,critical,3/6/2017,14:12,right,true,7950,4,1_2_1_1,word_1_word_2,far,shoes,Clear_After,preschool,hanna,2013-08-26,,English,,,,,,male
qc1i7,2,14,mal_plain,mal_sws,2,shoes,cheese,shoes,cheese,shoes,mal_plain_mal_sws,critical,3/6/2017,14:12,right,false,2840,2,1_2_1_1,word_1_word_2,far,shoes,Clear_After,preschool,hanna,2013-08-26,,English,,,,,,male
qc1i7,2,14,mal_plain,mal_sws,3,shoes,cheese,shoes,cheese,shoes,mal_plain_mal_sws,critical,3/6/2017,14:12,left,false,3101,1,1_2_1_1,word_1_word_2,far,cheese,Clear_After,preschool,hanna,2013-08-26,,English,,,,,,male
qc1i7,3,1,mal_plain,mal_sws,1,baby,spoon,spoon,spoon,baby,mal_plain_mal_sws,critical,3/6/2017,14:12,right,true,7222,4,1_2_2_1,word_1_word_2,near,baby,Clear_After,preschool,hanna,2013-08-26,,English,,,,,,male
qc1i7,3,1,mal_plain,mal_sws,2,baby,spoon,spoon,spoon,baby,mal_plain_mal_sws,critical,3/6/2017,14:12,right,false,2738,1,1_2_2_1,word_1_word_2,near,baby,Clear_After,preschool,hanna,2013-08-26,,English,,,,,,male
qc1i7,3,1,mal_plain,mal_sws,3,baby,spoon,spoon,spoon,baby,mal_plain_mal_sws,critical,3/6/2017,14:12,left,true,1887,2,1_2_2_1,word_1_word_2,near,spoon,Clear_After,preschool,hanna,2013-08-26,,English,,,,,,male
qc1i7,4,20,mal_plain,mal_sws,1,jumper,rabbit,jumper,rabbit,jumper,mal_plain_mal_sws,critical,3/6/2017,14:12,right,true,11192,2,2_1_2_1,word_2_word_1,far,jumper,Clear_After,preschool,hanna,2013-08-26,,English,,,,,,male
qc1i7,4,20,mal_plain,mal_sws,2,jumper,rabbit,jumper,rabbit,jumper,mal_plain_mal_sws,critical,3/6/2017,14:12,right,false,2281,2,2_1_2_1,word_2_word_1,far,jumper,Clear_After,preschool,hanna,2013-08-26,,English,,,,,,male
qc1i7,4,20,mal_plain,mal_sws,3,jumper,rabbit,jumper,rabbit,jumper,mal_plain_mal_sws,critical,3/6/2017,14:12,left,false,1722,1,2_1_2_1,word_2_word_1,far,rabbit,Clear_After,preschool,hanna,2013-08-26,,English,,,,,,male
qc1i7,5,3,mal_plain,mal_sws,1,trousers,nose,trousers,nose,trousers,mal_plain_mal_sws,critical,3/6/2017,14:12,right,true,4472,4,1_2_1_1,word_2_word_1,far,trousers,Clear_After,preschool,hanna,2013-08-26,,English,,,,,,male
qc1i7,5,3,mal_plain,mal_sws,2,trousers,nose,trousers,nose,trousers,mal_plain_mal_sws,critical,3/6/2017,14:12,right,false,2350,2,1_2_1_1,word_2_word_1,far,trousers,Clear_After,preschool,hanna,2013-08-26,,English,,,,,,male
qc1i7,5,3,mal_plain,mal_sws,3,trousers,nose,trousers,nose,trousers,mal_plain_mal_sws,critical,3/6/2017,14:12,left,false,2426,1,1_2_1_1,word_2_word_1,far,nose,Clear_After,preschool,hanna,2013-08-26,,English,,,,,,male
qc1i7,6,11,mal_plain,mal_sws,1,lorry,book,book,lorry,book,mal_plain_mal_sws,critical,3/6/2017,14:12,left,true,3631,2,1_2_2_1,word_2_word_1,near,lorry,Clear_After,preschool,hanna,2013-08-26,,English,,,,,,male
qc1i7,6,11,mal_plain,mal_sws,2,lorry,book,book,lorry,book,mal_plain_mal_sws,critical,3/6/2017,14:12,left,false,2227,1,1_2_2_1,word_2_word_1,near,lorry,Clear_After,preschool,hanna,2013-08-26,,English,,,,,,male
qc1i7,6,11,mal_plain,mal_sws,3,lorry,book,book,lorry,book,mal_plain_mal_sws,critical,3/6/2017,14:12,right,true,1996,2,1_2_2_1,word_2_word_1,near,book,Clear_After,preschool,hanna,2013-08-26,,English,,,,,,male
qc1i7,7,2,mal_plain,mal_sws,1,chicken,bed,bed,chicken,bed,mal_plain_mal_sws,critical,3/6/2017,14:12,right,false,4154,2,1_2_2_1,word_2_word_1,near,bed,Clear_After,preschool,hanna,2013-08-26,,English,,,,,,male
qc1i7,7,2,mal_plain,mal_sws,2,chicken,bed,bed,chicken,bed,mal_plain_mal_sws,critical,3/6/2017,14:12,left,false,3146,2,1_2_2_1,word_2_word_1,near,chicken,Clear_After,preschool,hanna,2013-08-26,,English,,,,,,male
qc1i7,7,2,mal_plain,mal_sws,3,chicken,bed,bed,chicken,bed,mal_plain_mal_sws,critical,3/6/2017,14:12,right,true,2510,1,1_2_2_1,word_2_word_1,near,bed,Clear_After,preschool,hanna,2013-08-26,,English,,,,,,male
qc1i7,8,5,mal_plain,mal_sws,1,car,orange,car,car,orange,mal_plain_mal_sws,critical,3/6/2017,14:12,left,true,3112,2,2_1_2_1,word_2_word_1,far,car,Clear_After,preschool,hanna,2013-08-26,,English,,,,,,male
qc1i7,8,5,mal_plain,mal_sws,2,car,orange,car,car,orange,mal_plain_mal_sws,critical,3/6/2017,14:12,left,false,1758,2,2_1_2_1,word_2_word_1,far,car,Clear_After,preschool,hanna,2013-08-26,,English,,,,,,male
qc1i7,8,5,mal_plain,mal_sws,3,car,orange,car,car,orange,mal_plain_mal_sws,critical,3/6/2017,14:12,right,false,2633,2,2_1_2_1,word_2_word_1,far,orange,Clear_After,preschool,hanna,2013-08-26,,English,,,,,,male
qc1i7,9,13,mal_plain,mal_sws,1,airplane,toothbrush,airplane,toothbrush,airplane,mal_plain_mal_sws,critical,3/6/2017,14:12,right,true,2913,4,2_1_2_1,word_1_word_2,far,airplane,Clear_After,preschool,hanna,2013-08-26,,English,,,,,,male
qc1i7,9,13,mal_plain,mal_sws,2,airplane,toothbrush,airplane,toothbrush,airplane,mal_plain_mal_sws,critical,3/6/2017,14:12,right,false,1954,1,2_1_2_1,word_1_word_2,far,airplane,Clear_After,preschool,hanna,2013-08-26,,English,,,,,,male
qc1i7,9,13,mal_plain,mal_sws,3,airplane,toothbrush,airplane,toothbrush,airplane,mal_plain_mal_sws,critical,3/6/2017,14:12,left,false,3879,1,2_1_2_1,word_1_word_2,far,toothbrush,Clear_After,preschool,hanna,2013-08-26,,English,,,,,,male
qc1i7,10,18,mal_plain,mal_sws,1,ball,raspberry,raspberry,ball,raspberry,mal_plain_mal_sws,critical,3/6/2017,14:12,left,true,2180,2,2_1_1_1,word_1_word_2,near,ball,Clear_After,preschool,hanna,2013-08-26,,English,,,,,,male
qc1i7,10,18,mal_plain,mal_sws,2,ball,raspberry,raspberry,ball,raspberry,mal_plain_mal_sws,critical,3/6/2017,14:12,left,false,2424,1,2_1_1_1,word_1_word_2,near,ball,Clear_After,preschool,hanna,2013-08-26,,English,,,,,,male
qc1i7,10,18,mal_plain,mal_sws,3,ball,raspberry,raspberry,ball,raspberry,mal_plain_mal_sws,critical,3/6/2017,14:12,right,true,2775,1,2_1_1_1,word_1_word_2,near,raspberry,Clear_After,preschool,hanna,2013-08-26,,English,,,,,,male
qc1i7,11,23,mal_plain,mal_sws,1,teddy_bear,bath,teddy_bear,bath,teddy_bear,mal_plain_mal_sws,critical,3/6/2017,14:12,right,true,2568,2,2_1_2_1,word_1_word_2,far,teddy_bear,Clear_After,preschool,hanna,2013-08-26,,English,,,,,,male
qc1i7,11,23,mal_plain,mal_sws,2,teddy_bear,bath,teddy_bear,bath,teddy_bear,mal_plain_mal_sws,critical,3/6/2017,14:12,right,false,2498,2,2_1_2_1,word_1_word_2,far,teddy_bear,Clear_After,preschool,hanna,2013-08-26,,English,,,,,,male
qc1i7,11,23,mal_plain,mal_sws,3,teddy_bear,bath,teddy_bear,bath,teddy_bear,mal_plain_mal_sws,critical,3/6/2017,14:12,left,false,3577,1,2_1_2_1,word_1_word_2,far,bath,Clear_After,preschool,hanna,2013-08-26,,English,,,,,,male
qc1i7,12,8,mal_plain,mal_sws,1,wellyboots,fire_engine,fire_engine,wellyboots,fire_engine,mal_plain_mal_sws,critical,3/6/2017,14:12,right,false,1632,2,2_1_1_1,word_1_word_2,near,fire_engine,Clear_After,preschool,hanna,2013-08-26,,English,,,,,,male
qc1i7,12,8,mal_plain,mal_sws,2,wellyboots,fire_engine,fire_engine,wellyboots,fire_engine,mal_plain_mal_sws,critical,3/6/2017,14:12,left,false,2813,2,2_1_1_1,word_1_word_2,near,wellyboots,Clear_After,preschool,hanna,2013-08-26,,English,,,,,,male
