subject_id,trial_number,trial_id,plain,sws,instruction_number,sound1_item,sound2_item,sound3_item,left_image,right_image,sound_gender,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,pic_position,distance,chosen_pic,test_lang,testing_loc,tester,date_of_birth,ethnicity,native_lang,other_langs,parental_occ,dev_info,birth_order,num_siblings,gender
qlXJF,1,0,fem_plain,fem_sws,1,fireman,glasses,glasses,fireman,glasses,fem_plain_fem_sws,training,3/15/2017,15:16,left,true,5628,2,1_2_2_1,word_1_word_2,near,fireman,Clear_Before,lab,barbora,2013-11-18,,,,,,,0,male
qlXJF,1,0,fem_plain,fem_sws,2,fireman,glasses,glasses,fireman,glasses,fem_plain_fem_sws,training,3/15/2017,15:16,right,true,2302,2,1_2_2_1,word_1_word_2,near,glasses,Clear_Before,lab,barbora,2013-11-18,,,,,,,0,male
qlXJF,1,0,fem_plain,fem_sws,3,fireman,glasses,glasses,fireman,glasses,fem_plain_fem_sws,training,3/15/2017,15:16,right,true,3985,2,1_2_2_1,word_1_word_2,near,glasses,Clear_Before,lab,barbora,2013-11-18,,,,,,,0,male
qlXJF,2,14,fem_plain,fem_sws,1,cheese,shoes,shoes,cheese,shoes,fem_plain_fem_sws,critical,3/15/2017,15:16,left,true,3185,2,2_1_1_1,word_1_word_2,near,cheese,Clear_Before,lab,barbora,2013-11-18,,,,,,,0,male
qlXJF,2,14,fem_plain,fem_sws,2,cheese,shoes,shoes,cheese,shoes,fem_plain_fem_sws,critical,3/15/2017,15:16,right,true,2700,2,2_1_1_1,word_1_word_2,near,shoes,Clear_Before,lab,barbora,2013-11-18,,,,,,,0,male
qlXJF,2,14,fem_plain,fem_sws,3,cheese,shoes,shoes,cheese,shoes,fem_plain_fem_sws,critical,3/15/2017,15:16,right,true,3656,2,2_1_1_1,word_1_word_2,near,shoes,Clear_Before,lab,barbora,2013-11-18,,,,,,,0,male
qlXJF,3,20,fem_plain,fem_sws,1,jumper,rabbit,jumper,jumper,rabbit,fem_plain_fem_sws,critical,3/15/2017,15:16,left,true,3179,1,2_1_2_1,word_1_word_2,far,jumper,Clear_Before,lab,barbora,2013-11-18,,,,,,,0,male
qlXJF,3,20,fem_plain,fem_sws,2,jumper,rabbit,jumper,jumper,rabbit,fem_plain_fem_sws,critical,3/15/2017,15:16,right,true,2643,2,2_1_2_1,word_1_word_2,far,rabbit,Clear_Before,lab,barbora,2013-11-18,,,,,,,0,male
qlXJF,3,20,fem_plain,fem_sws,3,jumper,rabbit,jumper,jumper,rabbit,fem_plain_fem_sws,critical,3/15/2017,15:16,right,false,2978,2,2_1_2_1,word_1_word_2,far,rabbit,Clear_Before,lab,barbora,2013-11-18,,,,,,,0,male
qlXJF,4,3,fem_plain,fem_sws,1,trousers,nose,nose,nose,trousers,fem_plain_fem_sws,critical,3/15/2017,15:16,right,true,2823,2,2_1_1_1,word_2_word_1,near,trousers,Clear_Before,lab,barbora,2013-11-18,,,,,,,0,male
qlXJF,4,3,fem_plain,fem_sws,2,trousers,nose,nose,nose,trousers,fem_plain_fem_sws,critical,3/15/2017,15:16,left,true,2582,2,2_1_1_1,word_2_word_1,near,nose,Clear_Before,lab,barbora,2013-11-18,,,,,,,0,male
