subject_id,trial_number,trial_id,plain,sws,instruction_number,sound1_item,sound2_item,sound3_item,left_image,right_image,sound_gender,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,pic_position,distance,chosen_pic,test_lang,testing_loc,tester,date_of_birth,ethnicity,native_lang,other_langs,parental_occ,dev_info,birth_order,num_siblings,gender
smIVx,1,0,fem_plain,mal_sws,1,glasses,fireman,fireman,fireman,glasses,fem_plain_mal_sws,training,3/22/2017,13:42,right,true,3970,7,2_1_1_1,word_1_word_2,near,glasses,Clear_Before,preschool,hanna,2013-02-20,,English,,,,,,male
smIVx,1,0,fem_plain,mal_sws,2,glasses,fireman,fireman,fireman,glasses,fem_plain_mal_sws,training,3/22/2017,13:42,left,true,2340,4,2_1_1_1,word_1_word_2,near,fireman,Clear_Before,preschool,hanna,2013-02-20,,English,,,,,,male
smIVx,1,0,fem_plain,mal_sws,3,glasses,fireman,fireman,fireman,glasses,fem_plain_mal_sws,training,3/22/2017,13:42,left,true,8966,4,2_1_1_1,word_1_word_2,near,fireman,Clear_Before,preschool,hanna,2013-02-20,,English,,,,,,male
smIVx,2,16,fem_plain,mal_sws,1,paintbrush,banana,banana,paintbrush,banana,fem_plain_mal_sws,critical,3/22/2017,13:42,left,true,4636,1,2_1_1_1,word_1_word_2,near,paintbrush,Clear_Before,preschool,hanna,2013-02-20,,English,,,,,,male
smIVx,2,16,fem_plain,mal_sws,2,paintbrush,banana,banana,paintbrush,banana,fem_plain_mal_sws,critical,3/22/2017,13:42,right,true,573,2,2_1_1_1,word_1_word_2,near,banana,Clear_Before,preschool,hanna,2013-02-20,,English,,,,,,male
smIVx,2,16,fem_plain,mal_sws,3,paintbrush,banana,banana,paintbrush,banana,fem_plain_mal_sws,critical,3/22/2017,13:42,right,true,11483,2,2_1_1_1,word_1_word_2,near,banana,Clear_Before,preschool,hanna,2013-02-20,,English,,,,,,male
smIVx,3,17,fem_plain,mal_sws,1,cake,ambulance,cake,cake,ambulance,fem_plain_mal_sws,critical,3/22/2017,13:42,left,true,3323,1,1_2_1_1,word_1_word_2,far,cake,Clear_Before,preschool,hanna,2013-02-20,,English,,,,,,male
smIVx,3,17,fem_plain,mal_sws,2,cake,ambulance,cake,cake,ambulance,fem_plain_mal_sws,critical,3/22/2017,13:42,right,true,1138,2,1_2_1_1,word_1_word_2,far,ambulance,Clear_Before,preschool,hanna,2013-02-20,,English,,,,,,male
smIVx,3,17,fem_plain,mal_sws,3,cake,ambulance,cake,cake,ambulance,fem_plain_mal_sws,critical,3/22/2017,13:42,right,false,7883,5,1_2_1_1,word_1_word_2,far,ambulance,Clear_Before,preschool,hanna,2013-02-20,,English,,,,,,male
smIVx,4,7,fem_plain,mal_sws,1,horse,lolly,horse,horse,lolly,fem_plain_mal_sws,critical,3/22/2017,13:42,left,true,2760,1,1_2_1_1,word_2_word_1,far,horse,Clear_Before,preschool,hanna,2013-02-20,,English,,,,,,male
