subject_id,trial_number,trial_id,plain,sws,instruction_number,sound1_item,sound2_item,sound3_item,left_image,right_image,sound_gender,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,pic_position,distance,chosen_pic,test_lang,testing_loc,tester,date_of_birth,ethnicity,native_lang,other_langs,parental_occ,dev_info,birth_order,num_siblings,gender
t6fJS,1,0,mal_plain,mal_sws,1,glasses,fireman,glasses,glasses,fireman,mal_plain_mal_sws,training,3/31/2017,16:39,left,true,3938,4,2_1_2_1,word_2_word_1,far,glasses,Clear_Before,lab,hanna,2014-10-26,,Catalan/Spanish,English,,,,,female
t6fJS,1,0,mal_plain,mal_sws,2,glasses,fireman,glasses,glasses,fireman,mal_plain_mal_sws,training,3/31/2017,16:39,right,true,3782,4,2_1_2_1,word_2_word_1,far,fireman,Clear_Before,lab,hanna,2014-10-26,,Catalan/Spanish,English,,,,,female
t6fJS,1,0,mal_plain,mal_sws,3,glasses,fireman,glasses,glasses,fireman,mal_plain_mal_sws,training,3/31/2017,16:39,left,true,7218,4,2_1_2_1,word_2_word_1,far,glasses,Clear_Before,lab,hanna,2014-10-26,,Catalan/Spanish,English,,,,,female
t6fJS,2,9,mal_plain,mal_sws,1,window,pizza,pizza,window,pizza,mal_plain_mal_sws,critical,3/31/2017,16:39,left,true,3762,2,2_1_1_1,word_2_word_1,near,window,Clear_Before,lab,hanna,2014-10-26,,Catalan/Spanish,English,,,,,female
t6fJS,2,9,mal_plain,mal_sws,2,window,pizza,pizza,window,pizza,mal_plain_mal_sws,critical,3/31/2017,16:39,right,true,2832,2,2_1_1_1,word_2_word_1,near,pizza,Clear_Before,lab,hanna,2014-10-26,,Catalan/Spanish,English,,,,,female
t6fJS,2,9,mal_plain,mal_sws,3,window,pizza,pizza,window,pizza,mal_plain_mal_sws,critical,3/31/2017,16:39,left,false,5161,4,2_1_1_1,word_2_word_1,near,window,Clear_Before,lab,hanna,2014-10-26,,Catalan/Spanish,English,,,,,female
t6fJS,3,12,mal_plain,mal_sws,1,yoghurt,foot,yoghurt,foot,yoghurt,mal_plain_mal_sws,critical,3/31/2017,16:39,right,true,4163,2,2_1_2_1,word_1_word_2,far,yoghurt,Clear_Before,lab,hanna,2014-10-26,,Catalan/Spanish,English,,,,,female
t6fJS,3,12,mal_plain,mal_sws,2,yoghurt,foot,yoghurt,foot,yoghurt,mal_plain_mal_sws,critical,3/31/2017,16:39,left,true,2541,2,2_1_2_1,word_1_word_2,far,foot,Clear_Before,lab,hanna,2014-10-26,,Catalan/Spanish,English,,,,,female
t6fJS,3,12,mal_plain,mal_sws,3,yoghurt,foot,yoghurt,foot,yoghurt,mal_plain_mal_sws,critical,3/31/2017,16:39,right,true,8098,2,2_1_2_1,word_1_word_2,far,yoghurt,Clear_Before,lab,hanna,2014-10-26,,Catalan/Spanish,English,,,,,female
t6fJS,4,20,mal_plain,mal_sws,1,jumper,rabbit,jumper,rabbit,jumper,mal_plain_mal_sws,critical,3/31/2017,16:39,right,true,5262,2,2_1_2_1,word_2_word_1,far,jumper,Clear_Before,lab,hanna,2014-10-26,,Catalan/Spanish,English,,,,,female
t6fJS,4,20,mal_plain,mal_sws,2,jumper,rabbit,jumper,rabbit,jumper,mal_plain_mal_sws,critical,3/31/2017,16:39,left,true,2586,1,2_1_2_1,word_2_word_1,far,rabbit,Clear_Before,lab,hanna,2014-10-26,,Catalan/Spanish,English,,,,,female
t6fJS,4,20,mal_plain,mal_sws,3,jumper,rabbit,jumper,rabbit,jumper,mal_plain_mal_sws,critical,3/31/2017,16:39,right,true,7652,2,2_1_2_1,word_2_word_1,far,jumper,Clear_Before,lab,hanna,2014-10-26,,Catalan/Spanish,English,,,,,female
t6fJS,5,16,mal_plain,mal_sws,1,banana,paintbrush,paintbrush,banana,paintbrush,mal_plain_mal_sws,critical,3/31/2017,16:39,left,true,3000,4,1_2_2_1,word_2_word_1,near,banana,Clear_Before,lab,hanna,2014-10-26,,Catalan/Spanish,English,,,,,female
t6fJS,5,16,mal_plain,mal_sws,2,banana,paintbrush,paintbrush,banana,paintbrush,mal_plain_mal_sws,critical,3/31/2017,16:39,right,true,3557,1,1_2_2_1,word_2_word_1,near,paintbrush,Clear_Before,lab,hanna,2014-10-26,,Catalan/Spanish,English,,,,,female
t6fJS,5,16,mal_plain,mal_sws,3,banana,paintbrush,paintbrush,banana,paintbrush,mal_plain_mal_sws,critical,3/31/2017,16:39,right,true,6777,2,1_2_2_1,word_2_word_1,near,paintbrush,Clear_Before,lab,hanna,2014-10-26,,Catalan/Spanish,English,,,,,female
t6fJS,6,5,mal_plain,mal_sws,1,car,orange,car,car,orange,mal_plain_mal_sws,critical,3/31/2017,16:39,left,true,4429,2,1_2_1_1,word_2_word_1,far,car,Clear_Before,lab,hanna,2014-10-26,,Catalan/Spanish,English,,,,,female
t6fJS,6,5,mal_plain,mal_sws,2,car,orange,car,car,orange,mal_plain_mal_sws,critical,3/31/2017,16:39,right,true,4649,1,1_2_1_1,word_2_word_1,far,orange,Clear_Before,lab,hanna,2014-10-26,,Catalan/Spanish,English,,,,,female
t6fJS,6,5,mal_plain,mal_sws,3,car,orange,car,car,orange,mal_plain_mal_sws,critical,3/31/2017,16:39,left,true,4853,2,1_2_1_1,word_2_word_1,far,car,Clear_Before,lab,hanna,2014-10-26,,Catalan/Spanish,English,,,,,female
t6fJS,7,8,mal_plain,mal_sws,1,fire_engine,wellyboots,wellyboots,fire_engine,wellyboots,mal_plain_mal_sws,critical,3/31/2017,16:39,left,true,4044,2,1_2_2_1,word_2_word_1,near,fire_engine,Clear_Before,lab,hanna,2014-10-26,,Catalan/Spanish,English,,,,,female
t6fJS,7,8,mal_plain,mal_sws,2,fire_engine,wellyboots,wellyboots,fire_engine,wellyboots,mal_plain_mal_sws,critical,3/31/2017,16:39,right,true,4056,1,1_2_2_1,word_2_word_1,near,wellyboots,Clear_Before,lab,hanna,2014-10-26,,Catalan/Spanish,English,,,,,female
t6fJS,7,8,mal_plain,mal_sws,3,fire_engine,wellyboots,wellyboots,fire_engine,wellyboots,mal_plain_mal_sws,critical,3/31/2017,16:39,right,true,4714,2,1_2_2_1,word_2_word_1,near,wellyboots,Clear_Before,lab,hanna,2014-10-26,,Catalan/Spanish,English,,,,,female
t6fJS,8,22,mal_plain,mal_sws,1,bike,dog,bike,dog,bike,mal_plain_mal_sws,critical,3/31/2017,16:39,right,true,3336,2,1_2_1_1,word_2_word_1,far,bike,Clear_Before,lab,hanna,2014-10-26,,Catalan/Spanish,English,,,,,female
t6fJS,8,22,mal_plain,mal_sws,2,bike,dog,bike,dog,bike,mal_plain_mal_sws,critical,3/31/2017,16:39,left,true,3188,2,1_2_1_1,word_2_word_1,far,dog,Clear_Before,lab,hanna,2014-10-26,,Catalan/Spanish,English,,,,,female
t6fJS,8,22,mal_plain,mal_sws,3,bike,dog,bike,dog,bike,mal_plain_mal_sws,critical,3/31/2017,16:39,right,true,3656,2,1_2_1_1,word_2_word_1,far,bike,Clear_Before,lab,hanna,2014-10-26,,Catalan/Spanish,English,,,,,female
t6fJS,9,1,mal_plain,mal_sws,1,baby,spoon,baby,spoon,baby,mal_plain_mal_sws,critical,3/31/2017,16:39,right,true,3085,4,1_2_1_1,word_1_word_2,far,baby,Clear_Before,lab,hanna,2014-10-26,,Catalan/Spanish,English,,,,,female
t6fJS,9,1,mal_plain,mal_sws,2,baby,spoon,baby,spoon,baby,mal_plain_mal_sws,critical,3/31/2017,16:39,left,true,2570,2,1_2_1_1,word_1_word_2,far,spoon,Clear_Before,lab,hanna,2014-10-26,,Catalan/Spanish,English,,,,,female
t6fJS,9,1,mal_plain,mal_sws,3,baby,spoon,baby,spoon,baby,mal_plain_mal_sws,critical,3/31/2017,16:39,right,true,2786,2,1_2_1_1,word_1_word_2,far,baby,Clear_Before,lab,hanna,2014-10-26,,Catalan/Spanish,English,,,,,female
t6fJS,10,10,mal_plain,mal_sws,1,pig,tshirt,tshirt,pig,tshirt,mal_plain_mal_sws,critical,3/31/2017,16:39,left,true,3110,2,2_1_1_1,word_1_word_2,near,pig,Clear_Before,lab,hanna,2014-10-26,,Catalan/Spanish,English,,,,,female
t6fJS,10,10,mal_plain,mal_sws,2,pig,tshirt,tshirt,pig,tshirt,mal_plain_mal_sws,critical,3/31/2017,16:39,right,true,3524,1,2_1_1_1,word_1_word_2,near,tshirt,Clear_Before,lab,hanna,2014-10-26,,Catalan/Spanish,English,,,,,female
t6fJS,10,10,mal_plain,mal_sws,3,pig,tshirt,tshirt,pig,tshirt,mal_plain_mal_sws,critical,3/31/2017,16:39,right,true,4619,1,2_1_1_1,word_1_word_2,near,tshirt,Clear_Before,lab,hanna,2014-10-26,,Catalan/Spanish,English,,,,,female
t6fJS,11,24,mal_plain,mal_sws,1,fish,sink,fish,sink,fish,mal_plain_mal_sws,critical,3/31/2017,16:39,right,true,3874,2,2_1_2_1,word_1_word_2,far,fish,Clear_Before,lab,hanna,2014-10-26,,Catalan/Spanish,English,,,,,female
t6fJS,11,24,mal_plain,mal_sws,2,fish,sink,fish,sink,fish,mal_plain_mal_sws,critical,3/31/2017,16:39,left,true,3273,1,2_1_2_1,word_1_word_2,far,sink,Clear_Before,lab,hanna,2014-10-26,,Catalan/Spanish,English,,,,,female
t6fJS,11,24,mal_plain,mal_sws,3,fish,sink,fish,sink,fish,mal_plain_mal_sws,critical,3/31/2017,16:39,right,true,5278,1,2_1_2_1,word_1_word_2,far,fish,Clear_Before,lab,hanna,2014-10-26,,Catalan/Spanish,English,,,,,female
t6fJS,12,4,mal_plain,mal_sws,1,strawberry,coat,coat,strawberry,coat,mal_plain_mal_sws,critical,3/31/2017,16:39,left,true,3343,2,2_1_1_1,word_2_word_1,near,strawberry,Clear_Before,lab,hanna,2014-10-26,,Catalan/Spanish,English,,,,,female
