subject_id,trial_number,trial_id,plain,sws,instruction_number,sound1_item,sound2_item,sound3_item,left_image,right_image,sound_gender,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,pic_position,distance,chosen_pic,test_lang,testing_loc,tester,date_of_birth,ethnicity,native_lang,other_langs,parental_occ,dev_info,birth_order,num_siblings,gender
tiY94,1,0,fem_plain,mal_sws,1,fireman,glasses,fireman,glasses,fireman,fem_plain_mal_sws,training,3/9/2017,11:12,right,true,9822,4,2_1_2_1,word_2_word_1,far,fireman,Clear_After,preschool,hanna,2012-05-30,,English,,,,2,2,male
tiY94,1,0,fem_plain,mal_sws,2,fireman,glasses,fireman,glasses,fireman,fem_plain_mal_sws,training,3/9/2017,11:12,right,false,3041,4,2_1_2_1,word_2_word_1,far,fireman,Clear_After,preschool,hanna,2012-05-30,,English,,,,2,2,male
tiY94,1,0,fem_plain,mal_sws,3,fireman,glasses,fireman,glasses,fireman,fem_plain_mal_sws,training,3/9/2017,11:12,left,false,2524,1,2_1_2_1,word_2_word_1,far,glasses,Clear_After,preschool,hanna,2012-05-30,,English,,,,2,2,male
tiY94,2,19,fem_plain,mal_sws,1,santa,building_blocks,santa,santa,building_blocks,fem_plain_mal_sws,critical,3/9/2017,11:12,right,false,15708,3,1_2_1_1,word_1_word_2,far,building_blocks,Clear_After,preschool,hanna,2012-05-30,,English,,,,2,2,male
tiY94,2,19,fem_plain,mal_sws,2,santa,building_blocks,santa,santa,building_blocks,fem_plain_mal_sws,critical,3/9/2017,11:12,left,false,3718,2,1_2_1_1,word_1_word_2,far,santa,Clear_After,preschool,hanna,2012-05-30,,English,,,,2,2,male
tiY94,2,19,fem_plain,mal_sws,3,santa,building_blocks,santa,santa,building_blocks,fem_plain_mal_sws,critical,3/9/2017,11:12,right,false,3264,3,1_2_1_1,word_1_word_2,far,building_blocks,Clear_After,preschool,hanna,2012-05-30,,English,,,,2,2,male
tiY94,3,3,fem_plain,mal_sws,1,trousers,nose,trousers,trousers,nose,fem_plain_mal_sws,critical,3/9/2017,11:12,left,true,17160,6,1_2_1_1,word_1_word_2,far,trousers,Clear_After,preschool,hanna,2012-05-30,,English,,,,2,2,male
tiY94,3,3,fem_plain,mal_sws,2,trousers,nose,trousers,trousers,nose,fem_plain_mal_sws,critical,3/9/2017,11:12,left,false,3093,2,1_2_1_1,word_1_word_2,far,trousers,Clear_After,preschool,hanna,2012-05-30,,English,,,,2,2,male
tiY94,3,3,fem_plain,mal_sws,3,trousers,nose,trousers,trousers,nose,fem_plain_mal_sws,critical,3/9/2017,11:12,right,false,2466,1,1_2_1_1,word_1_word_2,far,nose,Clear_After,preschool,hanna,2012-05-30,,English,,,,2,2,male
tiY94,4,8,fem_plain,mal_sws,1,wellyboots,fire_engine,fire_engine,wellyboots,fire_engine,fem_plain_mal_sws,critical,3/9/2017,11:12,left,true,14631,6,2_1_1_1,word_1_word_2,near,wellyboots,Clear_After,preschool,hanna,2012-05-30,,English,,,,2,2,male
tiY94,4,8,fem_plain,mal_sws,2,wellyboots,fire_engine,fire_engine,wellyboots,fire_engine,fem_plain_mal_sws,critical,3/9/2017,11:12,left,false,2887,2,2_1_1_1,word_1_word_2,near,wellyboots,Clear_After,preschool,hanna,2012-05-30,,English,,,,2,2,male
tiY94,4,8,fem_plain,mal_sws,3,wellyboots,fire_engine,fire_engine,wellyboots,fire_engine,fem_plain_mal_sws,critical,3/9/2017,11:12,right,true,2674,1,2_1_1_1,word_1_word_2,near,fire_engine,Clear_After,preschool,hanna,2012-05-30,,English,,,,2,2,male
tiY94,5,13,fem_plain,mal_sws,1,toothbrush,airplane,toothbrush,airplane,toothbrush,fem_plain_mal_sws,critical,3/9/2017,11:12,left,false,6748,4,2_1_2_1,word_2_word_1,far,airplane,Clear_After,preschool,hanna,2012-05-30,,English,,,,2,2,male
tiY94,5,13,fem_plain,mal_sws,2,toothbrush,airplane,toothbrush,airplane,toothbrush,fem_plain_mal_sws,critical,3/9/2017,11:12,right,false,2671,1,2_1_2_1,word_2_word_1,far,toothbrush,Clear_After,preschool,hanna,2012-05-30,,English,,,,2,2,male
tiY94,5,13,fem_plain,mal_sws,3,toothbrush,airplane,toothbrush,airplane,toothbrush,fem_plain_mal_sws,critical,3/9/2017,11:12,left,false,3942,1,2_1_2_1,word_2_word_1,far,airplane,Clear_After,preschool,hanna,2012-05-30,,English,,,,2,2,male
tiY94,6,12,fem_plain,mal_sws,1,foot,yoghurt,yoghurt,foot,yoghurt,fem_plain_mal_sws,critical,3/9/2017,11:12,left,true,22571,4,2_1_1_1,word_1_word_2,near,foot,Clear_After,preschool,hanna,2012-05-30,,English,,,,2,2,male
tiY94,6,12,fem_plain,mal_sws,2,foot,yoghurt,yoghurt,foot,yoghurt,fem_plain_mal_sws,critical,3/9/2017,11:12,left,false,3204,1,2_1_1_1,word_1_word_2,near,foot,Clear_After,preschool,hanna,2012-05-30,,English,,,,2,2,male
tiY94,6,12,fem_plain,mal_sws,3,foot,yoghurt,yoghurt,foot,yoghurt,fem_plain_mal_sws,critical,3/9/2017,11:12,right,true,2115,2,2_1_1_1,word_1_word_2,near,yoghurt,Clear_After,preschool,hanna,2012-05-30,,English,,,,2,2,male
tiY94,7,4,fem_plain,mal_sws,1,strawberry,coat,strawberry,strawberry,coat,fem_plain_mal_sws,critical,3/9/2017,11:12,left,true,14596,4,2_1_2_1,word_2_word_1,far,strawberry,Clear_After,preschool,hanna,2012-05-30,,English,,,,2,2,male
tiY94,7,4,fem_plain,mal_sws,2,strawberry,coat,strawberry,strawberry,coat,fem_plain_mal_sws,critical,3/9/2017,11:12,left,false,2793,2,2_1_2_1,word_2_word_1,far,strawberry,Clear_After,preschool,hanna,2012-05-30,,English,,,,2,2,male
tiY94,7,4,fem_plain,mal_sws,3,strawberry,coat,strawberry,strawberry,coat,fem_plain_mal_sws,critical,3/9/2017,11:12,right,false,2331,2,2_1_2_1,word_2_word_1,far,coat,Clear_After,preschool,hanna,2012-05-30,,English,,,,2,2,male
tiY94,8,22,fem_plain,mal_sws,1,bike,dog,bike,bike,dog,fem_plain_mal_sws,critical,3/9/2017,11:12,right,false,18532,4,1_2_1_1,word_1_word_2,far,dog,Clear_After,preschool,hanna,2012-05-30,,English,,,,2,2,male
tiY94,8,22,fem_plain,mal_sws,2,bike,dog,bike,bike,dog,fem_plain_mal_sws,critical,3/9/2017,11:12,left,false,3160,2,1_2_1_1,word_1_word_2,far,bike,Clear_After,preschool,hanna,2012-05-30,,English,,,,2,2,male
tiY94,8,22,fem_plain,mal_sws,3,bike,dog,bike,bike,dog,fem_plain_mal_sws,critical,3/9/2017,11:12,right,false,2909,1,1_2_1_1,word_1_word_2,far,dog,Clear_After,preschool,hanna,2012-05-30,,English,,,,2,2,male
tiY94,9,23,fem_plain,mal_sws,1,bath,teddy_bear,teddy_bear,bath,teddy_bear,fem_plain_mal_sws,critical,3/9/2017,11:12,left,true,7380,2,1_2_2_1,word_1_word_2,near,bath,Clear_After,preschool,hanna,2012-05-30,,English,,,,2,2,male
tiY94,9,23,fem_plain,mal_sws,2,bath,teddy_bear,teddy_bear,bath,teddy_bear,fem_plain_mal_sws,critical,3/9/2017,11:12,left,false,3128,1,1_2_2_1,word_1_word_2,near,bath,Clear_After,preschool,hanna,2012-05-30,,English,,,,2,2,male
tiY94,9,23,fem_plain,mal_sws,3,bath,teddy_bear,teddy_bear,bath,teddy_bear,fem_plain_mal_sws,critical,3/9/2017,11:12,right,true,2654,2,1_2_2_1,word_1_word_2,near,teddy_bear,Clear_After,preschool,hanna,2012-05-30,,English,,,,2,2,male
tiY94,10,10,fem_plain,mal_sws,1,pig,tshirt,tshirt,tshirt,pig,fem_plain_mal_sws,critical,3/9/2017,11:12,left,false,8682,6,2_1_1_1,word_2_word_1,near,tshirt,Clear_After,preschool,hanna,2012-05-30,,English,,,,2,2,male
tiY94,10,10,fem_plain,mal_sws,2,pig,tshirt,tshirt,tshirt,pig,fem_plain_mal_sws,critical,3/9/2017,11:12,right,false,2368,2,2_1_1_1,word_2_word_1,near,pig,Clear_After,preschool,hanna,2012-05-30,,English,,,,2,2,male
tiY94,10,10,fem_plain,mal_sws,3,pig,tshirt,tshirt,tshirt,pig,fem_plain_mal_sws,critical,3/9/2017,11:12,left,true,3299,1,2_1_1_1,word_2_word_1,near,tshirt,Clear_After,preschool,hanna,2012-05-30,,English,,,,2,2,male
tiY94,11,16,fem_plain,mal_sws,1,paintbrush,banana,banana,paintbrush,banana,fem_plain_mal_sws,critical,3/9/2017,11:12,left,true,10227,4,2_1_1_1,word_1_word_2,near,paintbrush,Clear_After,preschool,hanna,2012-05-30,,English,,,,2,2,male
tiY94,11,16,fem_plain,mal_sws,2,paintbrush,banana,banana,paintbrush,banana,fem_plain_mal_sws,critical,3/9/2017,11:12,left,false,3934,2,2_1_1_1,word_1_word_2,near,paintbrush,Clear_After,preschool,hanna,2012-05-30,,English,,,,2,2,male
tiY94,11,16,fem_plain,mal_sws,3,paintbrush,banana,banana,paintbrush,banana,fem_plain_mal_sws,critical,3/9/2017,11:12,right,true,2934,3,2_1_1_1,word_1_word_2,near,banana,Clear_After,preschool,hanna,2012-05-30,,English,,,,2,2,male
tiY94,12,14,fem_plain,mal_sws,1,shoes,cheese,cheese,shoes,cheese,fem_plain_mal_sws,critical,3/9/2017,11:12,right,false,2101,7,2_1_1_1,word_2_word_1,near,cheese,Clear_After,preschool,hanna,2012-05-30,,English,,,,2,2,male
tiY94,12,14,fem_plain,mal_sws,2,shoes,cheese,cheese,shoes,cheese,fem_plain_mal_sws,critical,3/9/2017,11:12,left,false,2252,2,2_1_1_1,word_2_word_1,near,shoes,Clear_After,preschool,hanna,2012-05-30,,English,,,,2,2,male
tiY94,12,14,fem_plain,mal_sws,3,shoes,cheese,cheese,shoes,cheese,fem_plain_mal_sws,critical,3/9/2017,11:12,right,true,3307,1,2_1_1_1,word_2_word_1,near,cheese,Clear_After,preschool,hanna,2012-05-30,,English,,,,2,2,male
tiY94,13,24,fem_plain,mal_sws,1,sink,fish,fish,fish,sink,fem_plain_mal_sws,critical,3/9/2017,11:12,right,true,2989,4,1_2_2_1,word_2_word_1,near,sink,Clear_After,preschool,hanna,2012-05-30,,English,,,,2,2,male
tiY94,13,24,fem_plain,mal_sws,2,sink,fish,fish,fish,sink,fem_plain_mal_sws,critical,3/9/2017,11:12,left,true,2199,2,1_2_2_1,word_2_word_1,near,fish,Clear_After,preschool,hanna,2012-05-30,,English,,,,2,2,male
tiY94,13,24,fem_plain,mal_sws,3,sink,fish,fish,fish,sink,fem_plain_mal_sws,critical,3/9/2017,11:12,left,true,3103,1,1_2_2_1,word_2_word_1,near,fish,Clear_After,preschool,hanna,2012-05-30,,English,,,,2,2,male
tiY94,14,17,fem_plain,mal_sws,1,ambulance,cake,cake,cake,ambulance,fem_plain_mal_sws,critical,3/9/2017,11:12,left,false,5075,6,1_2_2_1,word_1_word_2,near,cake,Clear_After,preschool,hanna,2012-05-30,,English,,,,2,2,male
tiY94,14,17,fem_plain,mal_sws,2,ambulance,cake,cake,cake,ambulance,fem_plain_mal_sws,critical,3/9/2017,11:12,right,false,2772,2,1_2_2_1,word_1_word_2,near,ambulance,Clear_After,preschool,hanna,2012-05-30,,English,,,,2,2,male
tiY94,14,17,fem_plain,mal_sws,3,ambulance,cake,cake,cake,ambulance,fem_plain_mal_sws,critical,3/9/2017,11:12,left,true,2296,2,1_2_2_1,word_1_word_2,near,cake,Clear_After,preschool,hanna,2012-05-30,,English,,,,2,2,male
tiY94,15,1,fem_plain,mal_sws,1,spoon,baby,spoon,baby,spoon,fem_plain_mal_sws,critical,3/9/2017,11:12,left,false,5632,6,1_2_1_1,word_2_word_1,far,baby,Clear_After,preschool,hanna,2012-05-30,,English,,,,2,2,male
