subject_id,trial_number,trial_id,plain,sws,instruction_number,sound1_item,sound2_item,sound3_item,left_image,right_image,sound_gender,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,pic_position,distance,chosen_pic,test_lang,testing_loc,tester,date_of_birth,ethnicity,native_lang,other_langs,parental_occ,dev_info,birth_order,num_siblings,gender
tvLFd,1,0,fem_plain,mal_sws,1,glasses,fireman,glasses,glasses,fireman,fem_plain_mal_sws,training,3/22/2017,13:33,left,true,5720,6,2_1_2_1,word_2_word_1,far,glasses,Clear_After,preschool,hanna,2012-04-26,,English,,,,,,male
tvLFd,1,0,fem_plain,mal_sws,2,glasses,fireman,glasses,glasses,fireman,fem_plain_mal_sws,training,3/22/2017,13:33,left,false,2934,4,2_1_2_1,word_2_word_1,far,glasses,Clear_After,preschool,hanna,2012-04-26,,English,,,,,,male
tvLFd,1,0,fem_plain,mal_sws,3,glasses,fireman,glasses,glasses,fireman,fem_plain_mal_sws,training,3/22/2017,13:33,right,false,2893,1,2_1_2_1,word_2_word_1,far,fireman,Clear_After,preschool,hanna,2012-04-26,,English,,,,,,male
tvLFd,2,13,fem_plain,mal_sws,1,airplane,toothbrush,airplane,airplane,toothbrush,fem_plain_mal_sws,critical,3/22/2017,13:33,left,true,6815,4,1_2_1_1,word_2_word_1,far,airplane,Clear_After,preschool,hanna,2012-04-26,,English,,,,,,male
tvLFd,2,13,fem_plain,mal_sws,2,airplane,toothbrush,airplane,airplane,toothbrush,fem_plain_mal_sws,critical,3/22/2017,13:33,left,false,2334,3,1_2_1_1,word_2_word_1,far,airplane,Clear_After,preschool,hanna,2012-04-26,,English,,,,,,male
tvLFd,2,13,fem_plain,mal_sws,3,airplane,toothbrush,airplane,airplane,toothbrush,fem_plain_mal_sws,critical,3/22/2017,13:33,right,false,2044,2,1_2_1_1,word_2_word_1,far,toothbrush,Clear_After,preschool,hanna,2012-04-26,,English,,,,,,male
tvLFd,3,16,fem_plain,mal_sws,1,banana,paintbrush,paintbrush,paintbrush,banana,fem_plain_mal_sws,critical,3/22/2017,13:33,left,false,4863,3,1_2_2_1,word_1_word_2,near,paintbrush,Clear_After,preschool,hanna,2012-04-26,,English,,,,,,male
tvLFd,3,16,fem_plain,mal_sws,2,banana,paintbrush,paintbrush,paintbrush,banana,fem_plain_mal_sws,critical,3/22/2017,13:33,right,false,2161,3,1_2_2_1,word_1_word_2,near,banana,Clear_After,preschool,hanna,2012-04-26,,English,,,,,,male
tvLFd,3,16,fem_plain,mal_sws,3,banana,paintbrush,paintbrush,paintbrush,banana,fem_plain_mal_sws,critical,3/22/2017,13:33,left,true,2790,1,1_2_2_1,word_1_word_2,near,paintbrush,Clear_After,preschool,hanna,2012-04-26,,English,,,,,,male
tvLFd,4,2,fem_plain,mal_sws,1,bed,chicken,bed,bed,chicken,fem_plain_mal_sws,critical,3/22/2017,13:33,left,true,4528,1,1_2_1_1,word_1_word_2,far,bed,Clear_After,preschool,hanna,2012-04-26,,English,,,,,,male
tvLFd,4,2,fem_plain,mal_sws,2,bed,chicken,bed,bed,chicken,fem_plain_mal_sws,critical,3/22/2017,13:33,left,false,3765,1,1_2_1_1,word_1_word_2,far,bed,Clear_After,preschool,hanna,2012-04-26,,English,,,,,,male
tvLFd,4,2,fem_plain,mal_sws,3,bed,chicken,bed,bed,chicken,fem_plain_mal_sws,critical,3/22/2017,13:33,right,false,2731,1,1_2_1_1,word_1_word_2,far,chicken,Clear_After,preschool,hanna,2012-04-26,,English,,,,,,male
tvLFd,5,19,fem_plain,mal_sws,1,building_blocks,santa,santa,building_blocks,santa,fem_plain_mal_sws,critical,3/22/2017,13:33,left,true,4578,2,1_2_2_1,word_2_word_1,near,building_blocks,Clear_After,preschool,hanna,2012-04-26,,English,,,,,,male
tvLFd,5,19,fem_plain,mal_sws,2,building_blocks,santa,santa,building_blocks,santa,fem_plain_mal_sws,critical,3/22/2017,13:33,left,false,2573,1,1_2_2_1,word_2_word_1,near,building_blocks,Clear_After,preschool,hanna,2012-04-26,,English,,,,,,male
tvLFd,5,19,fem_plain,mal_sws,3,building_blocks,santa,santa,building_blocks,santa,fem_plain_mal_sws,critical,3/22/2017,13:33,right,true,3453,2,1_2_2_1,word_2_word_1,near,santa,Clear_After,preschool,hanna,2012-04-26,,English,,,,,,male
tvLFd,6,4,fem_plain,mal_sws,1,strawberry,coat,coat,strawberry,coat,fem_plain_mal_sws,critical,3/22/2017,13:33,left,true,2920,2,1_2_2_1,word_2_word_1,near,strawberry,Clear_After,preschool,hanna,2012-04-26,,English,,,,,,male
tvLFd,6,4,fem_plain,mal_sws,2,strawberry,coat,coat,strawberry,coat,fem_plain_mal_sws,critical,3/22/2017,13:33,left,false,2448,1,1_2_2_1,word_2_word_1,near,strawberry,Clear_After,preschool,hanna,2012-04-26,,English,,,,,,male
tvLFd,6,4,fem_plain,mal_sws,3,strawberry,coat,coat,strawberry,coat,fem_plain_mal_sws,critical,3/22/2017,13:33,right,true,2086,2,1_2_2_1,word_2_word_1,near,coat,Clear_After,preschool,hanna,2012-04-26,,English,,,,,,male
tvLFd,7,7,fem_plain,mal_sws,1,lolly,horse,lolly,lolly,horse,fem_plain_mal_sws,critical,3/22/2017,13:33,left,true,2934,2,2_1_2_1,word_1_word_2,far,lolly,Clear_After,preschool,hanna,2012-04-26,,English,,,,,,male
tvLFd,7,7,fem_plain,mal_sws,2,lolly,horse,lolly,lolly,horse,fem_plain_mal_sws,critical,3/22/2017,13:33,left,false,3061,2,2_1_2_1,word_1_word_2,far,lolly,Clear_After,preschool,hanna,2012-04-26,,English,,,,,,male
tvLFd,7,7,fem_plain,mal_sws,3,lolly,horse,lolly,lolly,horse,fem_plain_mal_sws,critical,3/22/2017,13:33,right,false,2062,1,2_1_2_1,word_1_word_2,far,horse,Clear_After,preschool,hanna,2012-04-26,,English,,,,,,male
tvLFd,8,6,fem_plain,mal_sws,1,peas,bird,bird,bird,peas,fem_plain_mal_sws,critical,3/22/2017,13:33,left,false,2288,2,1_2_2_1,word_1_word_2,near,bird,Clear_After,preschool,hanna,2012-04-26,,English,,,,,,male
tvLFd,8,6,fem_plain,mal_sws,2,peas,bird,bird,bird,peas,fem_plain_mal_sws,critical,3/22/2017,13:33,right,false,2345,1,1_2_2_1,word_1_word_2,near,peas,Clear_After,preschool,hanna,2012-04-26,,English,,,,,,male
tvLFd,8,6,fem_plain,mal_sws,3,peas,bird,bird,bird,peas,fem_plain_mal_sws,critical,3/22/2017,13:33,left,true,1992,1,1_2_2_1,word_1_word_2,near,bird,Clear_After,preschool,hanna,2012-04-26,,English,,,,,,male
tvLFd,9,17,fem_plain,mal_sws,1,ambulance,cake,ambulance,ambulance,cake,fem_plain_mal_sws,critical,3/22/2017,13:33,left,true,3140,2,1_2_1_1,word_2_word_1,far,ambulance,Clear_After,preschool,hanna,2012-04-26,,English,,,,,,male
tvLFd,9,17,fem_plain,mal_sws,2,ambulance,cake,ambulance,ambulance,cake,fem_plain_mal_sws,critical,3/22/2017,13:33,left,false,2190,2,1_2_1_1,word_2_word_1,far,ambulance,Clear_After,preschool,hanna,2012-04-26,,English,,,,,,male
tvLFd,9,17,fem_plain,mal_sws,3,ambulance,cake,ambulance,ambulance,cake,fem_plain_mal_sws,critical,3/22/2017,13:33,right,false,2676,1,1_2_1_1,word_2_word_1,far,cake,Clear_After,preschool,hanna,2012-04-26,,English,,,,,,male
tvLFd,10,3,fem_plain,mal_sws,1,trousers,nose,trousers,nose,trousers,fem_plain_mal_sws,critical,3/22/2017,13:33,right,true,3764,2,1_2_1_1,word_2_word_1,far,trousers,Clear_After,preschool,hanna,2012-04-26,,English,,,,,,male
tvLFd,10,3,fem_plain,mal_sws,2,trousers,nose,trousers,nose,trousers,fem_plain_mal_sws,critical,3/22/2017,13:33,right,false,1961,2,1_2_1_1,word_2_word_1,far,trousers,Clear_After,preschool,hanna,2012-04-26,,English,,,,,,male
tvLFd,10,3,fem_plain,mal_sws,3,trousers,nose,trousers,nose,trousers,fem_plain_mal_sws,critical,3/22/2017,13:33,left,false,2287,2,1_2_1_1,word_2_word_1,far,nose,Clear_After,preschool,hanna,2012-04-26,,English,,,,,,male
tvLFd,11,24,fem_plain,mal_sws,1,fish,sink,fish,sink,fish,fem_plain_mal_sws,critical,3/22/2017,13:33,left,false,3704,1,2_1_2_1,word_1_word_2,far,sink,Clear_After,preschool,hanna,2012-04-26,,English,,,,,,male
tvLFd,11,24,fem_plain,mal_sws,2,fish,sink,fish,sink,fish,fem_plain_mal_sws,critical,3/22/2017,13:33,right,false,2205,1,2_1_2_1,word_1_word_2,far,fish,Clear_After,preschool,hanna,2012-04-26,,English,,,,,,male
tvLFd,11,24,fem_plain,mal_sws,3,fish,sink,fish,sink,fish,fem_plain_mal_sws,critical,3/22/2017,13:33,left,false,2633,1,2_1_2_1,word_1_word_2,far,sink,Clear_After,preschool,hanna,2012-04-26,,English,,,,,,male
tvLFd,12,23,fem_plain,mal_sws,1,bath,teddy_bear,teddy_bear,bath,teddy_bear,fem_plain_mal_sws,critical,3/22/2017,13:33,left,true,3810,1,2_1_1_1,word_1_word_2,near,bath,Clear_After,preschool,hanna,2012-04-26,,English,,,,,,male
tvLFd,12,23,fem_plain,mal_sws,2,bath,teddy_bear,teddy_bear,bath,teddy_bear,fem_plain_mal_sws,critical,3/22/2017,13:33,left,false,2980,2,2_1_1_1,word_1_word_2,near,bath,Clear_After,preschool,hanna,2012-04-26,,English,,,,,,male
tvLFd,12,23,fem_plain,mal_sws,3,bath,teddy_bear,teddy_bear,bath,teddy_bear,fem_plain_mal_sws,critical,3/22/2017,13:33,right,true,2478,1,2_1_1_1,word_1_word_2,near,teddy_bear,Clear_After,preschool,hanna,2012-04-26,,English,,,,,,male
tvLFd,13,8,fem_plain,mal_sws,1,wellyboots,fire_engine,fire_engine,fire_engine,wellyboots,fem_plain_mal_sws,critical,3/22/2017,13:33,left,false,3749,2,2_1_1_1,word_2_word_1,near,fire_engine,Clear_After,preschool,hanna,2012-04-26,,English,,,,,,male
tvLFd,13,8,fem_plain,mal_sws,2,wellyboots,fire_engine,fire_engine,fire_engine,wellyboots,fem_plain_mal_sws,critical,3/22/2017,13:33,right,false,2641,1,2_1_1_1,word_2_word_1,near,wellyboots,Clear_After,preschool,hanna,2012-04-26,,English,,,,,,male
tvLFd,13,8,fem_plain,mal_sws,3,wellyboots,fire_engine,fire_engine,fire_engine,wellyboots,fem_plain_mal_sws,critical,3/22/2017,13:33,left,true,3172,1,2_1_1_1,word_2_word_1,near,fire_engine,Clear_After,preschool,hanna,2012-04-26,,English,,,,,,male
tvLFd,14,21,fem_plain,mal_sws,1,frog,sheep,sheep,sheep,frog,fem_plain_mal_sws,critical,3/22/2017,13:33,left,false,4789,2,1_2_2_1,word_2_word_1,near,sheep,Clear_After,preschool,hanna,2012-04-26,,English,,,,,,male
tvLFd,14,21,fem_plain,mal_sws,2,frog,sheep,sheep,sheep,frog,fem_plain_mal_sws,critical,3/22/2017,13:33,right,false,2749,1,1_2_2_1,word_2_word_1,near,frog,Clear_After,preschool,hanna,2012-04-26,,English,,,,,,male
tvLFd,14,21,fem_plain,mal_sws,3,frog,sheep,sheep,sheep,frog,fem_plain_mal_sws,critical,3/22/2017,13:33,left,true,1840,1,1_2_2_1,word_2_word_1,near,sheep,Clear_After,preschool,hanna,2012-04-26,,English,,,,,,male
tvLFd,15,18,fem_plain,mal_sws,1,ball,raspberry,raspberry,ball,raspberry,fem_plain_mal_sws,critical,3/22/2017,13:33,left,true,4819,2,2_1_1_1,word_1_word_2,near,ball,Clear_After,preschool,hanna,2012-04-26,,English,,,,,,male
tvLFd,15,18,fem_plain,mal_sws,2,ball,raspberry,raspberry,ball,raspberry,fem_plain_mal_sws,critical,3/22/2017,13:33,left,false,2973,1,2_1_1_1,word_1_word_2,near,ball,Clear_After,preschool,hanna,2012-04-26,,English,,,,,,male
tvLFd,15,18,fem_plain,mal_sws,3,ball,raspberry,raspberry,ball,raspberry,fem_plain_mal_sws,critical,3/22/2017,13:33,right,true,2410,1,2_1_1_1,word_1_word_2,near,raspberry,Clear_After,preschool,hanna,2012-04-26,,English,,,,,,male
tvLFd,16,20,fem_plain,mal_sws,1,jumper,rabbit,rabbit,jumper,rabbit,fem_plain_mal_sws,critical,3/22/2017,13:33,left,true,3029,2,2_1_1_1,word_1_word_2,near,jumper,Clear_After,preschool,hanna,2012-04-26,,English,,,,,,male
tvLFd,16,20,fem_plain,mal_sws,2,jumper,rabbit,rabbit,jumper,rabbit,fem_plain_mal_sws,critical,3/22/2017,13:33,left,false,2217,1,2_1_1_1,word_1_word_2,near,jumper,Clear_After,preschool,hanna,2012-04-26,,English,,,,,,male
tvLFd,16,20,fem_plain,mal_sws,3,jumper,rabbit,rabbit,jumper,rabbit,fem_plain_mal_sws,critical,3/22/2017,13:33,right,true,2060,1,2_1_1_1,word_1_word_2,near,rabbit,Clear_After,preschool,hanna,2012-04-26,,English,,,,,,male
