subject_id,trial_number,trial_id,plain,sws,instruction_number,sound1_item,sound2_item,sound3_item,left_image,right_image,sound_gender,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,pic_position,distance,chosen_pic,test_lang,testing_loc,tester,date_of_birth,ethnicity,native_lang,other_langs,parental_occ,dev_info,birth_order,num_siblings,gender
uiBXd,1,0,mal_plain,fem_sws,1,fireman,glasses,fireman,fireman,glasses,mal_plain_fem_sws,training,3/28/2017,10:24,left,true,6807,5,1_2_1_1,word_1_word_2,far,fireman,Clear_After,lab,hanna,2014-06-17,,English,Spanish  some Italian ,,,2,1,male
uiBXd,1,0,mal_plain,fem_sws,2,fireman,glasses,fireman,fireman,glasses,mal_plain_fem_sws,training,3/28/2017,10:24,left,false,21591,10,1_2_1_1,word_1_word_2,far,fireman,Clear_After,lab,hanna,2014-06-17,,English,Spanish  some Italian ,,,2,1,male
uiBXd,1,0,mal_plain,fem_sws,3,fireman,glasses,fireman,fireman,glasses,mal_plain_fem_sws,training,3/28/2017,10:24,right,false,6174,3,1_2_1_1,word_1_word_2,far,glasses,Clear_After,lab,hanna,2014-06-17,,English,Spanish  some Italian ,,,2,1,male
uiBXd,2,8,mal_plain,fem_sws,1,fire_engine,wellyboots,fire_engine,fire_engine,wellyboots,mal_plain_fem_sws,critical,3/28/2017,10:24,left,true,7840,5,2_1_2_1,word_2_word_1,far,fire_engine,Clear_After,lab,hanna,2014-06-17,,English,Spanish  some Italian ,,,2,1,male
uiBXd,2,8,mal_plain,fem_sws,2,fire_engine,wellyboots,fire_engine,fire_engine,wellyboots,mal_plain_fem_sws,critical,3/28/2017,10:24,left,false,3978,2,2_1_2_1,word_2_word_1,far,fire_engine,Clear_After,lab,hanna,2014-06-17,,English,Spanish  some Italian ,,,2,1,male
uiBXd,2,8,mal_plain,fem_sws,3,fire_engine,wellyboots,fire_engine,fire_engine,wellyboots,mal_plain_fem_sws,critical,3/28/2017,10:24,right,false,3139,2,2_1_2_1,word_2_word_1,far,wellyboots,Clear_After,lab,hanna,2014-06-17,,English,Spanish  some Italian ,,,2,1,male
uiBXd,3,2,mal_plain,fem_sws,1,bed,chicken,chicken,bed,chicken,mal_plain_fem_sws,critical,3/28/2017,10:24,right,false,5790,4,1_2_2_1,word_1_word_2,near,chicken,Clear_After,lab,hanna,2014-06-17,,English,Spanish  some Italian ,,,2,1,male
uiBXd,3,2,mal_plain,fem_sws,2,bed,chicken,chicken,bed,chicken,mal_plain_fem_sws,critical,3/28/2017,10:24,left,false,4045,2,1_2_2_1,word_1_word_2,near,bed,Clear_After,lab,hanna,2014-06-17,,English,Spanish  some Italian ,,,2,1,male
uiBXd,3,2,mal_plain,fem_sws,3,bed,chicken,chicken,bed,chicken,mal_plain_fem_sws,critical,3/28/2017,10:24,right,true,3823,2,1_2_2_1,word_1_word_2,near,chicken,Clear_After,lab,hanna,2014-06-17,,English,Spanish  some Italian ,,,2,1,male
uiBXd,4,6,mal_plain,fem_sws,1,bird,peas,peas,peas,bird,mal_plain_fem_sws,critical,3/28/2017,10:24,right,true,9290,4,2_1_1_1,word_2_word_1,near,bird,Clear_After,lab,hanna,2014-06-17,,English,Spanish  some Italian ,,,2,1,male
uiBXd,4,6,mal_plain,fem_sws,2,bird,peas,peas,peas,bird,mal_plain_fem_sws,critical,3/28/2017,10:24,right,false,3878,2,2_1_1_1,word_2_word_1,near,bird,Clear_After,lab,hanna,2014-06-17,,English,Spanish  some Italian ,,,2,1,male
uiBXd,4,6,mal_plain,fem_sws,3,bird,peas,peas,peas,bird,mal_plain_fem_sws,critical,3/28/2017,10:24,left,true,2836,1,2_1_1_1,word_2_word_1,near,peas,Clear_After,lab,hanna,2014-06-17,,English,Spanish  some Italian ,,,2,1,male
uiBXd,5,1,mal_plain,fem_sws,1,baby,spoon,spoon,baby,spoon,mal_plain_fem_sws,critical,3/28/2017,10:24,right,false,8720,2,1_2_2_1,word_2_word_1,near,spoon,Clear_After,lab,hanna,2014-06-17,,English,Spanish  some Italian ,,,2,1,male
uiBXd,5,1,mal_plain,fem_sws,2,baby,spoon,spoon,baby,spoon,mal_plain_fem_sws,critical,3/28/2017,10:24,left,false,3044,1,1_2_2_1,word_2_word_1,near,baby,Clear_After,lab,hanna,2014-06-17,,English,Spanish  some Italian ,,,2,1,male
uiBXd,5,1,mal_plain,fem_sws,3,baby,spoon,spoon,baby,spoon,mal_plain_fem_sws,critical,3/28/2017,10:24,right,true,3177,1,1_2_2_1,word_2_word_1,near,spoon,Clear_After,lab,hanna,2014-06-17,,English,Spanish  some Italian ,,,2,1,male
uiBXd,6,4,mal_plain,fem_sws,1,coat,strawberry,coat,coat,strawberry,mal_plain_fem_sws,critical,3/28/2017,10:24,right,false,9089,2,2_1_2_1,word_1_word_2,far,strawberry,Clear_After,lab,hanna,2014-06-17,,English,Spanish  some Italian ,,,2,1,male
uiBXd,6,4,mal_plain,fem_sws,2,coat,strawberry,coat,coat,strawberry,mal_plain_fem_sws,critical,3/28/2017,10:24,left,false,3200,2,2_1_2_1,word_1_word_2,far,coat,Clear_After,lab,hanna,2014-06-17,,English,Spanish  some Italian ,,,2,1,male
uiBXd,6,4,mal_plain,fem_sws,3,coat,strawberry,coat,coat,strawberry,mal_plain_fem_sws,critical,3/28/2017,10:24,right,false,2897,1,2_1_2_1,word_1_word_2,far,strawberry,Clear_After,lab,hanna,2014-06-17,,English,Spanish  some Italian ,,,2,1,male
uiBXd,7,7,mal_plain,fem_sws,1,horse,lolly,horse,horse,lolly,mal_plain_fem_sws,critical,3/28/2017,10:24,right,false,3673,4,1_2_1_1,word_2_word_1,far,lolly,Clear_After,lab,hanna,2014-06-17,,English,Spanish  some Italian ,,,2,1,male
uiBXd,7,7,mal_plain,fem_sws,2,horse,lolly,horse,horse,lolly,mal_plain_fem_sws,critical,3/28/2017,10:24,left,false,3761,2,1_2_1_1,word_2_word_1,far,horse,Clear_After,lab,hanna,2014-06-17,,English,Spanish  some Italian ,,,2,1,male
uiBXd,7,7,mal_plain,fem_sws,3,horse,lolly,horse,horse,lolly,mal_plain_fem_sws,critical,3/28/2017,10:24,right,false,3368,2,1_2_1_1,word_2_word_1,far,lolly,Clear_After,lab,hanna,2014-06-17,,English,Spanish  some Italian ,,,2,1,male
uiBXd,8,14,mal_plain,fem_sws,1,shoes,cheese,cheese,cheese,shoes,mal_plain_fem_sws,critical,3/28/2017,10:24,right,true,5364,2,2_1_1_1,word_1_word_2,near,shoes,Clear_After,lab,hanna,2014-06-17,,English,Spanish  some Italian ,,,2,1,male
