subject_id,trial_number,trial_id,plain,sws,instruction_number,sound1_item,sound2_item,sound3_item,left_image,right_image,sound_gender,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,pic_position,distance,chosen_pic,test_lang,testing_loc,tester,date_of_birth,ethnicity,native_lang,other_langs,parental_occ,dev_info,birth_order,num_siblings,gender
vdb7f,1,0,fem_plain,mal_sws,1,fireman,glasses,fireman,glasses,fireman,fem_plain_mal_sws,training,3/16/2017,10:34,right,true,9847,2,2_1_2_1,word_2_word_1,far,fireman,Clear_Before,preschool,hanna,2013-10-27,,English,,,,,,female
vdb7f,1,0,fem_plain,mal_sws,2,fireman,glasses,fireman,glasses,fireman,fem_plain_mal_sws,training,3/16/2017,10:34,left,true,3167,2,2_1_2_1,word_2_word_1,far,glasses,Clear_Before,preschool,hanna,2013-10-27,,English,,,,,,female
vdb7f,1,0,fem_plain,mal_sws,3,fireman,glasses,fireman,glasses,fireman,fem_plain_mal_sws,training,3/16/2017,10:34,right,true,5582,4,2_1_2_1,word_2_word_1,far,fireman,Clear_Before,preschool,hanna,2013-10-27,,English,,,,,,female
vdb7f,2,20,fem_plain,mal_sws,1,jumper,rabbit,rabbit,rabbit,jumper,fem_plain_mal_sws,critical,3/16/2017,10:34,right,true,2687,2,1_2_2_1,word_2_word_1,near,jumper,Clear_Before,preschool,hanna,2013-10-27,,English,,,,,,female
vdb7f,2,20,fem_plain,mal_sws,2,jumper,rabbit,rabbit,rabbit,jumper,fem_plain_mal_sws,critical,3/16/2017,10:34,left,true,2361,1,1_2_2_1,word_2_word_1,near,rabbit,Clear_Before,preschool,hanna,2013-10-27,,English,,,,,,female
vdb7f,2,20,fem_plain,mal_sws,3,jumper,rabbit,rabbit,rabbit,jumper,fem_plain_mal_sws,critical,3/16/2017,10:34,left,true,12420,6,1_2_2_1,word_2_word_1,near,rabbit,Clear_Before,preschool,hanna,2013-10-27,,English,,,,,,female
vdb7f,3,7,fem_plain,mal_sws,1,lolly,horse,lolly,lolly,horse,fem_plain_mal_sws,critical,3/16/2017,10:34,left,true,3657,2,2_1_2_1,word_1_word_2,far,lolly,Clear_Before,preschool,hanna,2013-10-27,,English,,,,,,female
vdb7f,3,7,fem_plain,mal_sws,2,lolly,horse,lolly,lolly,horse,fem_plain_mal_sws,critical,3/16/2017,10:34,right,true,2391,2,2_1_2_1,word_1_word_2,far,horse,Clear_Before,preschool,hanna,2013-10-27,,English,,,,,,female
vdb7f,3,7,fem_plain,mal_sws,3,lolly,horse,lolly,lolly,horse,fem_plain_mal_sws,critical,3/16/2017,10:34,left,true,6378,1,2_1_2_1,word_1_word_2,far,lolly,Clear_Before,preschool,hanna,2013-10-27,,English,,,,,,female
vdb7f,4,16,fem_plain,mal_sws,1,paintbrush,banana,banana,paintbrush,banana,fem_plain_mal_sws,critical,3/16/2017,10:34,left,true,3181,2,2_1_1_1,word_1_word_2,near,paintbrush,Clear_Before,preschool,hanna,2013-10-27,,English,,,,,,female
vdb7f,4,16,fem_plain,mal_sws,2,paintbrush,banana,banana,paintbrush,banana,fem_plain_mal_sws,critical,3/16/2017,10:34,right,true,2438,3,2_1_1_1,word_1_word_2,near,banana,Clear_Before,preschool,hanna,2013-10-27,,English,,,,,,female
vdb7f,4,16,fem_plain,mal_sws,3,paintbrush,banana,banana,paintbrush,banana,fem_plain_mal_sws,critical,3/16/2017,10:34,right,true,6590,2,2_1_1_1,word_1_word_2,near,banana,Clear_Before,preschool,hanna,2013-10-27,,English,,,,,,female
vdb7f,5,21,fem_plain,mal_sws,1,frog,sheep,frog,frog,sheep,fem_plain_mal_sws,critical,3/16/2017,10:34,left,true,3190,2,2_1_2_1,word_1_word_2,far,frog,Clear_Before,preschool,hanna,2013-10-27,,English,,,,,,female
vdb7f,5,21,fem_plain,mal_sws,2,frog,sheep,frog,frog,sheep,fem_plain_mal_sws,critical,3/16/2017,10:34,right,true,2391,2,2_1_2_1,word_1_word_2,far,sheep,Clear_Before,preschool,hanna,2013-10-27,,English,,,,,,female
vdb7f,5,21,fem_plain,mal_sws,3,frog,sheep,frog,frog,sheep,fem_plain_mal_sws,critical,3/16/2017,10:34,left,true,6119,2,2_1_2_1,word_1_word_2,far,frog,Clear_Before,preschool,hanna,2013-10-27,,English,,,,,,female
vdb7f,6,6,fem_plain,mal_sws,1,bird,peas,peas,peas,bird,fem_plain_mal_sws,critical,3/16/2017,10:34,right,true,2487,2,1_2_2_1,word_2_word_1,near,bird,Clear_Before,preschool,hanna,2013-10-27,,English,,,,,,female
vdb7f,6,6,fem_plain,mal_sws,2,bird,peas,peas,peas,bird,fem_plain_mal_sws,critical,3/16/2017,10:34,left,true,2160,1,1_2_2_1,word_2_word_1,near,peas,Clear_Before,preschool,hanna,2013-10-27,,English,,,,,,female
vdb7f,6,6,fem_plain,mal_sws,3,bird,peas,peas,peas,bird,fem_plain_mal_sws,critical,3/16/2017,10:34,left,true,5446,2,1_2_2_1,word_2_word_1,near,peas,Clear_Before,preschool,hanna,2013-10-27,,English,,,,,,female
