subject_id,trial_number,trial_id,plain,sws,instruction_number,sound1_item,sound2_item,sound3_item,left_image,right_image,sound_gender,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,pic_position,distance,chosen_pic,test_lang,testing_loc,tester,date_of_birth,ethnicity,native_lang,other_langs,parental_occ,dev_info,birth_order,num_siblings,gender
x8yTb,1,0,mal_plain,mal_sws,1,glasses,fireman,glasses,fireman,glasses,mal_plain_mal_sws,training,3/15/2017,10:11,right,true,6959,2,1_2_1_1,word_1_word_2,far,glasses,Clear_Before,lab,barbora,2012-12-31,,,,,,,0,male
x8yTb,1,0,mal_plain,mal_sws,2,glasses,fireman,glasses,fireman,glasses,mal_plain_mal_sws,training,3/15/2017,10:11,left,true,3118,4,1_2_1_1,word_1_word_2,far,fireman,Clear_Before,lab,barbora,2012-12-31,,,,,,,0,male
x8yTb,1,0,mal_plain,mal_sws,3,glasses,fireman,glasses,fireman,glasses,mal_plain_mal_sws,training,3/15/2017,10:11,right,true,10490,4,1_2_1_1,word_1_word_2,far,glasses,Clear_Before,lab,barbora,2012-12-31,,,,,,,0,male
x8yTb,2,24,mal_plain,mal_sws,1,sink,fish,fish,sink,fish,mal_plain_mal_sws,critical,3/15/2017,10:11,left,true,3199,2,1_2_2_1,word_1_word_2,near,sink,Clear_Before,lab,barbora,2012-12-31,,,,,,,0,male
x8yTb,2,24,mal_plain,mal_sws,2,sink,fish,fish,sink,fish,mal_plain_mal_sws,critical,3/15/2017,10:11,right,true,2717,2,1_2_2_1,word_1_word_2,near,fish,Clear_Before,lab,barbora,2012-12-31,,,,,,,0,male
x8yTb,2,24,mal_plain,mal_sws,3,sink,fish,fish,sink,fish,mal_plain_mal_sws,critical,3/15/2017,10:11,right,true,6189,2,1_2_2_1,word_1_word_2,near,fish,Clear_Before,lab,barbora,2012-12-31,,,,,,,0,male
x8yTb,3,17,mal_plain,mal_sws,1,ambulance,cake,ambulance,cake,ambulance,mal_plain_mal_sws,critical,3/15/2017,10:11,right,true,2372,3,1_2_1_1,word_1_word_2,far,ambulance,Clear_Before,lab,barbora,2012-12-31,,,,,,,0,male
x8yTb,3,17,mal_plain,mal_sws,2,ambulance,cake,ambulance,cake,ambulance,mal_plain_mal_sws,critical,3/15/2017,10:11,left,true,2325,1,1_2_1_1,word_1_word_2,far,cake,Clear_Before,lab,barbora,2012-12-31,,,,,,,0,male
x8yTb,3,17,mal_plain,mal_sws,3,ambulance,cake,ambulance,cake,ambulance,mal_plain_mal_sws,critical,3/15/2017,10:11,left,false,5899,2,1_2_1_1,word_1_word_2,far,cake,Clear_Before,lab,barbora,2012-12-31,,,,,,,0,male
x8yTb,4,3,mal_plain,mal_sws,1,trousers,nose,nose,nose,trousers,mal_plain_mal_sws,critical,3/15/2017,10:11,right,true,2616,2,1_2_2_1,word_2_word_1,near,trousers,Clear_Before,lab,barbora,2012-12-31,,,,,,,0,male
x8yTb,4,3,mal_plain,mal_sws,2,trousers,nose,nose,nose,trousers,mal_plain_mal_sws,critical,3/15/2017,10:11,left,true,2648,2,1_2_2_1,word_2_word_1,near,nose,Clear_Before,lab,barbora,2012-12-31,,,,,,,0,male
x8yTb,4,3,mal_plain,mal_sws,3,trousers,nose,nose,nose,trousers,mal_plain_mal_sws,critical,3/15/2017,10:11,left,true,7489,2,1_2_2_1,word_2_word_1,near,nose,Clear_Before,lab,barbora,2012-12-31,,,,,,,0,male
x8yTb,5,16,mal_plain,mal_sws,1,banana,paintbrush,paintbrush,paintbrush,banana,mal_plain_mal_sws,critical,3/15/2017,10:11,right,true,2984,2,2_1_1_1,word_1_word_2,near,banana,Clear_Before,lab,barbora,2012-12-31,,,,,,,0,male
x8yTb,5,16,mal_plain,mal_sws,2,banana,paintbrush,paintbrush,paintbrush,banana,mal_plain_mal_sws,critical,3/15/2017,10:11,left,true,3009,2,2_1_1_1,word_1_word_2,near,paintbrush,Clear_Before,lab,barbora,2012-12-31,,,,,,,0,male
x8yTb,5,16,mal_plain,mal_sws,3,banana,paintbrush,paintbrush,paintbrush,banana,mal_plain_mal_sws,critical,3/15/2017,10:11,left,true,3545,2,2_1_1_1,word_1_word_2,near,paintbrush,Clear_Before,lab,barbora,2012-12-31,,,,,,,0,male
x8yTb,6,23,mal_plain,mal_sws,1,bath,teddy_bear,bath,teddy_bear,bath,mal_plain_mal_sws,critical,3/15/2017,10:11,right,true,2636,2,2_1_2_1,word_2_word_1,far,bath,Clear_Before,lab,barbora,2012-12-31,,,,,,,0,male
x8yTb,6,23,mal_plain,mal_sws,2,bath,teddy_bear,bath,teddy_bear,bath,mal_plain_mal_sws,critical,3/15/2017,10:11,left,true,2337,2,2_1_2_1,word_2_word_1,far,teddy_bear,Clear_Before,lab,barbora,2012-12-31,,,,,,,0,male
