subject_id,trial_number,trial_id,plain,sws,instruction_number,sound1_item,sound2_item,sound3_item,left_image,right_image,sound_gender,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,pic_position,distance,chosen_pic,test_lang,testing_loc,tester,date_of_birth,ethnicity,native_lang,other_langs,parental_occ,dev_info,birth_order,num_siblings,gender
z5zkc,1,0,mal_plain,fem_sws,1,fireman,glasses,glasses,fireman,glasses,mal_plain_fem_sws,training,4/7/2017,11:48,right,false,8241,6,2_1_1_1,word_1_word_2,near,glasses,Clear_After,lab,hanna,2014-08-21,,English,,,,1,1,female
z5zkc,1,0,mal_plain,fem_sws,2,fireman,glasses,glasses,fireman,glasses,mal_plain_fem_sws,training,4/7/2017,11:48,left,false,2302,2,2_1_1_1,word_1_word_2,near,fireman,Clear_After,lab,hanna,2014-08-21,,English,,,,1,1,female
z5zkc,1,0,mal_plain,fem_sws,3,fireman,glasses,glasses,fireman,glasses,mal_plain_fem_sws,training,4/7/2017,11:48,right,true,2556,1,2_1_1_1,word_1_word_2,near,glasses,Clear_After,lab,hanna,2014-08-21,,English,,,,1,1,female
z5zkc,2,4,mal_plain,fem_sws,1,strawberry,coat,strawberry,strawberry,coat,mal_plain_fem_sws,critical,4/7/2017,11:48,right,false,6624,4,2_1_2_1,word_2_word_1,far,coat,Clear_After,lab,hanna,2014-08-21,,English,,,,1,1,female
z5zkc,2,4,mal_plain,fem_sws,2,strawberry,coat,strawberry,strawberry,coat,mal_plain_fem_sws,critical,4/7/2017,11:48,left,false,2808,2,2_1_2_1,word_2_word_1,far,strawberry,Clear_After,lab,hanna,2014-08-21,,English,,,,1,1,female
z5zkc,2,4,mal_plain,fem_sws,3,strawberry,coat,strawberry,strawberry,coat,mal_plain_fem_sws,critical,4/7/2017,11:48,right,false,3225,2,2_1_2_1,word_2_word_1,far,coat,Clear_After,lab,hanna,2014-08-21,,English,,,,1,1,female
z5zkc,3,11,mal_plain,fem_sws,1,lorry,book,book,book,lorry,mal_plain_fem_sws,critical,4/7/2017,11:48,right,true,6292,4,2_1_1_1,word_1_word_2,near,lorry,Clear_After,lab,hanna,2014-08-21,,English,,,,1,1,female
z5zkc,3,11,mal_plain,fem_sws,2,lorry,book,book,book,lorry,mal_plain_fem_sws,critical,4/7/2017,11:48,right,false,2665,1,2_1_1_1,word_1_word_2,near,lorry,Clear_After,lab,hanna,2014-08-21,,English,,,,1,1,female
z5zkc,3,11,mal_plain,fem_sws,3,lorry,book,book,book,lorry,mal_plain_fem_sws,critical,4/7/2017,11:48,left,true,2484,1,2_1_1_1,word_1_word_2,near,book,Clear_After,lab,hanna,2014-08-21,,English,,,,1,1,female
z5zkc,4,21,mal_plain,fem_sws,1,frog,sheep,frog,sheep,frog,mal_plain_fem_sws,critical,4/7/2017,11:48,right,true,3247,2,1_2_1_1,word_2_word_1,far,frog,Clear_After,lab,hanna,2014-08-21,,English,,,,1,1,female
z5zkc,4,21,mal_plain,fem_sws,2,frog,sheep,frog,sheep,frog,mal_plain_fem_sws,critical,4/7/2017,11:48,right,false,3515,2,1_2_1_1,word_2_word_1,far,frog,Clear_After,lab,hanna,2014-08-21,,English,,,,1,1,female
