subject_id,trial_number,trial_id,plain,sws,instruction_number,sound1_item,sound2_item,sound3_item,left_image,right_image,sound_gender,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,pic_position,distance,chosen_pic,test_lang,testing_loc,tester,date_of_birth,ethnicity,native_lang,other_langs,parental_occ,dev_info,birth_order,num_siblings,gender
zk3rm,1,0,fem_plain,fem_sws,1,glasses,fireman,fireman,fireman,glasses,fem_plain_fem_sws,training,3/9/2017,14:12,right,true,4784,6,1_2_2_1,word_1_word_2,near,glasses,Clear_Before,preschool,hanna,2012-11-24,,English,,,,3,2,male
zk3rm,1,0,fem_plain,fem_sws,2,glasses,fireman,fireman,fireman,glasses,fem_plain_fem_sws,training,3/9/2017,14:12,left,true,1749,4,1_2_2_1,word_1_word_2,near,fireman,Clear_Before,preschool,hanna,2012-11-24,,English,,,,3,2,male
zk3rm,1,0,fem_plain,fem_sws,3,glasses,fireman,fireman,fireman,glasses,fem_plain_fem_sws,training,3/9/2017,14:12,left,true,4010,4,1_2_2_1,word_1_word_2,near,fireman,Clear_Before,preschool,hanna,2012-11-24,,English,,,,3,2,male
zk3rm,2,18,fem_plain,fem_sws,1,ball,raspberry,raspberry,ball,raspberry,fem_plain_fem_sws,critical,3/9/2017,14:12,left,true,2928,2,1_2_2_1,word_1_word_2,near,ball,Clear_Before,preschool,hanna,2012-11-24,,English,,,,3,2,male
zk3rm,2,18,fem_plain,fem_sws,2,ball,raspberry,raspberry,ball,raspberry,fem_plain_fem_sws,critical,3/9/2017,14:12,right,true,2559,2,1_2_2_1,word_1_word_2,near,raspberry,Clear_Before,preschool,hanna,2012-11-24,,English,,,,3,2,male
zk3rm,2,18,fem_plain,fem_sws,3,ball,raspberry,raspberry,ball,raspberry,fem_plain_fem_sws,critical,3/9/2017,14:12,right,true,15868,4,1_2_2_1,word_1_word_2,near,raspberry,Clear_Before,preschool,hanna,2012-11-24,,English,,,,3,2,male
zk3rm,3,19,fem_plain,fem_sws,1,building_blocks,santa,building_blocks,building_blocks,santa,fem_plain_fem_sws,critical,3/9/2017,14:12,left,true,2524,4,1_2_1_1,word_2_word_1,far,building_blocks,Clear_Before,preschool,hanna,2012-11-24,,English,,,,3,2,male
zk3rm,3,19,fem_plain,fem_sws,2,building_blocks,santa,building_blocks,building_blocks,santa,fem_plain_fem_sws,critical,3/9/2017,14:12,right,true,3051,2,1_2_1_1,word_2_word_1,far,santa,Clear_Before,preschool,hanna,2012-11-24,,English,,,,3,2,male
zk3rm,3,19,fem_plain,fem_sws,3,building_blocks,santa,building_blocks,building_blocks,santa,fem_plain_fem_sws,critical,3/9/2017,14:12,right,false,5177,6,1_2_1_1,word_2_word_1,far,santa,Clear_Before,preschool,hanna,2012-11-24,,English,,,,3,2,male
zk3rm,4,4,fem_plain,fem_sws,1,coat,strawberry,coat,coat,strawberry,fem_plain_fem_sws,critical,3/9/2017,14:12,left,true,2889,2,2_1_2_1,word_1_word_2,far,coat,Clear_Before,preschool,hanna,2012-11-24,,English,,,,3,2,male
