item,cdi_item
airplane,airplane
ambulance,ambulance
baby,baby
ball,ball
banana,banana
bath,bath
bed,bed
bike,bicycle
bird,bird
book,book
building_blocks,block
cake,cake
car,car
cheese,cheese
chicken,chicken (animal)
coat,coat
dog,dog
fire_engine,firetruck
fish,fish (animal)
foot,foot
frog,frog
horse,horse
jumper,sweater
lolly,lollipop
lorry,truck
nose,nose
orange,orange (food)
paintbrush,paintbrush
peas,peas
pencil,pencil
pig,pig
pizza,pizza
rabbit,bunny
raspberry,raspberry
santa,santa
sheep,sheep
shoes,shoe
sink,sink
slide,slide (object)
spoon,spoon
strawberry,strawberry
teddy_bear,teddybear
toothbrush,toothbrush
trousers,pants
tshirt,shirt
wellyboots,wellyboots
window,window
yoghurt,yogurt
