subject_id,trial_number,trial_id,plain,sws,instruction_number,sound1_item,sound2_item,sound3_item,top_image,left_image,right_image,sound_gender,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,pic_position,distance,chosen_pic,test_lang,testing_loc,tester,date_of_birth,ethnicity,native_lang,other_langs,parental_occ,dev_info,birth_order,num_siblings,gender
1ocFs,1,0,mal_plain,mal_sws,1,glasses,tractor,fireman,fireman,tractor,glasses,mal_plain_mal_sws,training,2/23/2017,17:45,right,true,3673,1,2_1_1_0,word_1_word_3_word_2,different,glasses,English_Speech,adult,megan,,,,,,,,,male
1ocFs,1,0,mal_plain,mal_sws,2,glasses,tractor,fireman,fireman,tractor,glasses,mal_plain_mal_sws,training,2/23/2017,17:45,left,true,3578,1,2_1_1_0,word_1_word_3_word_2,different,tractor,English_Speech,adult,megan,,,,,,,,,male
1ocFs,1,0,mal_plain,mal_sws,3,glasses,tractor,fireman,fireman,tractor,glasses,mal_plain_mal_sws,training,2/23/2017,17:45,top_img,true,6886,4,2_1_1_0,word_1_word_3_word_2,different,fireman,English_Speech,adult,megan,,,,,,,,,male
1ocFs,2,15,mal_plain,mal_sws,1,slide,pencil,pencil,pencil,beans,slide,mal_plain_mal_sws,critical,2/23/2017,17:45,right,true,2980,1,2_1_1_1,word_2_word_3_word_1,near,slide,English_Speech,adult,megan,,,,,,,,,male
1ocFs,2,15,mal_plain,mal_sws,2,slide,pencil,pencil,pencil,beans,slide,mal_plain_mal_sws,critical,2/23/2017,17:45,top_img,true,2142,1,2_1_1_1,word_2_word_3_word_1,near,pencil,English_Speech,adult,megan,,,,,,,,,male
1ocFs,2,15,mal_plain,mal_sws,3,slide,pencil,pencil,pencil,beans,slide,mal_plain_mal_sws,critical,2/23/2017,17:45,top_img,true,2264,3,2_1_1_1,word_2_word_3_word_1,near,pencil,English_Speech,adult,megan,,,,,,,,,male
1ocFs,3,12,mal_plain,mal_sws,1,gloves,foot,yoghurt,gloves,foot,yoghurt,mal_plain_mal_sws,critical,2/23/2017,17:45,top_img,true,2961,1,2_1_1_0,word_3_word_1_word_2,different,gloves,English_Speech,adult,megan,,,,,,,,,male
1ocFs,3,12,mal_plain,mal_sws,2,gloves,foot,yoghurt,gloves,foot,yoghurt,mal_plain_mal_sws,critical,2/23/2017,17:45,left,true,2236,1,2_1_1_0,word_3_word_1_word_2,different,foot,English_Speech,adult,megan,,,,,,,,,male
1ocFs,3,12,mal_plain,mal_sws,3,gloves,foot,yoghurt,gloves,foot,yoghurt,mal_plain_mal_sws,critical,2/23/2017,17:45,right,true,1860,2,2_1_1_0,word_3_word_1_word_2,different,yoghurt,English_Speech,adult,megan,,,,,,,,,male
1ocFs,4,1,mal_plain,mal_sws,1,train,spoon,baby,baby,train,spoon,mal_plain_mal_sws,critical,2/23/2017,17:45,left,true,2667,1,2_1_2_0,word_2_word_3_word_1,different,train,English_Speech,adult,megan,,,,,,,,,male
1ocFs,4,1,mal_plain,mal_sws,2,train,spoon,baby,baby,train,spoon,mal_plain_mal_sws,critical,2/23/2017,17:45,right,true,1795,1,2_1_2_0,word_2_word_3_word_1,different,spoon,English_Speech,adult,megan,,,,,,,,,male
1ocFs,4,1,mal_plain,mal_sws,3,train,spoon,baby,baby,train,spoon,mal_plain_mal_sws,critical,2/23/2017,17:45,top_img,true,1549,2,2_1_2_0,word_2_word_3_word_1,different,baby,English_Speech,adult,megan,,,,,,,,,male
1ocFs,5,16,mal_plain,mal_sws,1,chair,banana,chair,banana,paintbrush,chair,mal_plain_mal_sws,critical,2/23/2017,17:45,right,true,4615,1,1_2_1_1,word_2_word_1_word_3,far,chair,English_Speech,adult,megan,,,,,,,,,male
1ocFs,5,16,mal_plain,mal_sws,2,chair,banana,chair,banana,paintbrush,chair,mal_plain_mal_sws,critical,2/23/2017,17:45,top_img,true,2014,1,1_2_1_1,word_2_word_1_word_3,far,banana,English_Speech,adult,megan,,,,,,,,,male
1ocFs,5,16,mal_plain,mal_sws,3,chair,banana,chair,banana,paintbrush,chair,mal_plain_mal_sws,critical,2/23/2017,17:45,right,true,2323,2,1_2_1_1,word_2_word_1_word_3,far,chair,English_Speech,adult,megan,,,,,,,,,male
1ocFs,6,17,mal_plain,mal_sws,1,hand,cake,hand,ambulance,cake,hand,mal_plain_mal_sws,critical,2/23/2017,17:45,right,true,2626,1,2_1_2_1,word_2_word_1_word_3,far,hand,English_Speech,adult,megan,,,,,,,,,male
1ocFs,6,17,mal_plain,mal_sws,2,hand,cake,hand,ambulance,cake,hand,mal_plain_mal_sws,critical,2/23/2017,17:45,left,true,1911,1,2_1_2_1,word_2_word_1_word_3,far,cake,English_Speech,adult,megan,,,,,,,,,male
1ocFs,6,17,mal_plain,mal_sws,3,hand,cake,hand,ambulance,cake,hand,mal_plain_mal_sws,critical,2/23/2017,17:45,right,true,2615,2,2_1_2_1,word_2_word_1_word_3,far,hand,English_Speech,adult,megan,,,,,,,,,male
1ocFs,7,19,mal_plain,mal_sws,1,building_blocks,santa,tree,building_blocks,tree,santa,mal_plain_mal_sws,critical,2/23/2017,17:45,top_img,true,3026,1,2_1_1_0,word_2_word_3_word_1,different,building_blocks,English_Speech,adult,megan,,,,,,,,,male
1ocFs,7,19,mal_plain,mal_sws,2,building_blocks,santa,tree,building_blocks,tree,santa,mal_plain_mal_sws,critical,2/23/2017,17:45,right,true,2410,1,2_1_1_0,word_2_word_3_word_1,different,santa,English_Speech,adult,megan,,,,,,,,,male
1ocFs,7,19,mal_plain,mal_sws,3,building_blocks,santa,tree,building_blocks,tree,santa,mal_plain_mal_sws,critical,2/23/2017,17:45,left,true,2162,1,2_1_1_0,word_2_word_3_word_1,different,tree,English_Speech,adult,megan,,,,,,,,,male
1ocFs,8,13,mal_plain,mal_sws,1,toothbrush,bread,bread,toothbrush,bread,airplane,mal_plain_mal_sws,critical,2/23/2017,17:45,top_img,true,1855,1,2_1_1_1,word_1_word_3_word_2,near,toothbrush,English_Speech,adult,megan,,,,,,,,,male
1ocFs,8,13,mal_plain,mal_sws,2,toothbrush,bread,bread,toothbrush,bread,airplane,mal_plain_mal_sws,critical,2/23/2017,17:45,left,true,2709,1,2_1_1_1,word_1_word_3_word_2,near,bread,English_Speech,adult,megan,,,,,,,,,male
1ocFs,8,13,mal_plain,mal_sws,3,toothbrush,bread,bread,toothbrush,bread,airplane,mal_plain_mal_sws,critical,2/23/2017,17:45,left,true,3169,1,2_1_1_1,word_1_word_3_word_2,near,bread,English_Speech,adult,megan,,,,,,,,,male
1ocFs,9,2,mal_plain,mal_sws,1,bed,fork,chicken,chicken,bed,fork,mal_plain_mal_sws,critical,2/23/2017,17:45,left,true,2945,1,1_2_2_0,word_2_word_1_word_3,different,bed,English_Speech,adult,megan,,,,,,,,,male
1ocFs,9,2,mal_plain,mal_sws,2,bed,fork,chicken,chicken,bed,fork,mal_plain_mal_sws,critical,2/23/2017,17:45,right,true,2108,1,1_2_2_0,word_2_word_1_word_3,different,fork,English_Speech,adult,megan,,,,,,,,,male
1ocFs,9,2,mal_plain,mal_sws,3,bed,fork,chicken,chicken,bed,fork,mal_plain_mal_sws,critical,2/23/2017,17:45,top_img,true,2531,1,1_2_2_0,word_2_word_1_word_3,different,chicken,English_Speech,adult,megan,,,,,,,,,male
1ocFs,10,4,mal_plain,mal_sws,1,strawberry,coat,strawberry,flower,strawberry,coat,mal_plain_mal_sws,critical,2/23/2017,17:45,left,true,1789,1,2_1_2_1,word_3_word_2_word_1,far,strawberry,English_Speech,adult,megan,,,,,,,,,male
1ocFs,10,4,mal_plain,mal_sws,2,strawberry,coat,strawberry,flower,strawberry,coat,mal_plain_mal_sws,critical,2/23/2017,17:45,right,true,2231,1,2_1_2_1,word_3_word_2_word_1,far,coat,English_Speech,adult,megan,,,,,,,,,male
1ocFs,10,4,mal_plain,mal_sws,3,strawberry,coat,strawberry,flower,strawberry,coat,mal_plain_mal_sws,critical,2/23/2017,17:45,left,true,2181,1,2_1_2_1,word_3_word_2_word_1,far,strawberry,English_Speech,adult,megan,,,,,,,,,male
1ocFs,11,24,mal_plain,mal_sws,1,fish,socks,sink,sink,socks,fish,mal_plain_mal_sws,critical,2/23/2017,17:45,right,true,2058,1,2_1_1_0,word_1_word_3_word_2,different,fish,English_Speech,adult,megan,,,,,,,,,male
1ocFs,11,24,mal_plain,mal_sws,2,fish,socks,sink,sink,socks,fish,mal_plain_mal_sws,critical,2/23/2017,17:45,left,true,2076,1,2_1_1_0,word_1_word_3_word_2,different,socks,English_Speech,adult,megan,,,,,,,,,male
1ocFs,11,24,mal_plain,mal_sws,3,fish,socks,sink,sink,socks,fish,mal_plain_mal_sws,critical,2/23/2017,17:45,top_img,true,2349,1,2_1_1_0,word_1_word_3_word_2,different,sink,English_Speech,adult,megan,,,,,,,,,male
1ocFs,12,9,mal_plain,mal_sws,1,grapes,pizza,grapes,pizza,grapes,window,mal_plain_mal_sws,critical,2/23/2017,17:45,left,true,2368,1,1_2_1_1,word_1_word_3_word_2,far,grapes,English_Speech,adult,megan,,,,,,,,,male
1ocFs,12,9,mal_plain,mal_sws,2,grapes,pizza,grapes,pizza,grapes,window,mal_plain_mal_sws,critical,2/23/2017,17:45,top_img,true,2076,1,1_2_1_1,word_1_word_3_word_2,far,pizza,English_Speech,adult,megan,,,,,,,,,male
1ocFs,12,9,mal_plain,mal_sws,3,grapes,pizza,grapes,pizza,grapes,window,mal_plain_mal_sws,critical,2/23/2017,17:45,left,true,2778,1,1_2_1_1,word_1_word_3_word_2,far,grapes,English_Speech,adult,megan,,,,,,,,,male
1ocFs,13,10,mal_plain,mal_sws,1,pig,tshirt,pig,hat,tshirt,pig,mal_plain_mal_sws,critical,2/23/2017,17:45,right,true,1952,1,1_2_1_1,word_3_word_2_word_1,far,pig,English_Speech,adult,megan,,,,,,,,,male
1ocFs,13,10,mal_plain,mal_sws,2,pig,tshirt,pig,hat,tshirt,pig,mal_plain_mal_sws,critical,2/23/2017,17:45,left,true,2779,1,1_2_1_1,word_3_word_2_word_1,far,tshirt,English_Speech,adult,megan,,,,,,,,,male
1ocFs,13,10,mal_plain,mal_sws,3,pig,tshirt,pig,hat,tshirt,pig,mal_plain_mal_sws,critical,2/23/2017,17:45,right,true,2103,1,1_2_1_1,word_3_word_2_word_1,far,pig,English_Speech,adult,megan,,,,,,,,,male
1ocFs,14,18,mal_plain,mal_sws,1,camera,ball,raspberry,raspberry,camera,ball,mal_plain_mal_sws,critical,2/23/2017,17:45,left,true,2124,1,1_2_2_0,word_2_word_3_word_1,different,camera,English_Speech,adult,megan,,,,,,,,,male
1ocFs,14,18,mal_plain,mal_sws,2,camera,ball,raspberry,raspberry,camera,ball,mal_plain_mal_sws,critical,2/23/2017,17:45,right,true,2512,1,1_2_2_0,word_2_word_3_word_1,different,ball,English_Speech,adult,megan,,,,,,,,,male
1ocFs,14,18,mal_plain,mal_sws,3,camera,ball,raspberry,raspberry,camera,ball,mal_plain_mal_sws,critical,2/23/2017,17:45,top_img,true,2735,1,1_2_2_0,word_2_word_3_word_1,different,raspberry,English_Speech,adult,megan,,,,,,,,,male
1ocFs,15,11,mal_plain,mal_sws,1,lorry,book,cow,lorry,book,cow,mal_plain_mal_sws,critical,2/23/2017,17:45,top_img,true,2453,1,2_1_1_0,word_2_word_1_word_3,different,lorry,English_Speech,adult,megan,,,,,,,,,male
