subject_id,trial_number,trial_id,plain,sws,instruction_number,sound1_item,sound2_item,sound3_item,top_image,left_image,right_image,sound_gender,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,pic_position,distance,chosen_pic,test_lang,testing_loc,tester,date_of_birth,ethnicity,native_lang,other_langs,parental_occ,dev_info,birth_order,num_siblings,gender
CD1Gg,1,0,fem_plain,fem_sws,1,glasses,tractor,fireman,tractor,fireman,glasses,fem_plain_fem_sws,training,2/2/2017,9:25,right,true,6773,4,2_1_2_0,word_3_word_1_word_2,different,glasses,English_Speech,preschool,megan,,,,,,,,,female
CD1Gg,1,0,fem_plain,fem_sws,2,glasses,tractor,fireman,tractor,fireman,glasses,fem_plain_fem_sws,training,2/2/2017,9:25,top_img,true,2424,2,2_1_2_0,word_3_word_1_word_2,different,tractor,English_Speech,preschool,megan,,,,,,,,,female
CD1Gg,1,0,fem_plain,fem_sws,3,glasses,tractor,fireman,tractor,fireman,glasses,fem_plain_fem_sws,training,2/2/2017,9:25,left,true,2822,2,2_1_2_0,word_3_word_1_word_2,different,fireman,English_Speech,preschool,megan,,,,,,,,,female
CD1Gg,2,17,fem_plain,fem_sws,1,cake,hand,cake,ambulance,cake,hand,fem_plain_fem_sws,critical,2/2/2017,9:25,left,true,2481,2,1_2_1_1,word_2_word_1_word_3,far,cake,English_Speech,preschool,megan,,,,,,,,,female
CD1Gg,2,17,fem_plain,fem_sws,2,cake,hand,cake,ambulance,cake,hand,fem_plain_fem_sws,critical,2/2/2017,9:25,right,true,3101,1,1_2_1_1,word_2_word_1_word_3,far,hand,English_Speech,preschool,megan,,,,,,,,,female
CD1Gg,2,17,fem_plain,fem_sws,3,cake,hand,cake,ambulance,cake,hand,fem_plain_fem_sws,critical,2/2/2017,9:25,top_img,false,3040,2,1_2_1_1,word_2_word_1_word_3,far,ambulance,English_Speech,preschool,megan,,,,,,,,,female
CD1Gg,3,1,fem_plain,fem_sws,1,baby,train,train,spoon,baby,train,fem_plain_fem_sws,critical,2/2/2017,9:25,left,true,3329,6,2_1_1_1,word_1_word_2_word_3,near,baby,English_Speech,preschool,megan,,,,,,,,,female
CD1Gg,3,1,fem_plain,fem_sws,2,baby,train,train,spoon,baby,train,fem_plain_fem_sws,critical,2/2/2017,9:25,right,true,4049,4,2_1_1_1,word_1_word_2_word_3,near,train,English_Speech,preschool,megan,,,,,,,,,female
CD1Gg,3,1,fem_plain,fem_sws,3,baby,train,train,spoon,baby,train,fem_plain_fem_sws,critical,2/2/2017,9:25,top_img,false,1994,1,2_1_1_1,word_1_word_2_word_3,near,spoon,English_Speech,preschool,megan,,,,,,,,,female
CD1Gg,4,2,fem_plain,fem_sws,1,bed,fork,chicken,fork,bed,chicken,fem_plain_fem_sws,critical,2/2/2017,9:25,left,true,4507,2,1_2_2_0,word_3_word_1_word_2,different,bed,English_Speech,preschool,megan,,,,,,,,,female
CD1Gg,4,2,fem_plain,fem_sws,2,bed,fork,chicken,fork,bed,chicken,fem_plain_fem_sws,critical,2/2/2017,9:25,top_img,true,6417,4,1_2_2_0,word_3_word_1_word_2,different,fork,English_Speech,preschool,megan,,,,,,,,,female
CD1Gg,4,2,fem_plain,fem_sws,3,bed,fork,chicken,fork,bed,chicken,fem_plain_fem_sws,critical,2/2/2017,9:25,right,true,2606,1,1_2_2_0,word_3_word_1_word_2,different,chicken,English_Speech,preschool,megan,,,,,,,,,female
CD1Gg,5,23,fem_plain,fem_sws,1,bath,teddy_bear,table,table,teddy_bear,bath,fem_plain_fem_sws,critical,2/2/2017,9:25,right,true,3739,4,2_1_2_0,word_3_word_2_word_1,different,bath,English_Speech,preschool,megan,,,,,,,,,female
CD1Gg,5,23,fem_plain,fem_sws,2,bath,teddy_bear,table,table,teddy_bear,bath,fem_plain_fem_sws,critical,2/2/2017,9:25,left,true,4813,2,2_1_2_0,word_3_word_2_word_1,different,teddy_bear,English_Speech,preschool,megan,,,,,,,,,female
CD1Gg,5,23,fem_plain,fem_sws,3,bath,teddy_bear,table,table,teddy_bear,bath,fem_plain_fem_sws,critical,2/2/2017,9:25,top_img,true,4639,4,2_1_2_0,word_3_word_2_word_1,different,table,English_Speech,preschool,megan,,,,,,,,,female
CD1Gg,6,24,fem_plain,fem_sws,1,sink,socks,socks,socks,fish,sink,fem_plain_fem_sws,critical,2/2/2017,9:25,right,true,6002,3,1_2_2_1,word_3_word_2_word_1,near,sink,English_Speech,preschool,megan,,,,,,,,,female
CD1Gg,6,24,fem_plain,fem_sws,2,sink,socks,socks,socks,fish,sink,fem_plain_fem_sws,critical,2/2/2017,9:25,top_img,true,2790,2,1_2_2_1,word_3_word_2_word_1,near,socks,English_Speech,preschool,megan,,,,,,,,,female
CD1Gg,6,24,fem_plain,fem_sws,3,sink,socks,socks,socks,fish,sink,fem_plain_fem_sws,critical,2/2/2017,9:25,left,false,2009,2,1_2_2_1,word_3_word_2_word_1,near,fish,English_Speech,preschool,megan,,,,,,,,,female
CD1Gg,7,3,fem_plain,fem_sws,1,nose,trousers,telephone,trousers,nose,telephone,fem_plain_fem_sws,critical,2/2/2017,9:25,left,true,4377,3,1_2_2_0,word_1_word_2_word_3,different,nose,English_Speech,preschool,megan,,,,,,,,,female
CD1Gg,7,3,fem_plain,fem_sws,2,nose,trousers,telephone,trousers,nose,telephone,fem_plain_fem_sws,critical,2/2/2017,9:25,top_img,true,3345,4,1_2_2_0,word_1_word_2_word_3,different,trousers,English_Speech,preschool,megan,,,,,,,,,female
CD1Gg,7,3,fem_plain,fem_sws,3,nose,trousers,telephone,trousers,nose,telephone,fem_plain_fem_sws,critical,2/2/2017,9:25,right,true,2534,2,1_2_2_0,word_1_word_2_word_3,different,telephone,English_Speech,preschool,megan,,,,,,,,,female
CD1Gg,8,7,fem_plain,fem_sws,1,lolly,horse,horse,horse,lolly,cat,fem_plain_fem_sws,critical,2/2/2017,9:25,left,true,4870,2,1_2_2_1,word_2_word_1_word_3,near,lolly,English_Speech,preschool,megan,,,,,,,,,female
CD1Gg,8,7,fem_plain,fem_sws,2,lolly,horse,horse,horse,lolly,cat,fem_plain_fem_sws,critical,2/2/2017,9:25,top_img,true,3220,4,1_2_2_1,word_2_word_1_word_3,near,horse,English_Speech,preschool,megan,,,,,,,,,female
CD1Gg,8,7,fem_plain,fem_sws,3,lolly,horse,horse,horse,lolly,cat,fem_plain_fem_sws,critical,2/2/2017,9:25,right,false,1701,4,1_2_2_1,word_2_word_1_word_3,near,cat,English_Speech,preschool,megan,,,,,,,,,female
CD1Gg,9,10,fem_plain,fem_sws,1,pig,hat,pig,pig,tshirt,hat,fem_plain_fem_sws,critical,2/2/2017,9:25,top_img,true,2270,1,1_2_1_1,word_1_word_2_word_3,far,pig,English_Speech,preschool,megan,,,,,,,,,female
CD1Gg,9,10,fem_plain,fem_sws,2,pig,hat,pig,pig,tshirt,hat,fem_plain_fem_sws,critical,2/2/2017,9:25,right,true,3036,4,1_2_1_1,word_1_word_2_word_3,far,hat,English_Speech,preschool,megan,,,,,,,,,female
CD1Gg,9,10,fem_plain,fem_sws,3,pig,hat,pig,pig,tshirt,hat,fem_plain_fem_sws,critical,2/2/2017,9:25,left,false,1971,2,1_2_1_1,word_1_word_2_word_3,far,tshirt,English_Speech,preschool,megan,,,,,,,,,female
CD1Gg,10,19,fem_plain,fem_sws,1,building_blocks,santa,tree,tree,santa,building_blocks,fem_plain_fem_sws,critical,2/2/2017,9:25,right,true,2399,2,2_1_1_0,word_3_word_1_word_2,different,building_blocks,English_Speech,preschool,megan,,,,,,,,,female
CD1Gg,10,19,fem_plain,fem_sws,2,building_blocks,santa,tree,tree,santa,building_blocks,fem_plain_fem_sws,critical,2/2/2017,9:25,left,true,3216,2,2_1_1_0,word_3_word_1_word_2,different,santa,English_Speech,preschool,megan,,,,,,,,,female
CD1Gg,10,19,fem_plain,fem_sws,3,building_blocks,santa,tree,tree,santa,building_blocks,fem_plain_fem_sws,critical,2/2/2017,9:25,top_img,true,2620,2,2_1_1_0,word_3_word_1_word_2,different,tree,English_Speech,preschool,megan,,,,,,,,,female
CD1Gg,11,8,fem_plain,fem_sws,1,wellyboots,ear,ear,wellyboots,fire_engine,ear,fem_plain_fem_sws,critical,2/2/2017,9:25,top_img,true,2763,2,2_1_1_1,word_1_word_2_word_3,near,wellyboots,English_Speech,preschool,megan,,,,,,,,,female
CD1Gg,11,8,fem_plain,fem_sws,2,wellyboots,ear,ear,wellyboots,fire_engine,ear,fem_plain_fem_sws,critical,2/2/2017,9:25,right,true,2107,4,2_1_1_1,word_1_word_2_word_3,near,ear,English_Speech,preschool,megan,,,,,,,,,female
CD1Gg,11,8,fem_plain,fem_sws,3,wellyboots,ear,ear,wellyboots,fire_engine,ear,fem_plain_fem_sws,critical,2/2/2017,9:25,left,false,2470,4,2_1_1_1,word_1_word_2_word_3,near,fire_engine,English_Speech,preschool,megan,,,,,,,,,female
CD1Gg,12,9,fem_plain,fem_sws,1,pizza,grapes,pizza,grapes,window,pizza,fem_plain_fem_sws,critical,2/2/2017,9:25,right,true,2696,1,1_2_1_1,word_3_word_2_word_1,far,pizza,English_Speech,preschool,megan,,,,,,,,,female
CD1Gg,12,9,fem_plain,fem_sws,2,pizza,grapes,pizza,grapes,window,pizza,fem_plain_fem_sws,critical,2/2/2017,9:25,top_img,true,2094,1,1_2_1_1,word_3_word_2_word_1,far,grapes,English_Speech,preschool,megan,,,,,,,,,female
CD1Gg,12,9,fem_plain,fem_sws,3,pizza,grapes,pizza,grapes,window,pizza,fem_plain_fem_sws,critical,2/2/2017,9:25,left,false,2275,2,1_2_1_1,word_3_word_2_word_1,far,window,English_Speech,preschool,megan,,,,,,,,,female
CD1Gg,13,5,fem_plain,fem_sws,1,orange,mouth,orange,car,mouth,orange,fem_plain_fem_sws,critical,2/2/2017,9:25,right,true,2881,2,2_1_2_1,word_2_word_3_word_1,far,orange,English_Speech,preschool,megan,,,,,,,,,female
