subject_id,trial_number,trial_id,plain,sws,instruction_number,sound1_item,sound2_item,sound3_item,top_image,left_image,right_image,sound_gender,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,pic_position,distance,chosen_pic,test_lang,testing_loc,tester,date_of_birth,ethnicity,native_lang,other_langs,parental_occ,dev_info,birth_order,num_siblings,gender
3MXnJ,1,0,mal_plain,mal_sws,1,fireman,tractor,fireman,fireman,tractor,glasses,mal_plain_mal_sws,training,2/2/2017,10:50,top_img,true,2996,1,1_2_1_1,word_1_word_3_word_2,far,fireman,English_Speech,preschool,megan,,,,,,,,,female
3MXnJ,1,0,mal_plain,mal_sws,2,fireman,tractor,fireman,fireman,tractor,glasses,mal_plain_mal_sws,training,2/2/2017,10:50,left,true,2407,2,1_2_1_1,word_1_word_3_word_2,far,tractor,English_Speech,preschool,megan,,,,,,,,,female
3MXnJ,1,0,mal_plain,mal_sws,3,fireman,tractor,fireman,fireman,tractor,glasses,mal_plain_mal_sws,training,2/2/2017,10:50,top_img,true,1506,6,1_2_1_1,word_1_word_3_word_2,far,fireman,English_Speech,preschool,megan,,,,,,,,,female
3MXnJ,2,18,mal_plain,mal_sws,1,raspberry,camera,camera,raspberry,ball,camera,mal_plain_mal_sws,critical,2/2/2017,10:50,top_img,true,5420,2,2_1_1_1,word_2_word_1_word_3,near,raspberry,English_Speech,preschool,megan,,,,,,,,,female
3MXnJ,2,18,mal_plain,mal_sws,2,raspberry,camera,camera,raspberry,ball,camera,mal_plain_mal_sws,critical,2/2/2017,10:50,right,true,3489,2,2_1_1_1,word_2_word_1_word_3,near,camera,English_Speech,preschool,megan,,,,,,,,,female
3MXnJ,2,18,mal_plain,mal_sws,3,raspberry,camera,camera,raspberry,ball,camera,mal_plain_mal_sws,critical,2/2/2017,10:50,left,false,5990,2,2_1_1_1,word_2_word_1_word_3,near,ball,English_Speech,preschool,megan,,,,,,,,,female
3MXnJ,3,9,mal_plain,mal_sws,1,window,pizza,window,window,grapes,pizza,mal_plain_mal_sws,critical,2/2/2017,10:50,top_img,true,2754,1,2_1_2_1,word_2_word_3_word_1,far,window,English_Speech,preschool,megan,,,,,,,,,female
3MXnJ,3,9,mal_plain,mal_sws,2,window,pizza,window,window,grapes,pizza,mal_plain_mal_sws,critical,2/2/2017,10:50,right,true,2292,2,2_1_2_1,word_2_word_3_word_1,far,pizza,English_Speech,preschool,megan,,,,,,,,,female
3MXnJ,3,9,mal_plain,mal_sws,3,window,pizza,window,window,grapes,pizza,mal_plain_mal_sws,critical,2/2/2017,10:50,top_img,true,696,6,2_1_2_1,word_2_word_3_word_1,far,window,English_Speech,preschool,megan,,,,,,,,,female
3MXnJ,4,13,mal_plain,mal_sws,1,airplane,toothbrush,bread,bread,toothbrush,airplane,mal_plain_mal_sws,critical,2/2/2017,10:50,right,true,2848,2,2_1_1_0,word_3_word_1_word_2,different,airplane,English_Speech,preschool,megan,,,,,,,,,female
