subject_id,trial_number,trial_id,plain,sws,instruction_number,sound1_item,sound2_item,sound3_item,top_image,left_image,right_image,sound_gender,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,pic_position,distance,chosen_pic,test_lang,testing_loc,tester,date_of_birth,ethnicity,native_lang,other_langs,parental_occ,dev_info,birth_order,num_siblings,gender
LgVa9,1,0,fem_plain,fem_sws,1,glasses,fireman,fireman,tractor,glasses,fireman,fem_plain_fem_sws,training,2/14/2017,10:39,left,true,1630,2,1_2_2_1,word_3_word_2_word_1,near,glasses,Italian_Speech,adult,megan,,,,,,,,,male
LgVa9,1,0,fem_plain,fem_sws,2,glasses,fireman,fireman,tractor,glasses,fireman,fem_plain_fem_sws,training,2/14/2017,10:39,right,true,3020,1,1_2_2_1,word_3_word_2_word_1,near,fireman,Italian_Speech,adult,megan,,,,,,,,,male
LgVa9,1,0,fem_plain,fem_sws,3,glasses,fireman,fireman,tractor,glasses,fireman,fem_plain_fem_sws,training,2/14/2017,10:39,right,true,2029,3,1_2_2_1,word_3_word_2_word_1,near,fireman,Italian_Speech,adult,megan,,,,,,,,,male
LgVa9,2,11,fem_plain,fem_sws,1,book,cow,book,cow,book,lorry,fem_plain_fem_sws,critical,2/14/2017,10:39,left,true,2410,1,1_2_1_1,word_3_word_1_word_2,far,book,Italian_Speech,adult,megan,,,,,,,,,male
LgVa9,2,11,fem_plain,fem_sws,2,book,cow,book,cow,book,lorry,fem_plain_fem_sws,critical,2/14/2017,10:39,top_img,true,3138,1,1_2_1_1,word_3_word_1_word_2,far,cow,Italian_Speech,adult,megan,,,,,,,,,male
LgVa9,2,11,fem_plain,fem_sws,3,book,cow,book,cow,book,lorry,fem_plain_fem_sws,critical,2/14/2017,10:39,left,true,2669,1,1_2_1_1,word_3_word_1_word_2,far,book,Italian_Speech,adult,megan,,,,,,,,,male
LgVa9,3,6,fem_plain,fem_sws,1,peas,bird,carrot,bird,carrot,peas,fem_plain_fem_sws,critical,2/14/2017,10:39,right,true,1950,2,1_2_2_0,word_1_word_3_word_2,different,peas,Italian_Speech,adult,megan,,,,,,,,,male
LgVa9,3,6,fem_plain,fem_sws,2,peas,bird,carrot,bird,carrot,peas,fem_plain_fem_sws,critical,2/14/2017,10:39,top_img,true,2231,1,1_2_2_0,word_1_word_3_word_2,different,bird,Italian_Speech,adult,megan,,,,,,,,,male
LgVa9,3,6,fem_plain,fem_sws,3,peas,bird,carrot,bird,carrot,peas,fem_plain_fem_sws,critical,2/14/2017,10:39,left,true,2190,3,1_2_2_0,word_1_word_3_word_2,different,carrot,Italian_Speech,adult,megan,,,,,,,,,male
LgVa9,4,17,fem_plain,fem_sws,1,cake,ambulance,ambulance,ambulance,hand,cake,fem_plain_fem_sws,critical,2/14/2017,10:39,right,true,2092,1,2_1_1_1,word_2_word_3_word_1,near,cake,Italian_Speech,adult,megan,,,,,,,,,male
