"","subject_id","speaker_match","clear","distorted","familiar","novel","far","near","familiar.unmentioned","novel.unmentioned","gender","dob","test_loc","age_years","language_status"
"1","79Hwm","Speaker Match",0.916666666666667,0.625,0.75,0.5,0.666666666666667,0.833333333333333,0.0833333333333333,0.5,NA,NA,NA,"adult","second"
"2","BhmYV","Speaker Mismatch",0.708333333333333,0.416666666666667,0.5,0.333333333333333,0.333333333333333,0.666666666666667,0.333333333333333,0.333333333333333,NA,NA,NA,"adult","second"
"3","dbBjs","Speaker Mismatch",0.729166666666667,0.416666666666667,0.307692307692308,0.545454545454545,0.285714285714286,0.333333333333333,0.538461538461538,0.545454545454545,NA,NA,NA,"adult","second"
"4","EVwlI","Speaker Match",0.791666666666667,0.333333333333333,0.384615384615385,0.272727272727273,0.428571428571429,0.333333333333333,0.384615384615385,0.272727272727273,NA,NA,NA,"adult","second"
"5","eYfkg","Speaker Match",0.854166666666667,0.916666666666667,0.846153846153846,1,0.857142857142857,0.833333333333333,0.153846153846154,1,NA,NA,NA,"adult","second"
"6","G1vlN","Speaker Match",0.9375,0.833333333333333,0.923076923076923,0.727272727272727,0.857142857142857,1,0,0.727272727272727,NA,NA,NA,"adult","second"
"7","Jei26","Speaker Match",0.833333333333333,0.458333333333333,0.153846153846154,0.818181818181818,0.285714285714286,0,0.538461538461538,0.818181818181818,NA,NA,NA,"adult","second"
"8","Jmc8P","Speaker Match",0.708333333333333,0.5,0.333333333333333,0.666666666666667,0.285714285714286,0.4,0.5,0.666666666666667,NA,NA,NA,"adult","second"
"9","LgVa9","Speaker Match",1,0.916666666666667,1,0.833333333333333,1,1,0,0.833333333333333,NA,NA,NA,"adult","second"
"10","op3Fc","Speaker Match",1,0.875,0.916666666666667,0.833333333333333,0.857142857142857,1,0,0.833333333333333,NA,NA,NA,"adult","second"
"11","tPVsB","Speaker Mismatch",0.75,0.75,0.75,0.75,0.833333333333333,0.666666666666667,0.166666666666667,0.75,NA,NA,NA,"adult","second"
"12","uoLBu","Speaker Mismatch",0.875,0.458333333333333,0.461538461538462,0.454545454545455,0.142857142857143,0.833333333333333,0.230769230769231,0.454545454545455,NA,NA,NA,"adult","second"
"13","VBkXj","Speaker Match",0.8125,0.708333333333333,0.75,0.666666666666667,0.857142857142857,0.6,0.0833333333333333,0.666666666666667,NA,NA,NA,"adult","second"
"14","XYrkk","Speaker Mismatch",0.895833333333333,0.416666666666667,0.75,0.0833333333333333,0.714285714285714,0.8,0.0833333333333333,0.0833333333333333,NA,NA,NA,"adult","second"
"15","yS4JM","Speaker Match",0.729166666666667,0.375,0.416666666666667,0.333333333333333,0.285714285714286,0.6,0.166666666666667,0.333333333333333,NA,NA,NA,"adult","second"
