subject_id,trial_number,trial_id,plain,sws,instruction_number,sound1_item,sound2_item,sound3_item,top_image,left_image,right_image,sound_gender,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,pic_position,distance,chosen_pic,test_lang,testing_loc,tester,date_of_birth,ethnicity,native_lang,other_langs,parental_occ,dev_info,birth_order,num_siblings,gender
iiCIg,1,0,fem_plain,mal_sws,1,fireman,tractor,tractor,tractor,fireman,glasses,fem_plain_mal_sws,training,1/11/2017,13:49,left,true,8836,2,1_2_2_1,word_3_word_1_word_2,near,fireman,English_Speech,preschool,katy,,,,,,,,,male
iiCIg,1,0,fem_plain,mal_sws,2,fireman,tractor,tractor,tractor,fireman,glasses,fem_plain_mal_sws,training,1/11/2017,13:49,top_img,true,2673,1,1_2_2_1,word_3_word_1_word_2,near,tractor,English_Speech,preschool,katy,,,,,,,,,male
iiCIg,1,0,fem_plain,mal_sws,3,fireman,tractor,tractor,tractor,fireman,glasses,fem_plain_mal_sws,training,1/11/2017,13:49,top_img,true,10281,4,1_2_2_1,word_3_word_1_word_2,near,tractor,English_Speech,preschool,katy,,,,,,,,,male
iiCIg,2,18,fem_plain,mal_sws,1,ball,camera,camera,ball,raspberry,camera,fem_plain_mal_sws,critical,1/11/2017,13:49,top_img,true,3462,2,2_1_1_1,word_1_word_2_word_3,near,ball,English_Speech,preschool,katy,,,,,,,,,male
iiCIg,2,18,fem_plain,mal_sws,2,ball,camera,camera,ball,raspberry,camera,fem_plain_mal_sws,critical,1/11/2017,13:49,right,true,4304,4,2_1_1_1,word_1_word_2_word_3,near,camera,English_Speech,preschool,katy,,,,,,,,,male
iiCIg,2,18,fem_plain,mal_sws,3,ball,camera,camera,ball,raspberry,camera,fem_plain_mal_sws,critical,1/11/2017,13:49,right,true,3054,6,2_1_1_1,word_1_word_2_word_3,near,camera,English_Speech,preschool,katy,,,,,,,,,male
iiCIg,3,1,fem_plain,mal_sws,1,baby,train,baby,baby,train,spoon,fem_plain_mal_sws,critical,1/11/2017,13:49,top_img,true,2730,3,1_2_1_1,word_2_word_3_word_1,far,baby,English_Speech,preschool,katy,,,,,,,,,male
iiCIg,3,1,fem_plain,mal_sws,2,baby,train,baby,baby,train,spoon,fem_plain_mal_sws,critical,1/11/2017,13:49,left,true,2499,2,1_2_1_1,word_2_word_3_word_1,far,train,English_Speech,preschool,katy,,,,,,,,,male
iiCIg,3,1,fem_plain,mal_sws,3,baby,train,baby,baby,train,spoon,fem_plain_mal_sws,critical,1/11/2017,13:49,left,false,19839,4,1_2_1_1,word_2_word_3_word_1,far,train,English_Speech,preschool,katy,,,,,,,,,male
iiCIg,4,19,fem_plain,mal_sws,1,tree,santa,building_blocks,building_blocks,tree,santa,fem_plain_mal_sws,critical,1/11/2017,13:49,left,true,3270,2,2_1_1_0,word_2_word_3_word_1,different,tree,English_Speech,preschool,katy,,,,,,,,,male
iiCIg,4,19,fem_plain,mal_sws,2,tree,santa,building_blocks,building_blocks,tree,santa,fem_plain_mal_sws,critical,1/11/2017,13:49,right,true,3326,2,2_1_1_0,word_2_word_3_word_1,different,santa,English_Speech,preschool,katy,,,,,,,,,male
iiCIg,4,19,fem_plain,mal_sws,3,tree,santa,building_blocks,building_blocks,tree,santa,fem_plain_mal_sws,critical,1/11/2017,13:49,top_img,true,4574,7,2_1_1_0,word_2_word_3_word_1,different,building_blocks,English_Speech,preschool,katy,,,,,,,,,male
iiCIg,5,9,fem_plain,mal_sws,1,grapes,pizza,window,window,grapes,pizza,fem_plain_mal_sws,critical,1/11/2017,13:49,left,true,3242,2,2_1_1_0,word_2_word_3_word_1,different,grapes,English_Speech,preschool,katy,,,,,,,,,male
iiCIg,5,9,fem_plain,mal_sws,2,grapes,pizza,window,window,grapes,pizza,fem_plain_mal_sws,critical,1/11/2017,13:49,right,true,2717,2,2_1_1_0,word_2_word_3_word_1,different,pizza,English_Speech,preschool,katy,,,,,,,,,male
iiCIg,5,9,fem_plain,mal_sws,3,grapes,pizza,window,window,grapes,pizza,fem_plain_mal_sws,critical,1/11/2017,13:49,top_img,true,4977,2,2_1_1_0,word_2_word_3_word_1,different,window,English_Speech,preschool,katy,,,,,,,,,male
iiCIg,6,3,fem_plain,mal_sws,1,nose,telephone,nose,trousers,nose,telephone,fem_plain_mal_sws,critical,1/11/2017,13:49,left,true,2843,2,2_1_2_1,word_1_word_2_word_3,far,nose,English_Speech,preschool,katy,,,,,,,,,male
iiCIg,6,3,fem_plain,mal_sws,2,nose,telephone,nose,trousers,nose,telephone,fem_plain_mal_sws,critical,1/11/2017,13:49,right,true,3351,2,2_1_2_1,word_1_word_2_word_3,far,telephone,English_Speech,preschool,katy,,,,,,,,,male
iiCIg,6,3,fem_plain,mal_sws,3,nose,telephone,nose,trousers,nose,telephone,fem_plain_mal_sws,critical,1/11/2017,13:49,top_img,false,10493,4,2_1_2_1,word_1_word_2_word_3,far,trousers,English_Speech,preschool,katy,,,,,,,,,male
iiCIg,7,12,fem_plain,mal_sws,1,gloves,yoghurt,foot,yoghurt,foot,gloves,fem_plain_mal_sws,critical,1/11/2017,13:49,right,true,4036,2,2_1_1_0,word_2_word_1_word_3,different,gloves,English_Speech,preschool,katy,,,,,,,,,male
iiCIg,7,12,fem_plain,mal_sws,2,gloves,yoghurt,foot,yoghurt,foot,gloves,fem_plain_mal_sws,critical,1/11/2017,13:49,top_img,true,2927,2,2_1_1_0,word_2_word_1_word_3,different,yoghurt,English_Speech,preschool,katy,,,,,,,,,male
iiCIg,7,12,fem_plain,mal_sws,3,gloves,yoghurt,foot,yoghurt,foot,gloves,fem_plain_mal_sws,critical,1/11/2017,13:49,left,true,7163,5,2_1_1_0,word_2_word_1_word_3,different,foot,English_Speech,preschool,katy,,,,,,,,,male
iiCIg,8,23,fem_plain,mal_sws,1,bath,teddy_bear,bath,table,teddy_bear,bath,fem_plain_mal_sws,critical,1/11/2017,13:49,right,true,3402,2,2_1_2_1,word_3_word_2_word_1,far,bath,English_Speech,preschool,katy,,,,,,,,,male
iiCIg,8,23,fem_plain,mal_sws,2,bath,teddy_bear,bath,table,teddy_bear,bath,fem_plain_mal_sws,critical,1/11/2017,13:49,left,true,2793,2,2_1_2_1,word_3_word_2_word_1,far,teddy_bear,English_Speech,preschool,katy,,,,,,,,,male
iiCIg,8,23,fem_plain,mal_sws,3,bath,teddy_bear,bath,table,teddy_bear,bath,fem_plain_mal_sws,critical,1/11/2017,13:49,top_img,false,7561,5,2_1_2_1,word_3_word_2_word_1,far,table,English_Speech,preschool,katy,,,,,,,,,male
iiCIg,9,5,fem_plain,mal_sws,1,mouth,orange,car,mouth,car,orange,fem_plain_mal_sws,critical,1/11/2017,13:49,top_img,true,3624,2,2_1_2_0,word_3_word_2_word_1,different,mouth,English_Speech,preschool,katy,,,,,,,,,male
iiCIg,9,5,fem_plain,mal_sws,2,mouth,orange,car,mouth,car,orange,fem_plain_mal_sws,critical,1/11/2017,13:49,right,true,3193,2,2_1_2_0,word_3_word_2_word_1,different,orange,English_Speech,preschool,katy,,,,,,,,,male
iiCIg,9,5,fem_plain,mal_sws,3,mouth,orange,car,mouth,car,orange,fem_plain_mal_sws,critical,1/11/2017,13:49,left,true,3983,2,2_1_2_0,word_3_word_2_word_1,different,car,English_Speech,preschool,katy,,,,,,,,,male
iiCIg,10,13,fem_plain,mal_sws,1,airplane,toothbrush,toothbrush,airplane,toothbrush,bread,fem_plain_mal_sws,critical,1/11/2017,13:49,top_img,true,3436,4,2_1_1_1,word_2_word_1_word_3,near,airplane,English_Speech,preschool,katy,,,,,,,,,male
iiCIg,10,13,fem_plain,mal_sws,2,airplane,toothbrush,toothbrush,airplane,toothbrush,bread,fem_plain_mal_sws,critical,1/11/2017,13:49,left,true,2427,1,2_1_1_1,word_2_word_1_word_3,near,toothbrush,English_Speech,preschool,katy,,,,,,,,,male
iiCIg,10,13,fem_plain,mal_sws,3,airplane,toothbrush,toothbrush,airplane,toothbrush,bread,fem_plain_mal_sws,critical,1/11/2017,13:49,right,false,7533,1,2_1_1_1,word_2_word_1_word_3,near,bread,English_Speech,preschool,katy,,,,,,,,,male
iiCIg,11,20,fem_plain,mal_sws,1,apple,jumper,apple,apple,rabbit,jumper,fem_plain_mal_sws,critical,1/11/2017,13:49,top_img,true,2777,2,2_1_2_1,word_3_word_2_word_1,far,apple,English_Speech,preschool,katy,,,,,,,,,male
iiCIg,11,20,fem_plain,mal_sws,2,apple,jumper,apple,apple,rabbit,jumper,fem_plain_mal_sws,critical,1/11/2017,13:49,right,true,2466,2,2_1_2_1,word_3_word_2_word_1,far,jumper,English_Speech,preschool,katy,,,,,,,,,male
iiCIg,11,20,fem_plain,mal_sws,3,apple,jumper,apple,apple,rabbit,jumper,fem_plain_mal_sws,critical,1/11/2017,13:49,left,false,3716,3,2_1_2_1,word_3_word_2_word_1,far,rabbit,English_Speech,preschool,katy,,,,,,,,,male
iiCIg,12,2,fem_plain,mal_sws,1,fork,chicken,bed,fork,bed,chicken,fem_plain_mal_sws,critical,1/11/2017,13:49,top_img,true,2882,2,2_1_1_0,word_3_word_1_word_2,different,fork,English_Speech,preschool,katy,,,,,,,,,male
iiCIg,12,2,fem_plain,mal_sws,2,fork,chicken,bed,fork,bed,chicken,fem_plain_mal_sws,critical,1/11/2017,13:49,right,true,3398,2,2_1_1_0,word_3_word_1_word_2,different,chicken,English_Speech,preschool,katy,,,,,,,,,male
